procedimento,2020,total,municipio_ibge,competencia,sexo
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,5,5,130260,2020-05,F
0101040024 AVALIACAO ANTROPOMETRICA,1,1,130260,2020-05,F
0201010046 BIOPSIA DE ANUS E CANAL ANAL,1,1,130260,2020-05,F
0201010275 BIOPSIA DE MEDULA OSSEA,5,5,130260,2020-05,F
0201010372 BIOPSIA DE PELE E PARTES MOLES,7,7,130260,2020-05,F
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,7,7,130260,2020-05,F
0201010518 BIOPSIA/PUNCAO DE VULVA,1,1,130260,2020-05,F
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,1,1,130260,2020-05,F
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,2,2,130260,2020-05,F
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,4,4,130260,2020-05,F
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,26,26,130260,2020-05,F
0201010666 BIOPSIA DO COLO UTERINO,24,24,130260,2020-05,F
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,9,9,130260,2020-05,F
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,186,186,130260,2020-05,F
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,7,7,130260,2020-05,F
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,53,53,130260,2020-05,F
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),81,81,130260,2020-05,F
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2020-05,F
0202010066 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS),1,1,130260,2020-05,F
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),21,21,130260,2020-05,F
0202010112 DOSAGEM DE ACIDO ASCORBICO,5,5,130260,2020-05,F
0202010120 DOSAGEM DE ACIDO URICO,540,540,130260,2020-05,F
0202010147 DOSAGEM DE ALDOLASE,7,7,130260,2020-05,F
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,1,1,130260,2020-05,F
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,4,4,130260,2020-05,F
0202010180 DOSAGEM DE AMILASE,82,82,130260,2020-05,F
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,474,474,130260,2020-05,F
0202010210 DOSAGEM DE CALCIO,755,755,130260,2020-05,F
0202010228 DOSAGEM DE CALCIO IONIZAVEL,69,69,130260,2020-05,F
0202010252 DOSAGEM DE CERULOPLASMINA,1,1,130260,2020-05,F
0202010260 DOSAGEM DE CLORETO,63,63,130260,2020-05,F
0202010279 DOSAGEM DE COLESTEROL HDL,1261,1261,130260,2020-05,F
0202010287 DOSAGEM DE COLESTEROL LDL,1248,1248,130260,2020-05,F
0202010295 DOSAGEM DE COLESTEROL TOTAL,1531,1531,130260,2020-05,F
0202010317 DOSAGEM DE CREATININA,2010,2010,130260,2020-05,F
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),294,294,130260,2020-05,F
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,71,71,130260,2020-05,F
0202010368 DOSAGEM DE DESIDROGENASE LATICA,235,235,130260,2020-05,F
0202010384 DOSAGEM DE FERRITINA,341,341,130260,2020-05,F
0202010392 DOSAGEM DE FERRO SERICO,232,232,130260,2020-05,F
0202010406 DOSAGEM DE FOLATO,37,37,130260,2020-05,F
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,1,1,130260,2020-05,F
0202010422 DOSAGEM DE FOSFATASE ALCALINA,440,440,130260,2020-05,F
0202010430 DOSAGEM DE FOSFORO,600,600,130260,2020-05,F
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),407,407,130260,2020-05,F
0202010473 DOSAGEM DE GLICOSE,2420,2420,130260,2020-05,F
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,1,1,130260,2020-05,F
0202010490 DOSAGEM DE HAPTOGLOBINA,1,1,130260,2020-05,F
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,713,713,130260,2020-05,F
0202010538 DOSAGEM DE LACTATO,11,11,130260,2020-05,F
0202010554 DOSAGEM DE LIPASE,57,57,130260,2020-05,F
0202010562 DOSAGEM DE MAGNESIO,233,233,130260,2020-05,F
0202010570 DOSAGEM DE MUCO-PROTEINAS,13,13,130260,2020-05,F
