procedimento,2020,total,municipio_ibge,competencia,sexo
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),12,12,130260,2020-03,M
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,7,7,130260,2020-03,M
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,16,16,130260,2020-03,M
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,1,1,130260,2020-03,M
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,14,14,130260,2020-03,M
0101040024 AVALIACAO ANTROPOMETRICA,1,1,130260,2020-03,M
0101050135 SESSAO DE DANCA CIRCULAR,17,17,130260,2020-03,M
0201010046 BIOPSIA DE ANUS E CANAL ANAL,3,3,130260,2020-03,M
0201010224 BIOPSIA DE GANGLIO LINFATICO,1,1,130260,2020-03,M
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),2,2,130260,2020-03,M
0201010275 BIOPSIA DE MEDULA OSSEA,16,16,130260,2020-03,M
0201010372 BIOPSIA DE PELE E PARTES MOLES,71,71,130260,2020-03,M
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,20,20,130260,2020-03,M
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,5,5,130260,2020-03,M
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,4,4,130260,2020-03,M
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,454,454,130260,2020-03,M
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,9,9,130260,2020-03,M
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,129,129,130260,2020-03,M
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,1,1,130260,2020-03,M
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),47,47,130260,2020-03,M
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),7,7,130260,2020-03,M
0202010090 DOSAGEM DE 5-NUCLEOTIDASE,1,1,130260,2020-03,M
0202010112 DOSAGEM DE ACIDO ASCORBICO,3,3,130260,2020-03,M
0202010120 DOSAGEM DE ACIDO URICO,1125,1125,130260,2020-03,M
0202010147 DOSAGEM DE ALDOLASE,3,3,130260,2020-03,M
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,2,2,130260,2020-03,M
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,2,2,130260,2020-03,M
0202010180 DOSAGEM DE AMILASE,326,326,130260,2020-03,M
