procedimento,2020,total,municipio_ibge,competencia,sexo
0101020066 APLICACAO DE SELANTE (POR DENTE),4,4,130260,2020-11,M
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),8,8,130260,2020-11,M
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,17,17,130260,2020-11,M
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,10,10,130260,2020-11,M
0101020104 ORIENTACAO DE HIGIENE BUCAL,22,22,130260,2020-11,M
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,7,7,130260,2020-11,M
0101040024 AVALIACAO ANTROPOMETRICA,1,1,130260,2020-11,M
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,18,18,130260,2020-11,M
0201010046 BIOPSIA DE ANUS E CANAL ANAL,10,10,130260,2020-11,M
0201010119 BIOPSIA DE CORNEA,1,1,130260,2020-11,M
0201010216 BIOPSIA DE FIGADO POR PUNCAO,2,2,130260,2020-11,M
0201010224 BIOPSIA DE GANGLIO LINFATICO,3,3,130260,2020-11,M
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),1,1,130260,2020-11,M
0201010275 BIOPSIA DE MEDULA OSSEA,9,9,130260,2020-11,M
0201010305 BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO),1,1,130260,2020-11,M
0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),1,1,130260,2020-11,M
0201010372 BIOPSIA DE PELE E PARTES MOLES,94,94,130260,2020-11,M
0201010380 BIOPSIA DE PENIS,1,1,130260,2020-11,M
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2020-11,M
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,36,36,130260,2020-11,M
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,6,6,130260,2020-11,M
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,4,4,130260,2020-11,M
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,259,259,130260,2020-11,M
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,4,4,130260,2020-11,M
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,104,104,130260,2020-11,M
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),82,82,130260,2020-11,M
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2020-11,M
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),6,6,130260,2020-11,M
0202010090 DOSAGEM DE 5-NUCLEOTIDASE,1,1,130260,2020-11,M
0202010112 DOSAGEM DE ACIDO ASCORBICO,9,9,130260,2020-11,M
0202010120 DOSAGEM DE ACIDO URICO,1422,1422,130260,2020-11,M
0202010147 DOSAGEM DE ALDOLASE,6,6,130260,2020-11,M
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,5,5,130260,2020-11,M
0202010171 DOSAGEM DE ALFA-2-MACROGLOBULINA,1,1,130260,2020-11,M
0202010180 DOSAGEM DE AMILASE,123,123,130260,2020-11,M
0202010198 DOSAGEM DE AMONIA,1,1,130260,2020-11,M
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,597,597,130260,2020-11,M
0202010210 DOSAGEM DE CALCIO,977,977,130260,2020-11,M
0202010228 DOSAGEM DE CALCIO IONIZAVEL,34,34,130260,2020-11,M
0202010252 DOSAGEM DE CERULOPLASMINA,2,2,130260,2020-11,M
0202010260 DOSAGEM DE CLORETO,85,85,130260,2020-11,M
0202010279 DOSAGEM DE COLESTEROL HDL,3133,3133,130260,2020-11,M
0202010287 DOSAGEM DE COLESTEROL LDL,3014,3014,130260,2020-11,M
0202010295 DOSAGEM DE COLESTEROL TOTAL,3889,3889,130260,2020-11,M
0202010309 DOSAGEM DE COLINESTERASE,4,4,130260,2020-11,M
0202010317 DOSAGEM DE CREATININA,3696,3696,130260,2020-11,M
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),115,115,130260,2020-11,M
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,54,54,130260,2020-11,M
0202010368 DOSAGEM DE DESIDROGENASE LATICA,44,44,130260,2020-11,M
0202010384 DOSAGEM DE FERRITINA,610,610,130260,2020-11,M
0202010392 DOSAGEM DE FERRO SERICO,377,377,130260,2020-11,M
0202010406 DOSAGEM DE FOLATO,58,58,130260,2020-11,M
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,2,2,130260,2020-11,M
0202010422 DOSAGEM DE FOSFATASE ALCALINA,828,828,130260,2020-11,M
0202010430 DOSAGEM DE FOSFORO,773,773,130260,2020-11,M
0202010449 DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,1,1,130260,2020-11,M
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),894,894,130260,2020-11,M
0202010473 DOSAGEM DE GLICOSE,4593,4593,130260,2020-11,M
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,1,1,130260,2020-11,M
0202010490 DOSAGEM DE HAPTOGLOBINA,1,1,130260,2020-11,M
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,1523,1523,130260,2020-11,M
0202010538 DOSAGEM DE LACTATO,3,3,130260,2020-11,M
0202010554 DOSAGEM DE LIPASE,64,64,130260,2020-11,M
0202010562 DOSAGEM DE MAGNESIO,361,361,130260,2020-11,M
