procedimento,2021,total,municipio_ibge,competencia,sexo
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),31,31,130260,2021-06,M
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,39,39,130260,2021-06,M
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,53,53,130260,2021-06,M
0101020104 ORIENTACAO DE HIGIENE BUCAL,72,72,130260,2021-06,M
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,1,1,130260,2021-06,M
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,5,5,130260,2021-06,M
0101040024 AVALIACAO ANTROPOMETRICA,2,2,130260,2021-06,M
0101050020 TERAPIA COMUNITARIA,1,1,130260,2021-06,M
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,35,35,130260,2021-06,M
0201010046 BIOPSIA DE ANUS E CANAL ANAL,8,8,130260,2021-06,M
0201010216 BIOPSIA DE FIGADO POR PUNCAO,2,2,130260,2021-06,M
0201010224 BIOPSIA DE GANGLIO LINFATICO,5,5,130260,2021-06,M
0201010232 BIOPSIA DE GLANDULA SALIVAR,3,3,130260,2021-06,M
0201010275 BIOPSIA DE MEDULA OSSEA,18,18,130260,2021-06,M
0201010372 BIOPSIA DE PELE E PARTES MOLES,58,58,130260,2021-06,M
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2021-06,M
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,44,44,130260,2021-06,M
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,7,7,130260,2021-06,M
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,2,2,130260,2021-06,M
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,2,2,130260,2021-06,M
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,2,2,130260,2021-06,M
0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR,4,4,130260,2021-06,M
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,191,191,130260,2021-06,M
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,121,121,130260,2021-06,M
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,2,2,130260,2021-06,M
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),78,78,130260,2021-06,M
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2021-06,M
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),7,7,130260,2021-06,M
0202010082 DETERMINACAO DE OSMOLARIDADE,1,1,130260,2021-06,M
0202010112 DOSAGEM DE ACIDO ASCORBICO,17,17,130260,2021-06,M
