procedimento,2021,total,municipio_ibge,competencia,sexo
0101020066 APLICACAO DE SELANTE (POR DENTE),4,4,130260,2021-08,M
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),38,38,130260,2021-08,M
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,35,35,130260,2021-08,M
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,42,42,130260,2021-08,M
0101020104 ORIENTACAO DE HIGIENE BUCAL,11,11,130260,2021-08,M
0101040024 AVALIACAO ANTROPOMETRICA,1,1,130260,2021-08,M
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,22,22,130260,2021-08,M
0201010046 BIOPSIA DE ANUS E CANAL ANAL,7,7,130260,2021-08,M
0201010224 BIOPSIA DE GANGLIO LINFATICO,6,6,130260,2021-08,M
0201010232 BIOPSIA DE GLANDULA SALIVAR,7,7,130260,2021-08,M
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),3,3,130260,2021-08,M
0201010275 BIOPSIA DE MEDULA OSSEA,17,17,130260,2021-08,M
0201010372 BIOPSIA DE PELE E PARTES MOLES,81,81,130260,2021-08,M
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2021-08,M
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,51,51,130260,2021-08,M
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,8,8,130260,2021-08,M
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,5,5,130260,2021-08,M
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,1,1,130260,2021-08,M
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,1,1,130260,2021-08,M
0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR,2,2,130260,2021-08,M
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,1248,1248,130260,2021-08,M
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,88,88,130260,2021-08,M
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),56,56,130260,2021-08,M
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),1,1,130260,2021-08,M
0202010104 DOSAGEM DE ACETONA,1,1,130260,2021-08,M
0202010112 DOSAGEM DE ACIDO ASCORBICO,25,25,130260,2021-08,M
0202010120 DOSAGEM DE ACIDO URICO,1337,1337,130260,2021-08,M
0202010147 DOSAGEM DE ALDOLASE,4,4,130260,2021-08,M
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,5,5,130260,2021-08,M
0202010180 DOSAGEM DE AMILASE,158,158,130260,2021-08,M
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,624,624,130260,2021-08,M
0202010210 DOSAGEM DE CALCIO,893,893,130260,2021-08,M
0202010228 DOSAGEM DE CALCIO IONIZAVEL,162,162,130260,2021-08,M
0202010260 DOSAGEM DE CLORETO,199,199,130260,2021-08,M
0202010279 DOSAGEM DE COLESTEROL HDL,3072,3072,130260,2021-08,M
0202010287 DOSAGEM DE COLESTEROL LDL,2558,2558,130260,2021-08,M
0202010295 DOSAGEM DE COLESTEROL TOTAL,4248,4248,130260,2021-08,M
0202010317 DOSAGEM DE CREATININA,3789,3789,130260,2021-08,M
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),278,278,130260,2021-08,M
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,143,143,130260,2021-08,M
0202010368 DOSAGEM DE DESIDROGENASE LATICA,237,237,130260,2021-08,M
0202010384 DOSAGEM DE FERRITINA,614,614,130260,2021-08,M
0202010392 DOSAGEM DE FERRO SERICO,413,413,130260,2021-08,M
0202010406 DOSAGEM DE FOLATO,82,82,130260,2021-08,M
0202010422 DOSAGEM DE FOSFATASE ALCALINA,700,700,130260,2021-08,M
0202010430 DOSAGEM DE FOSFORO,730,730,130260,2021-08,M
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),689,689,130260,2021-08,M
0202010473 DOSAGEM DE GLICOSE,5245,5245,130260,2021-08,M
0202010490 DOSAGEM DE HAPTOGLOBINA,1,1,130260,2021-08,M
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,1528,1528,130260,2021-08,M
0202010538 DOSAGEM DE LACTATO,12,12,130260,2021-08,M
0202010554 DOSAGEM DE LIPASE,105,105,130260,2021-08,M
0202010562 DOSAGEM DE MAGNESIO,371,371,130260,2021-08,M
0202010570 DOSAGEM DE MUCO-PROTEINAS,8,8,130260,2021-08,M
0202010600 DOSAGEM DE POTASSIO,1731,1731,130260,2021-08,M
0202010619 DOSAGEM DE PROTEINAS TOTAIS,12,12,130260,2021-08,M
0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES,238,238,130260,2021-08,M
0202010635 DOSAGEM DE SODIO,1294,1294,130260,2021-08,M
0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),2591,2591,130260,2021-08,M
0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),3195,3195,130260,2021-08,M
0202010660 DOSAGEM DE TRANSFERRINA,207,207,130260,2021-08,M
0202010678 DOSAGEM DE TRIGLICERIDEOS,3082,3082,130260,2021-08,M
0202010686 DOSAGEM DE TRIPTOFANO,2,2,130260,2021-08,M
0202010694 DOSAGEM DE UREIA,4092,4092,130260,2021-08,M
0202010708 DOSAGEM DE VITAMINA B12,404,404,130260,2021-08,M
0202010724 ELETROFORESE DE PROTEINAS,10,10,130260,2021-08,M
0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE ),140,140,130260,2021-08,M
0202010759 TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS,5,5,130260,2021-08,M
0202010767 DOSAGEM DE 25 HIDROXIVITAMINA D,1043,1043,130260,2021-08,M
0202020029 CONTAGEM DE PLAQUETAS,269,269,130260,2021-08,M
0202020037 CONTAGEM DE RETICULOCITOS,10,10,130260,2021-08,M
0202020070 DETERMINACAO DE TEMPO DE COAGULACAO,398,398,130260,2021-08,M
0202020096 DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE,364,364,130260,2021-08,M
0202020100 DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY,16,16,130260,2021-08,M
0202020126 DETERMINACAO DE TEMPO DE TROMBINA,26,26,130260,2021-08,M
0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA),263,263,130260,2021-08,M
0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP),420,420,130260,2021-08,M
0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS),343,343,130260,2021-08,M
0202020290 DOSAGEM DE FIBRINOGENIO,7,7,130260,2021-08,M
0202020304 DOSAGEM DE HEMOGLOBINA,21,21,130260,2021-08,M
0202020355 ELETROFORESE DE HEMOGLOBINA,9,9,130260,2021-08,M
"0202020363 ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)",232,232,130260,2021-08,M
0202020371 HEMATOCRITO,57,57,130260,2021-08,M
0202020380 HEMOGRAMA COMPLETO,6453,6453,130260,2021-08,M
0202020398 LEUCOGRAMA,316,316,130260,2021-08,M
0202020436 PESQUISA DE FILARIA,2,2,130260,2021-08,M
0202020452 PESQUISA DE PLASMODIO,98,98,130260,2021-08,M
0202020487 PROVA DE CONSUMO DE PROTROMBINA,2,2,130260,2021-08,M
0202020495 PROVA DE RETRACAO DO COAGULO,336,336,130260,2021-08,M
0202020509 PROVA DO LACO,328,328,130260,2021-08,M
0202020541 TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD),3,3,130260,2021-08,M
0202030024 CONTAGEM DE LINFOCITOS CD4/CD8,461,461,130260,2021-08,M
0202030040 DETECCAO DE ACIDOS NUCLEICOS DO HIV-1 (QUALITATIVO),2,2,130260,2021-08,M
0202030067 DETERMINACAO DE COMPLEMENTO (CH50),2,2,130260,2021-08,M
0202030075 DETERMINACAO DE FATOR REUMATOIDE,212,212,130260,2021-08,M
0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA,337,337,130260,2021-08,M
0202030091 DOSAGEM DE ALFA-FETOPROTEINA,13,13,130260,2021-08,M
0202030105 DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA),2135,2135,130260,2021-08,M
0202030121 DOSAGEM DE COMPLEMENTO C3,14,14,130260,2021-08,M
0202030130 DOSAGEM DE COMPLEMENTO C4,13,13,130260,2021-08,M
0202030156 DOSAGEM DE IMUNOGLOBULINA A (IGA),4,4,130260,2021-08,M
0202030164 DOSAGEM DE IMUNOGLOBULINA E (IGE),24,24,130260,2021-08,M
0202030180 DOSAGEM DE IMUNOGLOBULINA M (IGM),4,4,130260,2021-08,M
0202030199 DOSAGEM DE INIBIDOR DE C1-ESTERASE,1,1,130260,2021-08,M
0202030202 DOSAGEM DE PROTEINA C REATIVA,1007,1007,130260,2021-08,M
0202030229 IMUNOELETROFORESE DE PROTEINAS,1,1,130260,2021-08,M
0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR),90,90,130260,2021-08,M
0202030245 INTRADERMORREACAO COM DERIVADO PROTEICO PURIFICADO (PPD),21,21,130260,2021-08,M
0202030253 PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA,1,1,130260,2021-08,M
0202030261 PESQUISA DE ANTICORPO IGM ANTICARDIOLIPINA,2,2,130260,2021-08,M
0202030270 PESQUISA DE ANTICORPOS ANTI-DNA,7,7,130260,2021-08,M
0202030288 PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI,9,9,130260,2021-08,M
0202030296 PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT),3,3,130260,2021-08,M
0202030300 PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA),796,796,130260,2021-08,M
0202030318 PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2,10,10,130260,2021-08,M
0202030326 PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP),2,2,130260,2021-08,M
0202030342 PESQUISA DE ANTICORPOS ANTI-SM,1,1,130260,2021-08,M
0202030350 PESQUISA DE ANTICORPOS ANTI-SS-A (RO),4,4,130260,2021-08,M
0202030369 PESQUISA DE ANTICORPOS ANTI-SS-B (LA),3,3,130260,2021-08,M
0202030458 PESQUISA DE ANTICORPOS ANTIESCLERODERMA (SCL 70),1,1,130260,2021-08,M
0202030466 PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES,7,7,130260,2021-08,M
0202030474 PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO),211,211,130260,2021-08,M
0202030482 PESQUISA DE ANTICORPOS ANTIFIGADO,1,1,130260,2021-08,M
0202030555 PESQUISA DE ANTICORPOS ANTIMICROSSOMAS,32,32,130260,2021-08,M
0202030563 PESQUISA DE ANTICORPOS ANTIMITOCONDRIA,1,1,130260,2021-08,M
0202030580 PESQUISA DE ANTICORPOS ANTIMUSCULO LISO,2,2,130260,2021-08,M
0202030598 PESQUISA DE ANTICORPOS ANTINUCLEO,84,84,130260,2021-08,M
0202030610 PESQUISA DE ANTICORPOS ANTIPLASMODIOS,2,2,130260,2021-08,M
0202030628 PESQUISA DE ANTICORPOS ANTITIREOGLOBULINA,6,6,130260,2021-08,M
0202030636 PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (ANTI-HBS),227,227,130260,2021-08,M
0202030644 PESQUISA DE ANTICORPOS CONTRA ANTIGENO E DO VIRUS DA HEPATITE B (ANTI-HBE),26,26,130260,2021-08,M
0202030652 PESQUISA DE ANTICORPOS CONTRA HISTOPLASMA,2,2,130260,2021-08,M
0202030679 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV),1529,1529,130260,2021-08,M
0202030687 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE D (ANTI-HDV),5,5,130260,2021-08,M
0202030695 PESQUISA DE ANTICORPOS CONTRA O VIRUS DO SARAMPO,2,2,130260,2021-08,M
0202030709 PESQUISA DE ANTICORPOS CONTRA PARACOCCIDIOIDES BRASILIENSIS,2,2,130260,2021-08,M
0202030733 PESQUISA DE ANTICORPOS HETEROFILOS CONTA O VIRUS EPSTEIN-BARR,3,3,130260,2021-08,M
0202030741 PESQUISA DE ANTICORPOS IGG ANTICITOMEGALOVIRUS,38,38,130260,2021-08,M
0202030768 PESQUISA DE ANTICORPOS IGG ANTITOXOPLASMA,41,41,130260,2021-08,M
0202030784 PESQUISA DE ANTICORPOS IGG E IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-TOTAL),119,119,130260,2021-08,M
0202030792 PESQUISA DE ANTICORPOS IGG CONTRA ARBOVIRUS,30,30,130260,2021-08,M
0202030806 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA HEPATITE A (HAV-IGG),28,28,130260,2021-08,M
0202030814 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA RUBEOLA,17,17,130260,2021-08,M
0202030822 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA VARICELA-HERPES ZOSTER,3,3,130260,2021-08,M
0202030830 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS EPSTEIN-BARR,9,9,130260,2021-08,M
0202030849 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS HERPES SIMPLES,19,19,130260,2021-08,M
0202030857 PESQUISA DE ANTICORPOS IGM ANTICITOMEGALOVIRUS,24,24,130260,2021-08,M
0202030865 PESQUISA DE ANTICORPOS IGM ANTILEISHMANIAS,1,1,130260,2021-08,M
0202030873 PESQUISA DE ANTICORPOS IGM ANTITOXOPLASMA,46,46,130260,2021-08,M
0202030881 PESQUISA DE ANTICORPOS IGM ANTITRYPANOSOMA CRUZI,4,4,130260,2021-08,M
0202030890 PESQUISA DE ANTICORPOS IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-IGM),82,82,130260,2021-08,M
0202030903 PESQUISA DE ANTICORPOS IGM CONTRA ARBOVIRUS,31,31,130260,2021-08,M
