procedimento,2020,total,municipio_ibge,competencia,sexo
0101020066 APLICACAO DE SELANTE (POR DENTE),2,2,130260,2020-07,M
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),9,9,130260,2020-07,M
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,6,6,130260,2020-07,M
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,15,15,130260,2020-07,M
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,2,2,130260,2020-07,M
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,17,17,130260,2020-07,M
0101040024 AVALIACAO ANTROPOMETRICA,1,1,130260,2020-07,M
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,2,2,130260,2020-07,M
0201010046 BIOPSIA DE ANUS E CANAL ANAL,4,4,130260,2020-07,M
0201010224 BIOPSIA DE GANGLIO LINFATICO,3,3,130260,2020-07,M
0201010232 BIOPSIA DE GLANDULA SALIVAR,4,4,130260,2020-07,M
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),1,1,130260,2020-07,M
0201010275 BIOPSIA DE MEDULA OSSEA,6,6,130260,2020-07,M
0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),3,3,130260,2020-07,M
0201010330 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),1,1,130260,2020-07,M
0201010356 BIOPSIA DE PALPEBRA,1,1,130260,2020-07,M
0201010372 BIOPSIA DE PELE E PARTES MOLES,95,95,130260,2020-07,M
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2020-07,M
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,36,36,130260,2020-07,M
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,6,6,130260,2020-07,M
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,7,7,130260,2020-07,M
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,180,180,130260,2020-07,M
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,19,19,130260,2020-07,M
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,92,92,130260,2020-07,M
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,2,2,130260,2020-07,M
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),66,66,130260,2020-07,M
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2020-07,M
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),3,3,130260,2020-07,M
0202010112 DOSAGEM DE ACIDO ASCORBICO,4,4,130260,2020-07,M
0202010120 DOSAGEM DE ACIDO URICO,1001,1001,130260,2020-07,M
0202010147 DOSAGEM DE ALDOLASE,2,2,130260,2020-07,M
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,6,6,130260,2020-07,M
0202010171 DOSAGEM DE ALFA-2-MACROGLOBULINA,1,1,130260,2020-07,M
0202010180 DOSAGEM DE AMILASE,110,110,130260,2020-07,M
