procedimento,2022,total,municipio_ibge,competencia,sexo
0101020066 APLICACAO DE SELANTE (POR DENTE),1,1,130260,2022-03,F
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),9,9,130260,2022-03,F
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,21,21,130260,2022-03,F
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,60,60,130260,2022-03,F
0101020104 ORIENTACAO DE HIGIENE BUCAL,250,250,130260,2022-03,F
0101020120 ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,3,3,130260,2022-03,F
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,12,12,130260,2022-03,F
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,9,9,130260,2022-03,F
0101040032 COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),15,15,130260,2022-03,F
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,40,40,130260,2022-03,F
0201010151 BIOPSIA DE ENDOMETRIO,1,1,130260,2022-03,F
0201010232 BIOPSIA DE GLANDULA SALIVAR,8,8,130260,2022-03,F
0201010275 BIOPSIA DE MEDULA OSSEA,12,12,130260,2022-03,F
0201010372 BIOPSIA DE PELE E PARTES MOLES,193,193,130260,2022-03,F
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2022-03,F
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,58,58,130260,2022-03,F
0201010500 BIOPSIA/PUNCAO DE VAGINA,1,1,130260,2022-03,F
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,3,3,130260,2022-03,F
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,5,5,130260,2022-03,F
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,12,12,130260,2022-03,F
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,1,1,130260,2022-03,F
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,47,47,130260,2022-03,F
0201010666 BIOPSIA DO COLO UTERINO,86,86,130260,2022-03,F
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,289,289,130260,2022-03,F
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,1123,1123,130260,2022-03,F
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,21,21,130260,2022-03,F
0202010015 CLEARANCE OSMOLAR,1,1,130260,2022-03,F
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,111,111,130260,2022-03,F
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,2,2,130260,2022-03,F
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),245,245,130260,2022-03,F
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),18,18,130260,2022-03,F
0202010104 DOSAGEM DE ACETONA,2,2,130260,2022-03,F
0202010112 DOSAGEM DE ACIDO ASCORBICO,144,144,130260,2022-03,F
0202010120 DOSAGEM DE ACIDO URICO,3204,3204,130260,2022-03,F
0202010147 DOSAGEM DE ALDOLASE,38,38,130260,2022-03,F
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,19,19,130260,2022-03,F
0202010180 DOSAGEM DE AMILASE,693,693,130260,2022-03,F
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,1860,1860,130260,2022-03,F
0202010210 DOSAGEM DE CALCIO,2077,2077,130260,2022-03,F
0202010228 DOSAGEM DE CALCIO IONIZAVEL,814,814,130260,2022-03,F
0202010252 DOSAGEM DE CERULOPLASMINA,2,2,130260,2022-03,F
0202010260 DOSAGEM DE CLORETO,718,718,130260,2022-03,F
0202010279 DOSAGEM DE COLESTEROL HDL,9242,9242,130260,2022-03,F
0202010287 DOSAGEM DE COLESTEROL LDL,7232,7232,130260,2022-03,F
0202010295 DOSAGEM DE COLESTEROL TOTAL,12538,12538,130260,2022-03,F
0202010317 DOSAGEM DE CREATININA,9580,9580,130260,2022-03,F
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),728,728,130260,2022-03,F
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,276,276,130260,2022-03,F
0202010350 DOSAGEM DE DESIDROGENASE GLUTAMICA,2,2,130260,2022-03,F
0202010368 DOSAGEM DE DESIDROGENASE LATICA,521,521,130260,2022-03,F
0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS),1,1,130260,2022-03,F
0202010384 DOSAGEM DE FERRITINA,2032,2032,130260,2022-03,F
0202010392 DOSAGEM DE FERRO SERICO,1615,1615,130260,2022-03,F
0202010406 DOSAGEM DE FOLATO,351,351,130260,2022-03,F
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,6,6,130260,2022-03,F
0202010422 DOSAGEM DE FOSFATASE ALCALINA,2569,2569,130260,2022-03,F
0202010430 DOSAGEM DE FOSFORO,1478,1478,130260,2022-03,F
