procedimento,2020,total,municipio_ibge,competencia
0101020066 APLICACAO DE SELANTE (POR DENTE),3,3,130260,2020-02
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),35,35,130260,2020-02
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,31,31,130260,2020-02
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,76,76,130260,2020-02
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,25,25,130260,2020-02
0101040024 AVALIACAO ANTROPOMETRICA,1,1,130260,2020-02
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,31,31,130260,2020-02
0201010046 BIOPSIA DE ANUS E CANAL ANAL,5,5,130260,2020-02
0201010232 BIOPSIA DE GLANDULA SALIVAR,1,1,130260,2020-02
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),12,12,130260,2020-02
0201010275 BIOPSIA DE MEDULA OSSEA,19,19,130260,2020-02
0201010372 BIOPSIA DE PELE E PARTES MOLES,69,69,130260,2020-02
0201010380 BIOPSIA DE PENIS,1,1,130260,2020-02
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,28,28,130260,2020-02
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,45,45,130260,2020-02
0201010518 BIOPSIA/PUNCAO DE VULVA,1,1,130260,2020-02
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,8,8,130260,2020-02
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,6,6,130260,2020-02
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,5,5,130260,2020-02
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,1,1,130260,2020-02
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,12,12,130260,2020-02
0201010666 BIOPSIA DO COLO UTERINO,113,113,130260,2020-02
0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR,2,2,130260,2020-02
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,1015,1015,130260,2020-02
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,2074,2074,130260,2020-02
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,183,183,130260,2020-02
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,1,1,130260,2020-02
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),210,210,130260,2020-02
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2020-02
0202010066 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS),1,1,130260,2020-02
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),30,30,130260,2020-02
0202010082 DETERMINACAO DE OSMOLARIDADE,1,1,130260,2020-02
0202010112 DOSAGEM DE ACIDO ASCORBICO,44,44,130260,2020-02
0202010120 DOSAGEM DE ACIDO URICO,3109,3109,130260,2020-02
0202010139 DOSAGEM DE ACIDO VANILMANDELICO,1,1,130260,2020-02
0202010147 DOSAGEM DE ALDOLASE,35,35,130260,2020-02
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,9,9,130260,2020-02
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,6,6,130260,2020-02
0202010180 DOSAGEM DE AMILASE,849,849,130260,2020-02
0202010198 DOSAGEM DE AMONIA,1,1,130260,2020-02
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,2632,2632,130260,2020-02
0202010210 DOSAGEM DE CALCIO,2607,2607,130260,2020-02
0202010228 DOSAGEM DE CALCIO IONIZAVEL,390,390,130260,2020-02
0202010252 DOSAGEM DE CERULOPLASMINA,8,8,130260,2020-02
0202010260 DOSAGEM DE CLORETO,594,594,130260,2020-02
0202010279 DOSAGEM DE COLESTEROL HDL,8540,8540,130260,2020-02
0202010287 DOSAGEM DE COLESTEROL LDL,8590,8590,130260,2020-02
0202010295 DOSAGEM DE COLESTEROL TOTAL,10036,10036,130260,2020-02
0202010309 DOSAGEM DE COLINESTERASE,6,6,130260,2020-02
0202010317 DOSAGEM DE CREATININA,11523,11523,130260,2020-02
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),744,744,130260,2020-02
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,568,568,130260,2020-02
0202010341 DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA,2,2,130260,2020-02
0202010368 DOSAGEM DE DESIDROGENASE LATICA,395,395,130260,2020-02
0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS),5,5,130260,2020-02
0202010384 DOSAGEM DE FERRITINA,2092,2092,130260,2020-02
0202010392 DOSAGEM DE FERRO SERICO,1140,1140,130260,2020-02
0202010406 DOSAGEM DE FOLATO,253,253,130260,2020-02
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,5,5,130260,2020-02
0202010422 DOSAGEM DE FOSFATASE ALCALINA,2916,2916,130260,2020-02
0202010430 DOSAGEM DE FOSFORO,2115,2115,130260,2020-02
0202010449 DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,2,2,130260,2020-02
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),2999,2999,130260,2020-02
0202010473 DOSAGEM DE GLICOSE,13678,13678,130260,2020-02
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,11,11,130260,2020-02
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,3578,3578,130260,2020-02
0202010538 DOSAGEM DE LACTATO,171,171,130260,2020-02
0202010554 DOSAGEM DE LIPASE,472,472,130260,2020-02
0202010562 DOSAGEM DE MAGNESIO,1580,1580,130260,2020-02
0202010570 DOSAGEM DE MUCO-PROTEINAS,50,50,130260,2020-02
0202010589 DOSAGEM DE PIRUVATO,3,3,130260,2020-02
0202010600 DOSAGEM DE POTASSIO,5301,5301,130260,2020-02
0202010619 DOSAGEM DE PROTEINAS TOTAIS,444,444,130260,2020-02
0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES,805,805,130260,2020-02
0202010635 DOSAGEM DE SODIO,4501,4501,130260,2020-02
0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),8310,8310,130260,2020-02
0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),9318,9318,130260,2020-02
0202010660 DOSAGEM DE TRANSFERRINA,497,497,130260,2020-02
0202010678 DOSAGEM DE TRIGLICERIDEOS,9497,9497,130260,2020-02
0202010694 DOSAGEM DE UREIA,12290,12290,130260,2020-02
0202010708 DOSAGEM DE VITAMINA B12,1120,1120,130260,2020-02
0202010724 ELETROFORESE DE PROTEINAS,36,36,130260,2020-02
0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE ),172,172,130260,2020-02
0202010759 TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS,40,40,130260,2020-02
0202010767 DOSAGEM DE 25 HIDROXIVITAMINA D,3167,3167,130260,2020-02
0202020010 CITOQUIMICA HEMATOLOGICA,2,2,130260,2020-02
0202020029 CONTAGEM DE PLAQUETAS,446,446,130260,2020-02
0202020037 CONTAGEM DE RETICULOCITOS,162,162,130260,2020-02
0202020070 DETERMINACAO DE TEMPO DE COAGULACAO,1375,1375,130260,2020-02
0202020096 DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE,1105,1105,130260,2020-02
0202020100 DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY,217,217,130260,2020-02
0202020126 DETERMINACAO DE TEMPO DE TROMBINA,25,25,130260,2020-02
0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA),520,520,130260,2020-02
0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP),2043,2043,130260,2020-02
0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS),1364,1364,130260,2020-02
0202020169 DOSAGEM DE ANTICOAGULANTE CIRCULANTE,2,2,130260,2020-02
0202020177 DOSAGEM DE ANTITROMBINA III,1,1,130260,2020-02
0202020240 DOSAGEM DE FATOR VON WILLEBRAND (ANTIGENO),1,1,130260,2020-02
0202020290 DOSAGEM DE FIBRINOGENIO,5,5,130260,2020-02
0202020304 DOSAGEM DE HEMOGLOBINA,14,14,130260,2020-02
0202020355 ELETROFORESE DE HEMOGLOBINA,44,44,130260,2020-02
"0202020363 ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)",567,567,130260,2020-02
0202020371 HEMATOCRITO,356,356,130260,2020-02
0202020380 HEMOGRAMA COMPLETO,19109,19109,130260,2020-02
0202020398 LEUCOGRAMA,828,828,130260,2020-02
0202020410 PESQUISA DE CELULAS LE,2,2,130260,2020-02
0202020452 PESQUISA DE PLASMODIO,262,262,130260,2020-02
0202020460 PESQUISA DE TRIPANOSSOMA,7,7,130260,2020-02
0202020487 PROVA DE CONSUMO DE PROTROMBINA,1,1,130260,2020-02
0202020495 PROVA DE RETRACAO DO COAGULO,1017,1017,130260,2020-02
0202020509 PROVA DO LACO,1022,1022,130260,2020-02
0202020517 RASTREIO P/ DEFICIENCIA DE ENZIMAS ERITROCITARIAS,1,1,130260,2020-02
0202020525 TESTE DE AGREGACAO DE PLAQUETAS,2,2,130260,2020-02
0202020541 TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD),57,57,130260,2020-02
0202030016 CONTAGEM DE LINFOCITOS B,1,1,130260,2020-02
0202030024 CONTAGEM DE LINFOCITOS CD4/CD8,1072,1072,130260,2020-02
0202030067 DETERMINACAO DE COMPLEMENTO (CH50),5,5,130260,2020-02
0202030075 DETERMINACAO DE FATOR REUMATOIDE,845,845,130260,2020-02
0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA,2294,2294,130260,2020-02
0202030091 DOSAGEM DE ALFA-FETOPROTEINA,40,40,130260,2020-02
0202030105 DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA),1077,1077,130260,2020-02
0202030113 DOSAGEM DE BETA-2-MICROGLOBULINA,5,5,130260,2020-02
0202030121 DOSAGEM DE COMPLEMENTO C3,131,131,130260,2020-02
0202030130 DOSAGEM DE COMPLEMENTO C4,123,123,130260,2020-02
0202030156 DOSAGEM DE IMUNOGLOBULINA A (IGA),3,3,130260,2020-02
0202030164 DOSAGEM DE IMUNOGLOBULINA E (IGE),59,59,130260,2020-02
0202030180 DOSAGEM DE IMUNOGLOBULINA M (IGM),3,3,130260,2020-02
0202030199 DOSAGEM DE INIBIDOR DE C1-ESTERASE,1,1,130260,2020-02
0202030202 DOSAGEM DE PROTEINA C REATIVA,1537,1537,130260,2020-02
0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR),263,263,130260,2020-02
0202030245 INTRADERMORREACAO COM DERIVADO PROTEICO PURIFICADO (PPD),14,14,130260,2020-02
