procedimento,2021,total,municipio_ibge,competencia
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),13,13,130260,2021-03
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,40,40,130260,2021-03
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,36,36,130260,2021-03
0101020104 ORIENTACAO DE HIGIENE BUCAL,45,45,130260,2021-03
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,1,1,130260,2021-03
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,3,3,130260,2021-03
0101040024 AVALIACAO ANTROPOMETRICA,2,2,130260,2021-03
0101050089 SESSAO DE MUSICOTERAPIA,18,18,130260,2021-03
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,11,11,130260,2021-03
0201010046 BIOPSIA DE ANUS E CANAL ANAL,9,9,130260,2021-03
0201010194 BIOPSIA DE FARINGE/LARINGE,3,3,130260,2021-03
0201010224 BIOPSIA DE GANGLIO LINFATICO,6,6,130260,2021-03
0201010232 BIOPSIA DE GLANDULA SALIVAR,2,2,130260,2021-03
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),2,2,130260,2021-03
0201010275 BIOPSIA DE MEDULA OSSEA,10,10,130260,2021-03
0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),1,1,130260,2021-03
0201010372 BIOPSIA DE PELE E PARTES MOLES,148,148,130260,2021-03
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,33,33,130260,2021-03
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,69,69,130260,2021-03
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,3,3,130260,2021-03
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,3,3,130260,2021-03
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,41,41,130260,2021-03
0201010666 BIOPSIA DO COLO UTERINO,69,69,130260,2021-03
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,221,221,130260,2021-03
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,745,745,130260,2021-03
0202010015 CLEARANCE OSMOLAR,1,1,130260,2021-03
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,182,182,130260,2021-03
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,1,1,130260,2021-03
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),362,362,130260,2021-03
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),5,5,130260,2021-03
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),18,18,130260,2021-03
0202010112 DOSAGEM DE ACIDO ASCORBICO,32,32,130260,2021-03
0202010120 DOSAGEM DE ACIDO URICO,4475,4475,130260,2021-03
0202010147 DOSAGEM DE ALDOLASE,84,84,130260,2021-03
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,5,5,130260,2021-03
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,7,7,130260,2021-03
0202010180 DOSAGEM DE AMILASE,476,476,130260,2021-03
0202010198 DOSAGEM DE AMONIA,1,1,130260,2021-03
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,2016,2016,130260,2021-03
0202010210 DOSAGEM DE CALCIO,2627,2627,130260,2021-03
0202010228 DOSAGEM DE CALCIO IONIZAVEL,306,306,130260,2021-03
0202010252 DOSAGEM DE CERULOPLASMINA,11,11,130260,2021-03
0202010260 DOSAGEM DE CLORETO,494,494,130260,2021-03
0202010279 DOSAGEM DE COLESTEROL HDL,12764,12764,130260,2021-03
0202010287 DOSAGEM DE COLESTEROL LDL,10696,10696,130260,2021-03
0202010295 DOSAGEM DE COLESTEROL TOTAL,16464,16464,130260,2021-03
0202010309 DOSAGEM DE COLINESTERASE,1,1,130260,2021-03
0202010317 DOSAGEM DE CREATININA,12796,12796,130260,2021-03
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),1075,1075,130260,2021-03
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,355,355,130260,2021-03
0202010341 DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA,1,1,130260,2021-03
0202010368 DOSAGEM DE DESIDROGENASE LATICA,1063,1063,130260,2021-03
0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS),7,7,130260,2021-03
0202010384 DOSAGEM DE FERRITINA,2241,2241,130260,2021-03
0202010392 DOSAGEM DE FERRO SERICO,1427,1427,130260,2021-03
