procedimento,2020,total,municipio_ibge,competencia
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,1,1,130260,2020-06
0201010046 BIOPSIA DE ANUS E CANAL ANAL,2,2,130260,2020-06
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),1,1,130260,2020-06
0201010275 BIOPSIA DE MEDULA OSSEA,6,6,130260,2020-06
0201010372 BIOPSIA DE PELE E PARTES MOLES,42,42,130260,2020-06
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,12,12,130260,2020-06
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,25,25,130260,2020-06
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,1,1,130260,2020-06
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,5,5,130260,2020-06
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,33,33,130260,2020-06
0201010666 BIOPSIA DO COLO UTERINO,65,65,130260,2020-06
0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR,4,4,130260,2020-06
0201020025 COLETA DE LINFA PARA PESQUISA DE M LEPRAE,2,2,130260,2020-06
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,40,40,130260,2020-06
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,715,715,130260,2020-06
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,11,11,130260,2020-06
0202010015 CLEARANCE OSMOLAR,1,1,130260,2020-06
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,158,158,130260,2020-06
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),155,155,130260,2020-06
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),19,19,130260,2020-06
0202010112 DOSAGEM DE ACIDO ASCORBICO,12,12,130260,2020-06
