procedimento,2020,total,municipio_ibge,competencia
0101020066 APLICACAO DE SELANTE (POR DENTE),14,14,130260,2020-09
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),13,13,130260,2020-09
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,13,13,130260,2020-09
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,27,27,130260,2020-09
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,6,6,130260,2020-09
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,44,44,130260,2020-09
0101040024 AVALIACAO ANTROPOMETRICA,1,1,130260,2020-09
0101050011 PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA,47,47,130260,2020-09
0101050062 SESSAO DE ARTETERAPIA,1,1,130260,2020-09
0101050070 SESSAO DE MEDITACAO,188,188,130260,2020-09
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,23,23,130260,2020-09
0201010046 BIOPSIA DE ANUS E CANAL ANAL,10,10,130260,2020-09
0201010119 BIOPSIA DE CORNEA,1,1,130260,2020-09
0201010224 BIOPSIA DE GANGLIO LINFATICO,4,4,130260,2020-09
0201010232 BIOPSIA DE GLANDULA SALIVAR,1,1,130260,2020-09
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),4,4,130260,2020-09
0201010275 BIOPSIA DE MEDULA OSSEA,18,18,130260,2020-09
0201010372 BIOPSIA DE PELE E PARTES MOLES,171,171,130260,2020-09
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2020-09
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,26,26,130260,2020-09
0201010445 BIOPSIA DE SEIO PARANASAL,1,1,130260,2020-09
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,55,55,130260,2020-09
0201010500 BIOPSIA/PUNCAO DE VAGINA,1,1,130260,2020-09
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,8,8,130260,2020-09
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,5,5,130260,2020-09
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,1,1,130260,2020-09
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,2,2,130260,2020-09
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,32,32,130260,2020-09
0201010666 BIOPSIA DO COLO UTERINO,52,52,130260,2020-09
0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR,2,2,130260,2020-09
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,222,222,130260,2020-09
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,1015,1015,130260,2020-09
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,173,173,130260,2020-09
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,1,1,130260,2020-09
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),295,295,130260,2020-09
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2020-09
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),15,15,130260,2020-09
0202010082 DETERMINACAO DE OSMOLARIDADE,1,1,130260,2020-09
0202010090 DOSAGEM DE 5-NUCLEOTIDASE,1,1,130260,2020-09
0202010112 DOSAGEM DE ACIDO ASCORBICO,49,49,130260,2020-09
0202010120 DOSAGEM DE ACIDO URICO,3231,3231,130260,2020-09
0202010139 DOSAGEM DE ACIDO VANILMANDELICO,1,1,130260,2020-09
0202010147 DOSAGEM DE ALDOLASE,65,65,130260,2020-09
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,2,2,130260,2020-09
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,19,19,130260,2020-09
0202010180 DOSAGEM DE AMILASE,381,381,130260,2020-09
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,1705,1705,130260,2020-09
0202010210 DOSAGEM DE CALCIO,2209,2209,130260,2020-09
0202010228 DOSAGEM DE CALCIO IONIZAVEL,114,114,130260,2020-09
0202010252 DOSAGEM DE CERULOPLASMINA,4,4,130260,2020-09
0202010260 DOSAGEM DE CLORETO,200,200,130260,2020-09
0202010279 DOSAGEM DE COLESTEROL HDL,7050,7050,130260,2020-09
0202010287 DOSAGEM DE COLESTEROL LDL,6849,6849,130260,2020-09
