procedimento,2020,total,municipio_ibge,competencia
0101020066 APLICACAO DE SELANTE (POR DENTE),2,2,130260,2020-07
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),13,13,130260,2020-07
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,20,20,130260,2020-07
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,33,33,130260,2020-07
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,2,2,130260,2020-07
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,28,28,130260,2020-07
0101040024 AVALIACAO ANTROPOMETRICA,2,2,130260,2020-07
0101050062 SESSAO DE ARTETERAPIA,1,1,130260,2020-07
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,5,5,130260,2020-07
0201010046 BIOPSIA DE ANUS E CANAL ANAL,8,8,130260,2020-07
0201010224 BIOPSIA DE GANGLIO LINFATICO,3,3,130260,2020-07
0201010232 BIOPSIA DE GLANDULA SALIVAR,8,8,130260,2020-07
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),1,1,130260,2020-07
0201010275 BIOPSIA DE MEDULA OSSEA,13,13,130260,2020-07
0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),7,7,130260,2020-07
0201010330 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),2,2,130260,2020-07
0201010356 BIOPSIA DE PALPEBRA,1,1,130260,2020-07
0201010372 BIOPSIA DE PELE E PARTES MOLES,190,190,130260,2020-07
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),4,4,130260,2020-07
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,36,36,130260,2020-07
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,50,50,130260,2020-07
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,8,8,130260,2020-07
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,3,3,130260,2020-07
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,40,40,130260,2020-07
0201010666 BIOPSIA DO COLO UTERINO,52,52,130260,2020-07
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,171,171,130260,2020-07
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,758,758,130260,2020-07
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,31,31,130260,2020-07
