procedimento,2021,total,municipio_ibge,competencia
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),6,6,130260,2021-12
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,16,16,130260,2021-12
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,121,121,130260,2021-12
0101020104 ORIENTACAO DE HIGIENE BUCAL,39,39,130260,2021-12
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,8,8,130260,2021-12
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,18,18,130260,2021-12
0101040024 AVALIACAO ANTROPOMETRICA,1,1,130260,2021-12
0101040032 COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),15,15,130260,2021-12
0101050089 SESSAO DE MUSICOTERAPIA,3,3,130260,2021-12
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,56,56,130260,2021-12
0201010194 BIOPSIA DE FARINGE/LARINGE,1,1,130260,2021-12
0201010216 BIOPSIA DE FIGADO POR PUNCAO,1,1,130260,2021-12
0201010232 BIOPSIA DE GLANDULA SALIVAR,10,10,130260,2021-12
0201010275 BIOPSIA DE MEDULA OSSEA,25,25,130260,2021-12
0201010372 BIOPSIA DE PELE E PARTES MOLES,189,189,130260,2021-12
0201010399 BIOPSIA DE PIRAMIDE NASAL,1,1,130260,2021-12
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2021-12
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,37,37,130260,2021-12
0201010500 BIOPSIA/PUNCAO DE VAGINA,1,1,130260,2021-12
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,7,7,130260,2021-12
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,8,8,130260,2021-12
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,10,10,130260,2021-12
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,5,5,130260,2021-12
0201010631 PUNCAO LOMBAR,1,1,130260,2021-12
0201010666 BIOPSIA DO COLO UTERINO,81,81,130260,2021-12
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,78,78,130260,2021-12
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,2897,2897,130260,2021-12
0202010015 CLEARANCE OSMOLAR,1,1,130260,2021-12
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,204,204,130260,2021-12
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,2,2,130260,2021-12
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),92,92,130260,2021-12
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2021-12
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),5,5,130260,2021-12
