procedimento,2021,total,municipio_ibge,competencia
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),13,13,130260,2021-02
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,11,11,130260,2021-02
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,30,30,130260,2021-02
0101020104 ORIENTACAO DE HIGIENE BUCAL,46,46,130260,2021-02
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,14,14,130260,2021-02
0101040024 AVALIACAO ANTROPOMETRICA,5,5,130260,2021-02
0101050062 SESSAO DE ARTETERAPIA,1,1,130260,2021-02
0101050089 SESSAO DE MUSICOTERAPIA,35,35,130260,2021-02
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,4,4,130260,2021-02
0201010216 BIOPSIA DE FIGADO POR PUNCAO,1,1,130260,2021-02
0201010275 BIOPSIA DE MEDULA OSSEA,9,9,130260,2021-02
0201010372 BIOPSIA DE PELE E PARTES MOLES,48,48,130260,2021-02
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2021-02
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,22,22,130260,2021-02
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,31,31,130260,2021-02
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,1,1,130260,2021-02
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,48,48,130260,2021-02
0201010666 BIOPSIA DO COLO UTERINO,44,44,130260,2021-02
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,93,93,130260,2021-02
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,665,665,130260,2021-02
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,16,16,130260,2021-02
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,151,151,130260,2021-02
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),358,358,130260,2021-02
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),3,3,130260,2021-02
0202010066 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS),1,1,130260,2021-02
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),14,14,130260,2021-02
0202010090 DOSAGEM DE 5-NUCLEOTIDASE,2,2,130260,2021-02
0202010104 DOSAGEM DE ACETONA,732,732,130260,2021-02
0202010112 DOSAGEM DE ACIDO ASCORBICO,23,23,130260,2021-02
0202010120 DOSAGEM DE ACIDO URICO,3697,3697,130260,2021-02
0202010147 DOSAGEM DE ALDOLASE,63,63,130260,2021-02
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,2,2,130260,2021-02
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,10,10,130260,2021-02
0202010171 DOSAGEM DE ALFA-2-MACROGLOBULINA,2,2,130260,2021-02
0202010180 DOSAGEM DE AMILASE,479,479,130260,2021-02
0202010198 DOSAGEM DE AMONIA,1,1,130260,2021-02
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,1866,1866,130260,2021-02
0202010210 DOSAGEM DE CALCIO,2092,2092,130260,2021-02
0202010228 DOSAGEM DE CALCIO IONIZAVEL,148,148,130260,2021-02
0202010252 DOSAGEM DE CERULOPLASMINA,6,6,130260,2021-02
0202010260 DOSAGEM DE CLORETO,231,231,130260,2021-02
0202010279 DOSAGEM DE COLESTEROL HDL,9084,9084,130260,2021-02
0202010287 DOSAGEM DE COLESTEROL LDL,8430,8430,130260,2021-02
0202010295 DOSAGEM DE COLESTEROL TOTAL,11022,11022,130260,2021-02
0202010309 DOSAGEM DE COLINESTERASE,5,5,130260,2021-02
0202010317 DOSAGEM DE CREATININA,11021,11021,130260,2021-02
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),1061,1061,130260,2021-02
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,430,430,130260,2021-02
0202010341 DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA,3,3,130260,2021-02
0202010368 DOSAGEM DE DESIDROGENASE LATICA,1183,1183,130260,2021-02
0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS),14,14,130260,2021-02
0202010384 DOSAGEM DE FERRITINA,1688,1688,130260,2021-02
0202010392 DOSAGEM DE FERRO SERICO,856,856,130260,2021-02
0202010406 DOSAGEM DE FOLATO,137,137,130260,2021-02
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,5,5,130260,2021-02
0202010422 DOSAGEM DE FOSFATASE ALCALINA,1929,1929,130260,2021-02
0202010430 DOSAGEM DE FOSFORO,1428,1428,130260,2021-02
0202010449 DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,1,1,130260,2021-02
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),2326,2326,130260,2021-02
0202010473 DOSAGEM DE GLICOSE,14328,14328,130260,2021-02
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,3,3,130260,2021-02
0202010490 DOSAGEM DE HAPTOGLOBINA,1,1,130260,2021-02
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,4635,4635,130260,2021-02
0202010538 DOSAGEM DE LACTATO,38,38,130260,2021-02
0202010554 DOSAGEM DE LIPASE,301,301,130260,2021-02
0202010562 DOSAGEM DE MAGNESIO,870,870,130260,2021-02
0202010570 DOSAGEM DE MUCO-PROTEINAS,59,59,130260,2021-02
0202010600 DOSAGEM DE POTASSIO,4535,4535,130260,2021-02
0202010619 DOSAGEM DE PROTEINAS TOTAIS,41,41,130260,2021-02
0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES,582,582,130260,2021-02
0202010635 DOSAGEM DE SODIO,3057,3057,130260,2021-02
0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),8482,8482,130260,2021-02
0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),9726,9726,130260,2021-02
0202010660 DOSAGEM DE TRANSFERRINA,464,464,130260,2021-02
0202010678 DOSAGEM DE TRIGLICERIDEOS,9654,9654,130260,2021-02
0202010686 DOSAGEM DE TRIPTOFANO,8,8,130260,2021-02
0202010694 DOSAGEM DE UREIA,11613,11613,130260,2021-02
