procedimento,2020,total,municipio_ibge,competencia
0101020058 APLICACAO DE CARIOSTATICO (POR DENTE),1,1,130260,2020-11
0101020066 APLICACAO DE SELANTE (POR DENTE),17,17,130260,2020-11
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),25,25,130260,2020-11
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,46,46,130260,2020-11
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,20,20,130260,2020-11
0101020104 ORIENTACAO DE HIGIENE BUCAL,70,70,130260,2020-11
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,11,11,130260,2020-11
0101040024 AVALIACAO ANTROPOMETRICA,2,2,130260,2020-11
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,43,43,130260,2020-11
0201010046 BIOPSIA DE ANUS E CANAL ANAL,12,12,130260,2020-11
0201010119 BIOPSIA DE CORNEA,1,1,130260,2020-11
0201010216 BIOPSIA DE FIGADO POR PUNCAO,4,4,130260,2020-11
0201010224 BIOPSIA DE GANGLIO LINFATICO,5,5,130260,2020-11
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),1,1,130260,2020-11
0201010275 BIOPSIA DE MEDULA OSSEA,17,17,130260,2020-11
0201010305 BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO),1,1,130260,2020-11
0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),3,3,130260,2020-11
0201010372 BIOPSIA DE PELE E PARTES MOLES,180,180,130260,2020-11
0201010380 BIOPSIA DE PENIS,1,1,130260,2020-11
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),3,3,130260,2020-11
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,36,36,130260,2020-11
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,61,61,130260,2020-11
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,5,5,130260,2020-11
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,4,4,130260,2020-11
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,2,2,130260,2020-11
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,3,3,130260,2020-11
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,56,56,130260,2020-11
0201010666 BIOPSIA DO COLO UTERINO,186,186,130260,2020-11
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,221,221,130260,2020-11
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,1183,1183,130260,2020-11
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,10,10,130260,2020-11
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,201,201,130260,2020-11
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),329,329,130260,2020-11
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2020-11
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),21,21,130260,2020-11
0202010090 DOSAGEM DE 5-NUCLEOTIDASE,1,1,130260,2020-11
0202010112 DOSAGEM DE ACIDO ASCORBICO,52,52,130260,2020-11
0202010120 DOSAGEM DE ACIDO URICO,4076,4076,130260,2020-11
0202010147 DOSAGEM DE ALDOLASE,53,53,130260,2020-11
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,1,1,130260,2020-11
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,21,21,130260,2020-11
0202010171 DOSAGEM DE ALFA-2-MACROGLOBULINA,1,1,130260,2020-11
0202010180 DOSAGEM DE AMILASE,370,370,130260,2020-11
0202010198 DOSAGEM DE AMONIA,1,1,130260,2020-11
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,1980,1980,130260,2020-11
0202010210 DOSAGEM DE CALCIO,2691,2691,130260,2020-11
0202010228 DOSAGEM DE CALCIO IONIZAVEL,112,112,130260,2020-11
0202010236 DOSAGEM DE CAROTENO,1,1,130260,2020-11
0202010252 DOSAGEM DE CERULOPLASMINA,3,3,130260,2020-11
0202010260 DOSAGEM DE CLORETO,207,207,130260,2020-11
0202010279 DOSAGEM DE COLESTEROL HDL,9694,9694,130260,2020-11
0202010287 DOSAGEM DE COLESTEROL LDL,9379,9379,130260,2020-11
0202010295 DOSAGEM DE COLESTEROL TOTAL,11824,11824,130260,2020-11
0202010309 DOSAGEM DE COLINESTERASE,9,9,130260,2020-11
0202010317 DOSAGEM DE CREATININA,10596,10596,130260,2020-11
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),283,283,130260,2020-11
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,123,123,130260,2020-11
0202010368 DOSAGEM DE DESIDROGENASE LATICA,166,166,130260,2020-11
0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS),3,3,130260,2020-11
0202010384 DOSAGEM DE FERRITINA,1625,1625,130260,2020-11
0202010392 DOSAGEM DE FERRO SERICO,976,976,130260,2020-11
0202010406 DOSAGEM DE FOLATO,190,190,130260,2020-11
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,5,5,130260,2020-11
0202010422 DOSAGEM DE FOSFATASE ALCALINA,2580,2580,130260,2020-11
0202010430 DOSAGEM DE FOSFORO,1690,1690,130260,2020-11
0202010449 DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,1,1,130260,2020-11
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),2820,2820,130260,2020-11
0202010473 DOSAGEM DE GLICOSE,13752,13752,130260,2020-11
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,3,3,130260,2020-11
0202010490 DOSAGEM DE HAPTOGLOBINA,3,3,130260,2020-11
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,4862,4862,130260,2020-11
0202010538 DOSAGEM DE LACTATO,7,7,130260,2020-11
0202010554 DOSAGEM DE LIPASE,180,180,130260,2020-11
