lista morb  cid-10,2022,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1101,1101,130260,2022-06
Cólera,5,5,130260,2022-06
Febres tifóide e paratifóide,2,2,130260,2022-06
Amebíase,4,4,130260,2022-06
Diarréia e gastroenterite origem infecc presum,297,297,130260,2022-06
Outras doenças infecciosas intestinais,98,98,130260,2022-06
Tuberculose respiratória,22,22,130260,2022-06
Tuberculose pulmonar,19,19,130260,2022-06
Outras tuberculoses respiratórias,3,3,130260,2022-06
Outras tuberculoses,3,3,130260,2022-06
Tuberc intest peritônio glângl mesentéricos,1,1,130260,2022-06
Restante de outras tuberculoses,2,2,130260,2022-06
Hanseníase [lepra],3,3,130260,2022-06
Outros tétanos,2,2,130260,2022-06
Coqueluche,2,2,130260,2022-06
Septicemia,103,103,130260,2022-06
Outras doenças bacterianas,176,176,130260,2022-06
Leptospirose não especificada,1,1,130260,2022-06
Restante de outras doenças bacterianas,175,175,130260,2022-06
Sífilis congênita,13,13,130260,2022-06
Outras sífilis,4,4,130260,2022-06
Outras infecções com transm predominant sexual,1,1,130260,2022-06
Febres recorrentes,3,3,130260,2022-06
Encefalite viral,2,2,130260,2022-06
Outras febre p/arbovírus e febr hemorr p/vírus,51,51,130260,2022-06
Dengue [dengue clásssico],46,46,130260,2022-06
Febre hemorrágica devida ao vírus da dengue,3,3,130260,2022-06
Restante outr febr arbovírus febr hemor vírus,2,2,130260,2022-06
Varicela e herpes zoster,8,8,130260,2022-06
Hepatite aguda B,1,1,130260,2022-06
Outras hepatites virais,9,9,130260,2022-06
Doença pelo vírus da imunodefic humana [HIV],201,201,130260,2022-06
Caxumba [parotidite epidêmica],4,4,130260,2022-06
Outras doenças virais,43,43,130260,2022-06
Meningite viral,1,1,130260,2022-06
Restante de outras doenças virais,42,42,130260,2022-06
Micoses,4,4,130260,2022-06
Malária,21,21,130260,2022-06
Malária por Plasmodium falciparum,2,2,130260,2022-06
Malária por Plasmodium vivax,11,11,130260,2022-06
Malária não especificada,8,8,130260,2022-06
Leishmaniose,3,3,130260,2022-06
Leishmaniose cutânea,3,3,130260,2022-06
Outras helmintíases,4,4,130260,2022-06
Seqüelas de hanseníase [lepra],1,1,130260,2022-06
Outras doenças infecciosas e parasitárias,11,11,130260,2022-06
02 Neoplasias (tumores),673,673,130260,2022-06
Neoplasia maligna do lábio cavid oral e faringe,4,4,130260,2022-06
Neoplasia maligna do esôfago,5,5,130260,2022-06
Neoplasia maligna do estômago,15,15,130260,2022-06
Neoplasia maligna do cólon,18,18,130260,2022-06
Neopl malig junção retoss reto ânus canal anal,21,21,130260,2022-06
Neopl malig fígado e vias biliares intra-hepát,2,2,130260,2022-06
Neoplasia maligna do pâncreas,1,1,130260,2022-06
Outras neoplasias malignas de órgãos digestivos,6,6,130260,2022-06
Neoplasias malignas de laringe,4,4,130260,2022-06
