lista morb  cid-10,2020,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1033,1033,130260,2020-01
Febres tifóide e paratifóide,1,1,130260,2020-01
Amebíase,7,7,130260,2020-01
Diarréia e gastroenterite origem infecc presum,308,308,130260,2020-01
Outras doenças infecciosas intestinais,91,91,130260,2020-01
Tuberculose respiratória,17,17,130260,2020-01
Tuberculose pulmonar,10,10,130260,2020-01
Outras tuberculoses respiratórias,7,7,130260,2020-01
Outras tuberculoses,2,2,130260,2020-01
Tuberculose óssea e das articulações,1,1,130260,2020-01
Restante de outras tuberculoses,1,1,130260,2020-01
Difteria,1,1,130260,2020-01
Coqueluche,4,4,130260,2020-01
Septicemia,130,130,130260,2020-01
Outras doenças bacterianas,185,185,130260,2020-01
Leptospirose não especificada,2,2,130260,2020-01
Restante de outras doenças bacterianas,183,183,130260,2020-01
Sífilis congênita,8,8,130260,2020-01
Outras sífilis,3,3,130260,2020-01
Outras infecções com transm predominant sexual,5,5,130260,2020-01
Febres recorrentes,6,6,130260,2020-01
Raiva,1,1,130260,2020-01
Encefalite viral,4,4,130260,2020-01
Outras febre p/arbovírus e febr hemorr p/vírus,55,55,130260,2020-01
Dengue [dengue clásssico],48,48,130260,2020-01
Febre hemorrágica devida ao vírus da dengue,6,6,130260,2020-01
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2020-01
Infecções pelo vírus do herpes,4,4,130260,2020-01
Varicela e herpes zoster,6,6,130260,2020-01
Hepatite aguda B,3,3,130260,2020-01
Outras hepatites virais,17,17,130260,2020-01
Doença pelo vírus da imunodefic humana [HIV],116,116,130260,2020-01
Caxumba [parotidite epidêmica],3,3,130260,2020-01
Outras doenças virais,20,20,130260,2020-01
Restante de outras doenças virais,20,20,130260,2020-01
Micoses,7,7,130260,2020-01
Malária,18,18,130260,2020-01
Malária por Plasmodium falciparum,1,1,130260,2020-01
Malária por Plasmodium vivax,9,9,130260,2020-01
Malária por Plasmodium malariae,1,1,130260,2020-01
Malária não especificada,7,7,130260,2020-01
Leishmaniose,2,2,130260,2020-01
Leishmaniose cutânea,1,1,130260,2020-01
Leishmaniose não especificada,1,1,130260,2020-01
Outras helmintíases,4,4,130260,2020-01
Outras doenças infecciosas e parasitárias,5,5,130260,2020-01
02 Neoplasias (tumores),532,532,130260,2020-01
Neoplasia maligna do lábio cavid oral e faringe,6,6,130260,2020-01
Neoplasia maligna do esôfago,8,8,130260,2020-01
Neoplasia maligna do estômago,17,17,130260,2020-01
Neoplasia maligna do cólon,15,15,130260,2020-01
Neopl malig junção retoss reto ânus canal anal,13,13,130260,2020-01
Neopl malig fígado e vias biliares intra-hepát,6,6,130260,2020-01
Neoplasia maligna do pâncreas,2,2,130260,2020-01
Outras neoplasias malignas de órgãos digestivos,4,4,130260,2020-01
Neoplasias malignas de laringe,8,8,130260,2020-01
Neoplasia maligna de traquéia brônquios e pulm,9,9,130260,2020-01
Outras neopl malig órg respirat e intratorác,1,1,130260,2020-01
Neoplasia maligna do osso e cartilagem articul,4,4,130260,2020-01
Neoplasia maligna da pele,4,4,130260,2020-01
Outras neoplasias malignas da pele,4,4,130260,2020-01
Neopl malig do tecido mesotelial e tec moles,11,11,130260,2020-01
Neoplasia maligna da mama,32,32,130260,2020-01
Neoplasia maligna do colo do útero,42,42,130260,2020-01
Neopl malig outr porções e porç não espec útero,8,8,130260,2020-01
Outras neopl malignas órgãos genitais femininos,12,12,130260,2020-01
Neoplasia maligna da próstata,15,15,130260,2020-01
Outras neopl malignas órgãos genit masculinos,6,6,130260,2020-01
Neoplasia maligna da bexiga,9,9,130260,2020-01
Outras neoplasias malignas do trato urinário,5,5,130260,2020-01
Neoplasia maligna do encéfalo,9,9,130260,2020-01
Neopl malig outras partes sistema nerv central,2,2,130260,2020-01
Neopl malig outr local mal def secun e não esp,34,34,130260,2020-01
Doença de Hodgkin,3,3,130260,2020-01
Linfoma não-Hodgkin,12,12,130260,2020-01
Leucemia,96,96,130260,2020-01
Outras neopl malig tecidos linfóid hemat e rel,5,5,130260,2020-01
Carcinoma in situ de colo do útero,3,3,130260,2020-01
Neoplasia benigna da pele,3,3,130260,2020-01
Leiomioma do útero,62,62,130260,2020-01
Neoplasia benigna do ovário,2,2,130260,2020-01
Neoplasia benigna dos órgãos urinários,1,1,130260,2020-01
Neopl benig encéfalo e outr part sist nerv cent,16,16,130260,2020-01
Outr neopl in situ benigs e comport incert desc,43,43,130260,2020-01
03 Doenças sangue órgãos hemat e transt imunitár,97,97,130260,2020-01
Anemia por deficiência de ferro,7,7,130260,2020-01
Outras anemias,69,69,130260,2020-01
Afecç hemorrág e outr doenç sang e órg hematop,20,20,130260,2020-01
Alguns transtornos envolvendo mecanismo imunit,1,1,130260,2020-01
04 Doenças endócrinas nutricionais e metabólicas,308,308,130260,2020-01
Outros transtornos tireoidianos,1,1,130260,2020-01
Diabetes mellitus,244,244,130260,2020-01
Desnutrição,19,19,130260,2020-01
Depleção de volume,12,12,130260,2020-01
Outros transt endócrinos nutricionais metabólic,32,32,130260,2020-01
05 Transtornos mentais e comportamentais,12,12,130260,2020-01
Demência,1,1,130260,2020-01
Transt mentais e comportamentais dev uso álcool,1,1,130260,2020-01
Esquizofrenia transt esquizotípicos e delirant,2,2,130260,2020-01
Transtornos de humor [afetivos],6,6,130260,2020-01
Outros transtornos mentais e comportamentais,2,2,130260,2020-01
06 Doenças do sistema nervoso,226,226,130260,2020-01
Doenças inflamatórias do sistema nervoso centr,5,5,130260,2020-01
Meningite bacteriana não classif outra parte,4,4,130260,2020-01
Restante doenças inflamat sist nervoso centr,1,1,130260,2020-01
Doença de Parkinson,2,2,130260,2020-01
Epilepsia,39,39,130260,2020-01
Enxaqueca e outras síndromes de algias cefálic,2,2,130260,2020-01
Acid vascular cerebr isquêm transit e síndr cor,106,106,130260,2020-01
Transtornos dos nervos raízes e plexos nervosos,3,3,130260,2020-01
Outras doenças do sistema nervoso,69,69,130260,2020-01
07 Doenças do olho e anexos,31,31,130260,2020-01
Inflamação da pálpebra,1,1,130260,2020-01
Ceratite e outros transtornos esclerót e córnea,1,1,130260,2020-01
Descolamentos e defeitos da retina,16,16,130260,2020-01
Estrabismo,2,2,130260,2020-01
Outras doenças do olho e anexos,11,11,130260,2020-01
08 Doenças do ouvido e da apófise mastóide,27,27,130260,2020-01
Otite média e outr transt ouvid médio apóf mast,17,17,130260,2020-01
Outras doenças do ouvido e da apófise mastóide,10,10,130260,2020-01
09 Doenças do aparelho circulatório,1056,1056,130260,2020-01
Febre reumática aguda,2,2,130260,2020-01
Doença reumática crônica do coração,9,9,130260,2020-01
Hipertensão essencial (primária),120,120,130260,2020-01
Outras doenças hipertensivas,25,25,130260,2020-01
Infarto agudo do miocárdio,151,151,130260,2020-01
Outras doenças isquêmicas do coração,112,112,130260,2020-01
Transtornos de condução e arritmias cardíacas,51,51,130260,2020-01
Insuficiência cardíaca,228,228,130260,2020-01
Outras doenças do coração,38,38,130260,2020-01
Hemorragia intracraniana,64,64,130260,2020-01
Infarto cerebral,3,3,130260,2020-01
Acid vascular cerebr não espec hemorrág ou isq,107,107,130260,2020-01
Outras doenças cerebrovasculares,3,3,130260,2020-01
Arteroesclerose,8,8,130260,2020-01
Outras doenças vasculares periféricas,7,7,130260,2020-01
Embolia e trombose arteriais,6,6,130260,2020-01
