lista morb  cid-10,2021,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,2951,2951,130260,2021-05
Febres tifóide e paratifóide,1,1,130260,2021-05
Amebíase,6,6,130260,2021-05
Diarréia e gastroenterite origem infecc presum,221,221,130260,2021-05
Outras doenças infecciosas intestinais,84,84,130260,2021-05
Tuberculose respiratória,9,9,130260,2021-05
Tuberculose pulmonar,7,7,130260,2021-05
Outras tuberculoses respiratórias,2,2,130260,2021-05
Difteria,1,1,130260,2021-05
Septicemia,112,112,130260,2021-05
Outras doenças bacterianas,198,198,130260,2021-05
Leptospirose não especificada,3,3,130260,2021-05
Restante de outras doenças bacterianas,195,195,130260,2021-05
Sífilis congênita,40,40,130260,2021-05
Outras sífilis,2,2,130260,2021-05
Doenças por clamídias transmitidas via sexual,1,1,130260,2021-05
Outras infecções com transm predominant sexual,1,1,130260,2021-05
Encefalite viral,4,4,130260,2021-05
Outras febre p/arbovírus e febr hemorr p/vírus,129,129,130260,2021-05
Dengue [dengue clásssico],128,128,130260,2021-05
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2021-05
Infecções pelo vírus do herpes,3,3,130260,2021-05
Varicela e herpes zoster,10,10,130260,2021-05
Hepatite aguda B,1,1,130260,2021-05
Outras hepatites virais,9,9,130260,2021-05
Doença pelo vírus da imunodefic humana [HIV],140,140,130260,2021-05
Outras doenças virais,1941,1941,130260,2021-05
Meningite viral,1,1,130260,2021-05
Restante de outras doenças virais,1940,1940,130260,2021-05
Micoses,3,3,130260,2021-05
Malária,13,13,130260,2021-05
Malária por Plasmodium falciparum,1,1,130260,2021-05
Malária por Plasmodium vivax,10,10,130260,2021-05
Malária não especificada,2,2,130260,2021-05
Leishmaniose,4,4,130260,2021-05
Leishmaniose cutânea,2,2,130260,2021-05
Leishmaniose não especificada,2,2,130260,2021-05
Outras helmintíases,3,3,130260,2021-05
Seqüelas de hanseníase [lepra],2,2,130260,2021-05
Outras doenças infecciosas e parasitárias,13,13,130260,2021-05
02 Neoplasias (tumores),335,335,130260,2021-05
Neoplasia maligna do lábio cavid oral e faringe,3,3,130260,2021-05
Neoplasia maligna do esôfago,10,10,130260,2021-05
Neoplasia maligna do estômago,12,12,130260,2021-05
Neoplasia maligna do cólon,10,10,130260,2021-05
Neopl malig junção retoss reto ânus canal anal,5,5,130260,2021-05
Neopl malig fígado e vias biliares intra-hepát,4,4,130260,2021-05
Neoplasia maligna do pâncreas,3,3,130260,2021-05
Outras neoplasias malignas de órgãos digestivos,1,1,130260,2021-05
Neoplasias malignas de laringe,5,5,130260,2021-05
Neoplasia maligna de traquéia brônquios e pulm,18,18,130260,2021-05
Outras neopl malig órg respirat e intratorác,2,2,130260,2021-05
Neoplasia maligna do osso e cartilagem articul,7,7,130260,2021-05
Outras neoplasias malignas da pele,6,6,130260,2021-05
Neopl malig do tecido mesotelial e tec moles,3,3,130260,2021-05
Neoplasia maligna da mama,13,13,130260,2021-05
Neoplasia maligna do colo do útero,20,20,130260,2021-05
Neopl malig outr porções e porç não espec útero,9,9,130260,2021-05
Outras neopl malignas órgãos genitais femininos,5,5,130260,2021-05
Neoplasia maligna da próstata,11,11,130260,2021-05
Outras neopl malignas órgãos genit masculinos,3,3,130260,2021-05
Neoplasia maligna da bexiga,2,2,130260,2021-05
Outras neoplasias malignas do trato urinário,6,6,130260,2021-05
Neoplasia maligna do encéfalo,3,3,130260,2021-05
Neopl malig outr local mal def secun e não esp,18,18,130260,2021-05
Doença de Hodgkin,1,1,130260,2021-05
Linfoma não-Hodgkin,9,9,130260,2021-05
Leucemia,60,60,130260,2021-05
Outras neopl malig tecidos linfóid hemat e rel,1,1,130260,2021-05
Carcinoma in situ de colo do útero,3,3,130260,2021-05
Leiomioma do útero,38,38,130260,2021-05
Neopl benig encéfalo e outr part sist nerv cent,6,6,130260,2021-05
Outr neopl in situ benigs e comport incert desc,38,38,130260,2021-05
03 Doenças sangue órgãos hemat e transt imunitár,120,120,130260,2021-05
Anemia por deficiência de ferro,20,20,130260,2021-05
Outras anemias,74,74,130260,2021-05
Afecç hemorrág e outr doenç sang e órg hematop,26,26,130260,2021-05
04 Doenças endócrinas nutricionais e metabólicas,406,406,130260,2021-05
Transtornos tireoidianos relac deficiência iodo,1,1,130260,2021-05
Tireotoxicose,1,1,130260,2021-05
Outros transtornos tireoidianos,2,2,130260,2021-05
Diabetes mellitus,364,364,130260,2021-05
Desnutrição,15,15,130260,2021-05
Obesidade,3,3,130260,2021-05
Depleção de volume,2,2,130260,2021-05
Outros transt endócrinos nutricionais metabólic,18,18,130260,2021-05
05 Transtornos mentais e comportamentais,59,59,130260,2021-05
Transt mentais e comportamentais dev uso álcool,1,1,130260,2021-05
Transt ment comport dev uso outr subst psicoat,3,3,130260,2021-05
Esquizofrenia transt esquizotípicos e delirant,45,45,130260,2021-05
Transtornos de humor [afetivos],8,8,130260,2021-05
Outros transtornos mentais e comportamentais,2,2,130260,2021-05
06 Doenças do sistema nervoso,144,144,130260,2021-05
Doenças inflamatórias do sistema nervoso centr,7,7,130260,2021-05
Meningite bacteriana não classif outra parte,4,4,130260,2021-05
Meningite em doenças bacters class outr parte,1,1,130260,2021-05
Restante doenças inflamat sist nervoso centr,2,2,130260,2021-05
Doença de Parkinson,1,1,130260,2021-05
Epilepsia,32,32,130260,2021-05
Enxaqueca e outras síndromes de algias cefálic,2,2,130260,2021-05
Acid vascular cerebr isquêm transit e síndr cor,54,54,130260,2021-05
Transtornos dos nervos raízes e plexos nervosos,4,4,130260,2021-05
Paralisia cerebral e outras síndromes paralít,1,1,130260,2021-05
Outras doenças do sistema nervoso,43,43,130260,2021-05
07 Doenças do olho e anexos,63,63,130260,2021-05
Inflamação da pálpebra,4,4,130260,2021-05
Conjuntivite e outros transtornos da conjuntiva,18,18,130260,2021-05
Ceratite e outros transtornos esclerót e córnea,2,2,130260,2021-05
Descolamentos e defeitos da retina,23,23,130260,2021-05
Outras doenças do olho e anexos,16,16,130260,2021-05
08 Doenças do ouvido e da apófise mastóide,14,14,130260,2021-05
Otite média e outr transt ouvid médio apóf mast,11,11,130260,2021-05
Outras doenças do ouvido e da apófise mastóide,3,3,130260,2021-05
09 Doenças do aparelho circulatório,839,839,130260,2021-05
Febre reumática aguda,2,2,130260,2021-05
Doença reumática crônica do coração,6,6,130260,2021-05
Hipertensão essencial (primária),79,79,130260,2021-05
Outras doenças hipertensivas,19,19,130260,2021-05
Infarto agudo do miocárdio,117,117,130260,2021-05
Outras doenças isquêmicas do coração,85,85,130260,2021-05
Embolia pulmonar,1,1,130260,2021-05
Transtornos de condução e arritmias cardíacas,25,25,130260,2021-05
Insuficiência cardíaca,191,191,130260,2021-05
Outras doenças do coração,30,30,130260,2021-05
Hemorragia intracraniana,28,28,130260,2021-05
Infarto cerebral,4,4,130260,2021-05
Acid vascular cerebr não espec hemorrág ou isq,118,118,130260,2021-05
Outras doenças cerebrovasculares,9,9,130260,2021-05
Arteroesclerose,25,25,130260,2021-05
Outras doenças vasculares periféricas,1,1,130260,2021-05
Embolia e trombose arteriais,16,16,130260,2021-05
Outras doenças das artérias arteríolas e capil,24,24,130260,2021-05
Flebite tromboflebite embolia e trombose venosa,18,18,130260,2021-05
Veias varicosas das extremidades inferiores,27,27,130260,2021-05
Hemorróidas,2,2,130260,2021-05
Outras doenças do aparelho circulatório,12,12,130260,2021-05
10 Doenças do aparelho respiratório,1062,1062,130260,2021-05
Faringite aguda e amigdalite aguda,12,12,130260,2021-05
Laringite e traqueíte agudas,5,5,130260,2021-05
Outras infecções agudas das vias aéreas super,2,2,130260,2021-05
Influenza [gripe],24,24,130260,2021-05
Pneumonia,624,624,130260,2021-05
Bronquite aguda e bronquiolite aguda,65,65,130260,2021-05
Sinusite crônica,2,2,130260,2021-05
Outras doenças do nariz e dos seios paranasais,8,8,130260,2021-05
Doenças crônicas das amígdalas e das adenóides,7,7,130260,2021-05
Outras doenças do trato respiratório superior,7,7,130260,2021-05
Bronquite enfisema e outr doenç pulm obstr crôn,20,20,130260,2021-05
Asma,87,87,130260,2021-05
Outras doenças do aparelho respiratório,199,199,130260,2021-05
11 Doenças do aparelho digestivo,1301,1301,130260,2021-05
Outros transtornos dentes e estruturas suporte,3,3,130260,2021-05
Outr doenç cavidade oral glând saliv e maxilar,7,7,130260,2021-05
Úlcera gástrica e duodenal,6,6,130260,2021-05
Gastrite e duodenite,33,33,130260,2021-05
Outras doenças do esôfago estômago e duodeno,25,25,130260,2021-05
Doenças do apêndice,314,314,130260,2021-05
Hérnia inguinal,78,78,130260,2021-05
Outras hérnias,37,37,130260,2021-05
Doença de Crohn e colite ulcerativa,4,4,130260,2021-05
Ileo paralítico e obstrução intestinal s/hérnia,52,52,130260,2021-05
Doença diverticular do intestino,10,10,130260,2021-05
Outras doenças dos intestinos e peritônio,114,114,130260,2021-05
Doença alcoólica do fígado,19,19,130260,2021-05
Outras doenças do fígado,66,66,130260,2021-05
Colelitíase e colecistite,382,382,130260,2021-05
Pancreatite aguda e outras doenças do pâncreas,30,30,130260,2021-05
Outras doenças do aparelho digestivo,121,121,130260,2021-05
