lista morb  cid-10,2022,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1398,1398,130260,2022-03
Cólera,2,2,130260,2022-03
Amebíase,3,3,130260,2022-03
Diarréia e gastroenterite origem infecc presum,208,208,130260,2022-03
Outras doenças infecciosas intestinais,90,90,130260,2022-03
Tuberculose respiratória,28,28,130260,2022-03
Tuberculose pulmonar,20,20,130260,2022-03
Outras tuberculoses respiratórias,6,6,130260,2022-03
Restante de tuberculose respiratória,2,2,130260,2022-03
Outras tuberculoses,7,7,130260,2022-03
Tuberculose do sistema nervoso,3,3,130260,2022-03
Tuberculose óssea e das articulações,1,1,130260,2022-03
Tuberculose miliar,1,1,130260,2022-03
Restante de outras tuberculoses,2,2,130260,2022-03
Peste,1,1,130260,2022-03
Coqueluche,1,1,130260,2022-03
Infecção meningocócica,1,1,130260,2022-03
Septicemia,176,176,130260,2022-03
Outras doenças bacterianas,188,188,130260,2022-03
Restante de outras doenças bacterianas,188,188,130260,2022-03
Sífilis congênita,8,8,130260,2022-03
Outras sífilis,4,4,130260,2022-03
Outras infecções com transm predominant sexual,3,3,130260,2022-03
Febres recorrentes,1,1,130260,2022-03
Encefalite viral,4,4,130260,2022-03
Outras febre p/arbovírus e febr hemorr p/vírus,49,49,130260,2022-03
Dengue [dengue clásssico],47,47,130260,2022-03
Febre hemorrágica devida ao vírus da dengue,1,1,130260,2022-03
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2022-03
Varicela e herpes zoster,6,6,130260,2022-03
Hepatite aguda B,1,1,130260,2022-03
Outras hepatites virais,18,18,130260,2022-03
Doença pelo vírus da imunodefic humana [HIV],183,183,130260,2022-03
Caxumba [parotidite epidêmica],2,2,130260,2022-03
Outras doenças virais,375,375,130260,2022-03
Meningite viral,3,3,130260,2022-03
Restante de outras doenças virais,372,372,130260,2022-03
Malária,25,25,130260,2022-03
Malária por Plasmodium falciparum,1,1,130260,2022-03
Malária por Plasmodium vivax,15,15,130260,2022-03
Malária por Plasmodium malariae,1,1,130260,2022-03
Malária não especificada,8,8,130260,2022-03
Leishmaniose,2,2,130260,2022-03
Leishmaniose cutânea,1,1,130260,2022-03
Leishmaniose não especificada,1,1,130260,2022-03
Tripanossomíase,1,1,130260,2022-03
Outras helmintíases,8,8,130260,2022-03
Seqüelas de hanseníase [lepra],1,1,130260,2022-03
Outras doenças infecciosas e parasitárias,2,2,130260,2022-03
02 Neoplasias (tumores),676,676,130260,2022-03
Neoplasia maligna do lábio cavid oral e faringe,8,8,130260,2022-03
Neoplasia maligna do esôfago,6,6,130260,2022-03
Neoplasia maligna do estômago,30,30,130260,2022-03
Neoplasia maligna do cólon,17,17,130260,2022-03
Neopl malig junção retoss reto ânus canal anal,17,17,130260,2022-03
Neopl malig fígado e vias biliares intra-hepát,5,5,130260,2022-03
Neoplasia maligna do pâncreas,7,7,130260,2022-03
Outras neoplasias malignas de órgãos digestivos,5,5,130260,2022-03
Neoplasias malignas de laringe,8,8,130260,2022-03
Neoplasia maligna de traquéia brônquios e pulm,18,18,130260,2022-03
Outras neopl malig órg respirat e intratorác,2,2,130260,2022-03
Neoplasia maligna do osso e cartilagem articul,13,13,130260,2022-03
Outras neoplasias malignas da pele,5,5,130260,2022-03
Neopl malig do tecido mesotelial e tec moles,12,12,130260,2022-03
Neoplasia maligna da mama,39,39,130260,2022-03
Neoplasia maligna do colo do útero,35,35,130260,2022-03
Neopl malig outr porções e porç não espec útero,14,14,130260,2022-03
Outras neopl malignas órgãos genitais femininos,14,14,130260,2022-03
Neoplasia maligna da próstata,13,13,130260,2022-03
Outras neopl malignas órgãos genit masculinos,2,2,130260,2022-03
Neoplasia maligna da bexiga,6,6,130260,2022-03
Outras neoplasias malignas do trato urinário,8,8,130260,2022-03
Neoplasia maligna dos olhos e anexos,1,1,130260,2022-03
Neoplasia maligna do encéfalo,7,7,130260,2022-03
Neopl malig outras partes sistema nerv central,2,2,130260,2022-03
Neopl malig outr local mal def secun e não esp,23,23,130260,2022-03
Doença de Hodgkin,4,4,130260,2022-03
Linfoma não-Hodgkin,13,13,130260,2022-03
Leucemia,86,86,130260,2022-03
Outras neopl malig tecidos linfóid hemat e rel,1,1,130260,2022-03
Carcinoma in situ de colo do útero,3,3,130260,2022-03
Neoplasia benigna da pele,4,4,130260,2022-03
Leiomioma do útero,143,143,130260,2022-03
Neoplasia benigna do ovário,1,1,130260,2022-03
Neopl benig encéfalo e outr part sist nerv cent,14,14,130260,2022-03
Outr neopl in situ benigs e comport incert desc,90,90,130260,2022-03
03 Doenças sangue órgãos hemat e transt imunitár,126,126,130260,2022-03
Anemia por deficiência de ferro,22,22,130260,2022-03
Outras anemias,79,79,130260,2022-03
Afecç hemorrág e outr doenç sang e órg hematop,25,25,130260,2022-03
04 Doenças endócrinas nutricionais e metabólicas,435,435,130260,2022-03
Tireotoxicose,1,1,130260,2022-03
Outros transtornos tireoidianos,7,7,130260,2022-03
Diabetes mellitus,342,342,130260,2022-03
Desnutrição,32,32,130260,2022-03
Depleção de volume,9,9,130260,2022-03
Outros transt endócrinos nutricionais metabólic,44,44,130260,2022-03
05 Transtornos mentais e comportamentais,76,76,130260,2022-03
Demência,2,2,130260,2022-03
