lista morb  cid-10,2022,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1160,1160,130260,2022-05
Amebíase,3,3,130260,2022-05
Diarréia e gastroenterite origem infecc presum,311,311,130260,2022-05
Outras doenças infecciosas intestinais,106,106,130260,2022-05
Tuberculose respiratória,28,28,130260,2022-05
Tuberculose pulmonar,19,19,130260,2022-05
Outras tuberculoses respiratórias,9,9,130260,2022-05
Outras tuberculoses,4,4,130260,2022-05
Tuberculose do aparelho geniturinário,1,1,130260,2022-05
Tuberculose miliar,2,2,130260,2022-05
Restante de outras tuberculoses,1,1,130260,2022-05
Hanseníase [lepra],9,9,130260,2022-05
Outros tétanos,1,1,130260,2022-05
Coqueluche,1,1,130260,2022-05
Septicemia,213,213,130260,2022-05
Outras doenças bacterianas,215,215,130260,2022-05
Restante de outras doenças bacterianas,215,215,130260,2022-05
Sífilis congênita,9,9,130260,2022-05
Outras sífilis,6,6,130260,2022-05
Doenças por clamídias transmitidas via sexual,1,1,130260,2022-05
Outras infecções com transm predominant sexual,3,3,130260,2022-05
Febres recorrentes,1,1,130260,2022-05
Encefalite viral,2,2,130260,2022-05
Outras febre p/arbovírus e febr hemorr p/vírus,36,36,130260,2022-05
Dengue [dengue clásssico],34,34,130260,2022-05
Restante outr febr arbovírus febr hemor vírus,2,2,130260,2022-05
Infecções pelo vírus do herpes,1,1,130260,2022-05
Varicela e herpes zoster,5,5,130260,2022-05
Outras hepatites virais,8,8,130260,2022-05
Doença pelo vírus da imunodefic humana [HIV],71,71,130260,2022-05
Outras doenças virais,87,87,130260,2022-05
Meningite viral,1,1,130260,2022-05
Restante de outras doenças virais,86,86,130260,2022-05
Micoses,7,7,130260,2022-05
Malária,18,18,130260,2022-05
Malária por Plasmodium falciparum,2,2,130260,2022-05
Malária por Plasmodium vivax,11,11,130260,2022-05
Malária por Plasmodium malariae,1,1,130260,2022-05
Malária não especificada,4,4,130260,2022-05
Outras helmintíases,3,3,130260,2022-05
Seqüelas de hanseníase [lepra],3,3,130260,2022-05
Outras doenças infecciosas e parasitárias,8,8,130260,2022-05
02 Neoplasias (tumores),698,698,130260,2022-05
Neoplasia maligna do lábio cavid oral e faringe,8,8,130260,2022-05
Neoplasia maligna do esôfago,9,9,130260,2022-05
Neoplasia maligna do estômago,26,26,130260,2022-05
Neoplasia maligna do cólon,9,9,130260,2022-05
Neopl malig junção retoss reto ânus canal anal,10,10,130260,2022-05
Neopl malig fígado e vias biliares intra-hepát,6,6,130260,2022-05
Neoplasia maligna do pâncreas,3,3,130260,2022-05
Outras neoplasias malignas de órgãos digestivos,4,4,130260,2022-05
Neoplasias malignas de laringe,4,4,130260,2022-05
Neoplasia maligna de traquéia brônquios e pulm,14,14,130260,2022-05
Outras neopl malig órg respirat e intratorác,1,1,130260,2022-05
Neoplasia maligna do osso e cartilagem articul,11,11,130260,2022-05
Neoplasia maligna da pele,1,1,130260,2022-05
Outras neoplasias malignas da pele,6,6,130260,2022-05
Neopl malig do tecido mesotelial e tec moles,15,15,130260,2022-05
Neoplasia maligna da mama,43,43,130260,2022-05
Neoplasia maligna do colo do útero,40,40,130260,2022-05
Neopl malig outr porções e porç não espec útero,9,9,130260,2022-05
Outras neopl malignas órgãos genitais femininos,12,12,130260,2022-05
Neoplasia maligna da próstata,11,11,130260,2022-05
Outras neopl malignas órgãos genit masculinos,1,1,130260,2022-05
Neoplasia maligna da bexiga,6,6,130260,2022-05
Outras neoplasias malignas do trato urinário,6,6,130260,2022-05
Neoplasia maligna dos olhos e anexos,1,1,130260,2022-05
Neoplasia maligna do encéfalo,10,10,130260,2022-05
Neopl malig outr local mal def secun e não esp,35,35,130260,2022-05
Doença de Hodgkin,8,8,130260,2022-05
Linfoma não-Hodgkin,20,20,130260,2022-05
Leucemia,82,82,130260,2022-05
Outras neopl malig tecidos linfóid hemat e rel,2,2,130260,2022-05
Carcinoma in situ de colo do útero,7,7,130260,2022-05
Neoplasia benigna da pele,5,5,130260,2022-05
Neoplasia benigna da mama,1,1,130260,2022-05
Leiomioma do útero,136,136,130260,2022-05
Neoplasia benigna do ovário,6,6,130260,2022-05
Neopl benig encéfalo e outr part sist nerv cent,5,5,130260,2022-05
Outr neopl in situ benigs e comport incert desc,125,125,130260,2022-05
03 Doenças sangue órgãos hemat e transt imunitár,159,159,130260,2022-05
Anemia por deficiência de ferro,25,25,130260,2022-05
Outras anemias,105,105,130260,2022-05
Afecç hemorrág e outr doenç sang e órg hematop,29,29,130260,2022-05
04 Doenças endócrinas nutricionais e metabólicas,433,433,130260,2022-05
Transtornos tireoidianos relac deficiência iodo,2,2,130260,2022-05
Outros transtornos tireoidianos,6,6,130260,2022-05
Diabetes mellitus,348,348,130260,2022-05
Desnutrição,32,32,130260,2022-05
Obesidade,3,3,130260,2022-05
Depleção de volume,6,6,130260,2022-05
Outros transt endócrinos nutricionais metabólic,36,36,130260,2022-05
05 Transtornos mentais e comportamentais,75,75,130260,2022-05
Transt mentais e comportamentais dev uso álcool,4,4,130260,2022-05
Transt ment comport dev uso outr subst psicoat,3,3,130260,2022-05
Esquizofrenia transt esquizotípicos e delirant,48,48,130260,2022-05
Transtornos de humor [afetivos],15,15,130260,2022-05
Outros transtornos mentais e comportamentais,5,5,130260,2022-05
06 Doenças do sistema nervoso,153,153,130260,2022-05
Doenças inflamatórias do sistema nervoso centr,6,6,130260,2022-05
Meningite bacteriana não classif outra parte,3,3,130260,2022-05
Restante doenças inflamat sist nervoso centr,3,3,130260,2022-05
Epilepsia,40,40,130260,2022-05
Enxaqueca e outras síndromes de algias cefálic,10,10,130260,2022-05
Acid vascular cerebr isquêm transit e síndr cor,38,38,130260,2022-05
Transtornos dos nervos raízes e plexos nervosos,9,9,130260,2022-05
Paralisia cerebral e outras síndromes paralít,2,2,130260,2022-05
Outras doenças do sistema nervoso,48,48,130260,2022-05
07 Doenças do olho e anexos,41,41,130260,2022-05
Conjuntivite e outros transtornos da conjuntiva,1,1,130260,2022-05
Descolamentos e defeitos da retina,27,27,130260,2022-05
Outras doenças do olho e anexos,13,13,130260,2022-05
08 Doenças do ouvido e da apófise mastóide,32,32,130260,2022-05
Otite média e outr transt ouvid médio apóf mast,18,18,130260,2022-05
Outras doenças do ouvido e da apófise mastóide,14,14,130260,2022-05
09 Doenças do aparelho circulatório,1158,1158,130260,2022-05
Febre reumática aguda,1,1,130260,2022-05
Doença reumática crônica do coração,13,13,130260,2022-05
Hipertensão essencial (primária),77,77,130260,2022-05
Outras doenças hipertensivas,43,43,130260,2022-05
Infarto agudo do miocárdio,185,185,130260,2022-05
Outras doenças isquêmicas do coração,131,131,130260,2022-05
