lista morb  cid-10,2020,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,968,968,130260,2020-03
Amebíase,3,3,130260,2020-03
Diarréia e gastroenterite origem infecc presum,235,235,130260,2020-03
Outras doenças infecciosas intestinais,107,107,130260,2020-03
Tuberculose respiratória,15,15,130260,2020-03
Tuberculose pulmonar,11,11,130260,2020-03
Outras tuberculoses respiratórias,4,4,130260,2020-03
Outras tuberculoses,3,3,130260,2020-03
Tuberc intest peritônio glângl mesentéricos,1,1,130260,2020-03
Tuberculose miliar,1,1,130260,2020-03
Restante de outras tuberculoses,1,1,130260,2020-03
Hanseníase [lepra],1,1,130260,2020-03
Outros tétanos,2,2,130260,2020-03
Infecção meningocócica,1,1,130260,2020-03
Septicemia,127,127,130260,2020-03
Outras doenças bacterianas,210,210,130260,2020-03
Leptospirose não especificada,1,1,130260,2020-03
Restante de outras doenças bacterianas,209,209,130260,2020-03
Sífilis congênita,20,20,130260,2020-03
Outras sífilis,1,1,130260,2020-03
Outras infecções com transm predominant sexual,2,2,130260,2020-03
Febres recorrentes,5,5,130260,2020-03
Raiva,1,1,130260,2020-03
Encefalite viral,13,13,130260,2020-03
Outras febre p/arbovírus e febr hemorr p/vírus,45,45,130260,2020-03
Dengue [dengue clásssico],40,40,130260,2020-03
Febre hemorrágica devida ao vírus da dengue,4,4,130260,2020-03
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2020-03
Infecções pelo vírus do herpes,1,1,130260,2020-03
Varicela e herpes zoster,5,5,130260,2020-03
Hepatite aguda B,3,3,130260,2020-03
Outras hepatites virais,6,6,130260,2020-03
Doença pelo vírus da imunodefic humana [HIV],123,123,130260,2020-03
Caxumba [parotidite epidêmica],1,1,130260,2020-03
Outras doenças virais,11,11,130260,2020-03
Restante de outras doenças virais,11,11,130260,2020-03
Micoses,1,1,130260,2020-03
Malária,12,12,130260,2020-03
Malária por Plasmodium vivax,11,11,130260,2020-03
Malária não especificada,1,1,130260,2020-03
Leishmaniose,2,2,130260,2020-03
Leishmaniose cutânea,2,2,130260,2020-03
Outras helmintíases,3,3,130260,2020-03
Seqüelas de hanseníase [lepra],1,1,130260,2020-03
Outras doenças infecciosas e parasitárias,8,8,130260,2020-03
02 Neoplasias (tumores),461,461,130260,2020-03
Neoplasia maligna do lábio cavid oral e faringe,5,5,130260,2020-03
Neoplasia maligna do esôfago,6,6,130260,2020-03
Neoplasia maligna do estômago,12,12,130260,2020-03
Neoplasia maligna do cólon,9,9,130260,2020-03
Neopl malig junção retoss reto ânus canal anal,7,7,130260,2020-03
Neopl malig fígado e vias biliares intra-hepát,2,2,130260,2020-03
Neoplasia maligna do pâncreas,6,6,130260,2020-03
Outras neoplasias malignas de órgãos digestivos,7,7,130260,2020-03
Neoplasias malignas de laringe,5,5,130260,2020-03
Neoplasia maligna de traquéia brônquios e pulm,13,13,130260,2020-03
Outras neopl malig órg respirat e intratorác,3,3,130260,2020-03
Neoplasia maligna do osso e cartilagem articul,4,4,130260,2020-03
Outras neoplasias malignas da pele,2,2,130260,2020-03
Neopl malig do tecido mesotelial e tec moles,3,3,130260,2020-03
Neoplasia maligna da mama,27,27,130260,2020-03
Neoplasia maligna do colo do útero,38,38,130260,2020-03
Neopl malig outr porções e porç não espec útero,13,13,130260,2020-03
Outras neopl malignas órgãos genitais femininos,13,13,130260,2020-03
Neoplasia maligna da próstata,4,4,130260,2020-03
Outras neopl malignas órgãos genit masculinos,4,4,130260,2020-03
Neoplasia maligna da bexiga,3,3,130260,2020-03
Neoplasia maligna dos olhos e anexos,1,1,130260,2020-03
Neoplasia maligna do encéfalo,5,5,130260,2020-03
Neopl malig outr local mal def secun e não esp,16,16,130260,2020-03
Doença de Hodgkin,3,3,130260,2020-03
Linfoma não-Hodgkin,9,9,130260,2020-03
Leucemia,70,70,130260,2020-03
Outras neopl malig tecidos linfóid hemat e rel,1,1,130260,2020-03
Carcinoma in situ de colo do útero,9,9,130260,2020-03
Neoplasia benigna da pele,6,6,130260,2020-03
Neoplasia benigna da mama,2,2,130260,2020-03
Leiomioma do útero,81,81,130260,2020-03
Neoplasia benigna do ovário,2,2,130260,2020-03
Neopl benig encéfalo e outr part sist nerv cent,8,8,130260,2020-03
Outr neopl in situ benigs e comport incert desc,62,62,130260,2020-03
03 Doenças sangue órgãos hemat e transt imunitár,86,86,130260,2020-03
Anemia por deficiência de ferro,7,7,130260,2020-03
Outras anemias,60,60,130260,2020-03
Afecç hemorrág e outr doenç sang e órg hematop,19,19,130260,2020-03
04 Doenças endócrinas nutricionais e metabólicas,302,302,130260,2020-03
Diabetes mellitus,242,242,130260,2020-03
Desnutrição,19,19,130260,2020-03
Depleção de volume,15,15,130260,2020-03
Outros transt endócrinos nutricionais metabólic,26,26,130260,2020-03
05 Transtornos mentais e comportamentais,11,11,130260,2020-03
Transt mentais e comportamentais dev uso álcool,1,1,130260,2020-03
Esquizofrenia transt esquizotípicos e delirant,1,1,130260,2020-03
Transtornos de humor [afetivos],7,7,130260,2020-03
Outros transtornos mentais e comportamentais,2,2,130260,2020-03
06 Doenças do sistema nervoso,212,212,130260,2020-03
Doenças inflamatórias do sistema nervoso centr,5,5,130260,2020-03
Meningite bacteriana não classif outra parte,3,3,130260,2020-03
Mening dev outras causas e causas não especif,1,1,130260,2020-03
Restante doenças inflamat sist nervoso centr,1,1,130260,2020-03
Esclerose múltiplas,2,2,130260,2020-03
Epilepsia,51,51,130260,2020-03
Enxaqueca e outras síndromes de algias cefálic,1,1,130260,2020-03
Acid vascular cerebr isquêm transit e síndr cor,97,97,130260,2020-03
Transtornos dos nervos raízes e plexos nervosos,6,6,130260,2020-03
Paralisia cerebral e outras síndromes paralít,1,1,130260,2020-03
Outras doenças do sistema nervoso,49,49,130260,2020-03
07 Doenças do olho e anexos,79,79,130260,2020-03
Inflamação da pálpebra,1,1,130260,2020-03
Conjuntivite e outros transtornos da conjuntiva,47,47,130260,2020-03
Catarata e outros transtornos do cristalino,1,1,130260,2020-03
Descolamentos e defeitos da retina,9,9,130260,2020-03
Glaucoma,1,1,130260,2020-03
Estrabismo,1,1,130260,2020-03
Outras doenças do olho e anexos,19,19,130260,2020-03
08 Doenças do ouvido e da apófise mastóide,27,27,130260,2020-03
Otite média e outr transt ouvid médio apóf mast,18,18,130260,2020-03
Outras doenças do ouvido e da apófise mastóide,9,9,130260,2020-03
09 Doenças do aparelho circulatório,800,800,130260,2020-03
Febre reumática aguda,4,4,130260,2020-03
Doença reumática crônica do coração,2,2,130260,2020-03
Hipertensão essencial (primária),82,82,130260,2020-03
Outras doenças hipertensivas,19,19,130260,2020-03
Infarto agudo do miocárdio,119,119,130260,2020-03
Outras doenças isquêmicas do coração,72,72,130260,2020-03
Transtornos de condução e arritmias cardíacas,32,32,130260,2020-03
Insuficiência cardíaca,191,191,130260,2020-03
Outras doenças do coração,17,17,130260,2020-03
Hemorragia intracraniana,66,66,130260,2020-03
Infarto cerebral,6,6,130260,2020-03
Acid vascular cerebr não espec hemorrág ou isq,94,94,130260,2020-03
Outras doenças cerebrovasculares,4,4,130260,2020-03
Arteroesclerose,8,8,130260,2020-03
Outras doenças vasculares periféricas,5,5,130260,2020-03
