lista morb  cid-10,2021,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,3810,3810,130260,2021-04
Cólera,2,2,130260,2021-04
Amebíase,5,5,130260,2021-04
Diarréia e gastroenterite origem infecc presum,205,205,130260,2021-04
Outras doenças infecciosas intestinais,82,82,130260,2021-04
Tuberculose respiratória,17,17,130260,2021-04
Tuberculose pulmonar,13,13,130260,2021-04
Outras tuberculoses respiratórias,4,4,130260,2021-04
Outras tuberculoses,2,2,130260,2021-04
Tuberculose óssea e das articulações,1,1,130260,2021-04
Restante de outras tuberculoses,1,1,130260,2021-04
Coqueluche,2,2,130260,2021-04
Infecção meningocócica,1,1,130260,2021-04
Septicemia,101,101,130260,2021-04
Outras doenças bacterianas,178,178,130260,2021-04
Leptospirose não especificada,1,1,130260,2021-04
Restante de outras doenças bacterianas,177,177,130260,2021-04
Sífilis congênita,36,36,130260,2021-04
Outras sífilis,7,7,130260,2021-04
Outras infecções com transm predominant sexual,5,5,130260,2021-04
Febres recorrentes,2,2,130260,2021-04
Encefalite viral,5,5,130260,2021-04
Outras febre p/arbovírus e febr hemorr p/vírus,95,95,130260,2021-04
Dengue [dengue clásssico],94,94,130260,2021-04
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2021-04
Infecções pelo vírus do herpes,1,1,130260,2021-04
Varicela e herpes zoster,10,10,130260,2021-04
Hepatite aguda B,2,2,130260,2021-04
Outras hepatites virais,12,12,130260,2021-04
Doença pelo vírus da imunodefic humana [HIV],137,137,130260,2021-04
Outras doenças virais,2884,2884,130260,2021-04
Meningite viral,1,1,130260,2021-04
Restante de outras doenças virais,2883,2883,130260,2021-04
Micoses,3,3,130260,2021-04
Malária,9,9,130260,2021-04
Malária por Plasmodium vivax,5,5,130260,2021-04
Malária por Plasmodium malariae,2,2,130260,2021-04
Malária não especificada,2,2,130260,2021-04
Outras helmintíases,2,2,130260,2021-04
Outras doenças infecciosas e parasitárias,5,5,130260,2021-04
02 Neoplasias (tumores),284,284,130260,2021-04
Neoplasia maligna do esôfago,12,12,130260,2021-04
Neoplasia maligna do estômago,3,3,130260,2021-04
Neoplasia maligna do cólon,5,5,130260,2021-04
Neopl malig junção retoss reto ânus canal anal,3,3,130260,2021-04
Neopl malig fígado e vias biliares intra-hepát,1,1,130260,2021-04
Neoplasia maligna do pâncreas,2,2,130260,2021-04
Outras neoplasias malignas de órgãos digestivos,2,2,130260,2021-04
Neoplasias malignas de laringe,3,3,130260,2021-04
Neoplasia maligna de traquéia brônquios e pulm,5,5,130260,2021-04
Neoplasia maligna do osso e cartilagem articul,2,2,130260,2021-04
Neoplasia maligna da pele,2,2,130260,2021-04
Outras neoplasias malignas da pele,3,3,130260,2021-04
Neopl malig do tecido mesotelial e tec moles,14,14,130260,2021-04
Neoplasia maligna da mama,18,18,130260,2021-04
Neoplasia maligna do colo do útero,16,16,130260,2021-04
Neopl malig outr porções e porç não espec útero,8,8,130260,2021-04
Outras neopl malignas órgãos genitais femininos,3,3,130260,2021-04
Neoplasia maligna da próstata,5,5,130260,2021-04
Outras neopl malignas órgãos genit masculinos,3,3,130260,2021-04
Neoplasia maligna da bexiga,2,2,130260,2021-04
Outras neoplasias malignas do trato urinário,1,1,130260,2021-04
Neoplasia maligna do encéfalo,4,4,130260,2021-04
Neopl malig outr local mal def secun e não esp,13,13,130260,2021-04
Doença de Hodgkin,2,2,130260,2021-04
Linfoma não-Hodgkin,6,6,130260,2021-04
Leucemia,78,78,130260,2021-04
Outras neopl malig tecidos linfóid hemat e rel,2,2,130260,2021-04
Carcinoma in situ de colo do útero,6,6,130260,2021-04
Neoplasia benigna da pele,1,1,130260,2021-04
Neoplasia benigna da mama,1,1,130260,2021-04
Leiomioma do útero,26,26,130260,2021-04
Neoplasia benigna do ovário,2,2,130260,2021-04
Neopl benig encéfalo e outr part sist nerv cent,5,5,130260,2021-04
Outr neopl in situ benigs e comport incert desc,25,25,130260,2021-04
03 Doenças sangue órgãos hemat e transt imunitár,95,95,130260,2021-04
Anemia por deficiência de ferro,14,14,130260,2021-04
Outras anemias,51,51,130260,2021-04
Afecç hemorrág e outr doenç sang e órg hematop,30,30,130260,2021-04
04 Doenças endócrinas nutricionais e metabólicas,252,252,130260,2021-04
Outros transtornos tireoidianos,1,1,130260,2021-04
Diabetes mellitus,210,210,130260,2021-04
Desnutrição,17,17,130260,2021-04
Outras deficiências vitamínicas,1,1,130260,2021-04
Obesidade,1,1,130260,2021-04
Outros transt endócrinos nutricionais metabólic,22,22,130260,2021-04
05 Transtornos mentais e comportamentais,75,75,130260,2021-04
Transt mentais e comportamentais dev uso álcool,4,4,130260,2021-04
Transt ment comport dev uso outr subst psicoat,5,5,130260,2021-04
Esquizofrenia transt esquizotípicos e delirant,54,54,130260,2021-04
Transtornos de humor [afetivos],10,10,130260,2021-04
Transt neurót e relacionados com stress somatof,1,1,130260,2021-04
Retardo mental,1,1,130260,2021-04
06 Doenças do sistema nervoso,141,141,130260,2021-04
Doenças inflamatórias do sistema nervoso centr,5,5,130260,2021-04
Meningite bacteriana não classif outra parte,3,3,130260,2021-04
Mening dev outras causas e causas não especif,1,1,130260,2021-04
Restante doenças inflamat sist nervoso centr,1,1,130260,2021-04
Esclerose múltiplas,3,3,130260,2021-04
Epilepsia,47,47,130260,2021-04
Enxaqueca e outras síndromes de algias cefálic,5,5,130260,2021-04
Acid vascular cerebr isquêm transit e síndr cor,39,39,130260,2021-04
Paralisia cerebral e outras síndromes paralít,1,1,130260,2021-04
Outras doenças do sistema nervoso,41,41,130260,2021-04
07 Doenças do olho e anexos,103,103,130260,2021-04
Inflamação da pálpebra,2,2,130260,2021-04
Conjuntivite e outros transtornos da conjuntiva,51,51,130260,2021-04
Descolamentos e defeitos da retina,30,30,130260,2021-04
Outras doenças do olho e anexos,20,20,130260,2021-04
08 Doenças do ouvido e da apófise mastóide,19,19,130260,2021-04
Otite média e outr transt ouvid médio apóf mast,14,14,130260,2021-04
Outras doenças do ouvido e da apófise mastóide,5,5,130260,2021-04
09 Doenças do aparelho circulatório,719,719,130260,2021-04
Febre reumática aguda,4,4,130260,2021-04
Doença reumática crônica do coração,10,10,130260,2021-04
Hipertensão essencial (primária),101,101,130260,2021-04
Outras doenças hipertensivas,27,27,130260,2021-04
Infarto agudo do miocárdio,97,97,130260,2021-04
Outras doenças isquêmicas do coração,68,68,130260,2021-04
Transtornos de condução e arritmias cardíacas,37,37,130260,2021-04
Insuficiência cardíaca,114,114,130260,2021-04
Outras doenças do coração,26,26,130260,2021-04
Hemorragia intracraniana,18,18,130260,2021-04
Infarto cerebral,8,8,130260,2021-04
Acid vascular cerebr não espec hemorrág ou isq,103,103,130260,2021-04
Outras doenças cerebrovasculares,13,13,130260,2021-04
Arteroesclerose,19,19,130260,2021-04
Outras doenças vasculares periféricas,5,5,130260,2021-04
Embolia e trombose arteriais,11,11,130260,2021-04
Outras doenças das artérias arteríolas e capil,16,16,130260,2021-04
Flebite tromboflebite embolia e trombose venosa,5,5,130260,2021-04
Veias varicosas das extremidades inferiores,17,17,130260,2021-04
Hemorróidas,3,3,130260,2021-04
Outras doenças do aparelho circulatório,17,17,130260,2021-04
10 Doenças do aparelho respiratório,1045,1045,130260,2021-04
Faringite aguda e amigdalite aguda,6,6,130260,2021-04
Laringite e traqueíte agudas,4,4,130260,2021-04
Outras infecções agudas das vias aéreas super,1,1,130260,2021-04
Influenza [gripe],13,13,130260,2021-04
Pneumonia,639,639,130260,2021-04
Bronquite aguda e bronquiolite aguda,59,59,130260,2021-04
Outras doenças do nariz e dos seios paranasais,4,4,130260,2021-04
Outras doenças do trato respiratório superior,4,4,130260,2021-04
