lista morb  cid-10,2022,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1077,1077,130260,2022-08
Cólera,3,3,130260,2022-08
Amebíase,6,6,130260,2022-08
Diarréia e gastroenterite origem infecc presum,150,150,130260,2022-08
Outras doenças infecciosas intestinais,88,88,130260,2022-08
Tuberculose respiratória,17,17,130260,2022-08
Tuberculose pulmonar,14,14,130260,2022-08
Outras tuberculoses respiratórias,3,3,130260,2022-08
Outras tuberculoses,4,4,130260,2022-08
Tuberculose óssea e das articulações,1,1,130260,2022-08
Tuberculose miliar,2,2,130260,2022-08
Restante de outras tuberculoses,1,1,130260,2022-08
Hanseníase [lepra],3,3,130260,2022-08
Outros tétanos,2,2,130260,2022-08
Difteria,2,2,130260,2022-08
Septicemia,208,208,130260,2022-08
Outras doenças bacterianas,181,181,130260,2022-08
Leptospirose não especificada,4,4,130260,2022-08
Restante de outras doenças bacterianas,177,177,130260,2022-08
Sífilis congênita,9,9,130260,2022-08
Outras infecções com transm predominant sexual,1,1,130260,2022-08
Febres recorrentes,1,1,130260,2022-08
Encefalite viral,3,3,130260,2022-08
Outras febre p/arbovírus e febr hemorr p/vírus,17,17,130260,2022-08
Dengue [dengue clásssico],16,16,130260,2022-08
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2022-08
Infecções pelo vírus do herpes,1,1,130260,2022-08
Varicela e herpes zoster,4,4,130260,2022-08
Hepatite aguda B,2,2,130260,2022-08
Outras hepatites virais,6,6,130260,2022-08
Doença pelo vírus da imunodefic humana [HIV],234,234,130260,2022-08
Caxumba [parotidite epidêmica],2,2,130260,2022-08
Outras doenças virais,102,102,130260,2022-08
Meningite viral,1,1,130260,2022-08
Restante de outras doenças virais,101,101,130260,2022-08
Micoses,3,3,130260,2022-08
Malária,18,18,130260,2022-08
Malária por Plasmodium falciparum,2,2,130260,2022-08
Malária por Plasmodium vivax,12,12,130260,2022-08
Malária por Plasmodium malariae,3,3,130260,2022-08
Malária não especificada,1,1,130260,2022-08
Filariose,1,1,130260,2022-08
Outras helmintíases,2,2,130260,2022-08
Seqüelas de tuberculose,1,1,130260,2022-08
Outras doenças infecciosas e parasitárias,6,6,130260,2022-08
02 Neoplasias (tumores),671,671,130260,2022-08
Neoplasia maligna do lábio cavid oral e faringe,10,10,130260,2022-08
Neoplasia maligna do esôfago,6,6,130260,2022-08
Neoplasia maligna do estômago,26,26,130260,2022-08
Neoplasia maligna do cólon,11,11,130260,2022-08
Neopl malig junção retoss reto ânus canal anal,17,17,130260,2022-08
Neopl malig fígado e vias biliares intra-hepát,3,3,130260,2022-08
Neoplasia maligna do pâncreas,4,4,130260,2022-08
Outras neoplasias malignas de órgãos digestivos,4,4,130260,2022-08
Neoplasias malignas de laringe,6,6,130260,2022-08
Neoplasia maligna de traquéia brônquios e pulm,21,21,130260,2022-08
Outras neopl malig órg respirat e intratorác,3,3,130260,2022-08
Neoplasia maligna do osso e cartilagem articul,12,12,130260,2022-08
Outras neoplasias malignas da pele,4,4,130260,2022-08
Neopl malig do tecido mesotelial e tec moles,11,11,130260,2022-08
Neoplasia maligna da mama,49,49,130260,2022-08
Neoplasia maligna do colo do útero,44,44,130260,2022-08
Neopl malig outr porções e porç não espec útero,3,3,130260,2022-08
Outras neopl malignas órgãos genitais femininos,20,20,130260,2022-08
Neoplasia maligna da próstata,26,26,130260,2022-08
Outras neopl malignas órgãos genit masculinos,5,5,130260,2022-08
Neoplasia maligna da bexiga,7,7,130260,2022-08
Outras neoplasias malignas do trato urinário,11,11,130260,2022-08
