lista morb  cid-10,2020,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,2160,2160,130260,2020-10
Amebíase,3,3,130260,2020-10
Diarréia e gastroenterite origem infecc presum,209,209,130260,2020-10
Outras doenças infecciosas intestinais,63,63,130260,2020-10
Tuberculose respiratória,5,5,130260,2020-10
Tuberculose pulmonar,3,3,130260,2020-10
Outras tuberculoses respiratórias,2,2,130260,2020-10
Outras tuberculoses,3,3,130260,2020-10
Tuberculose do sistema nervoso,2,2,130260,2020-10
Tuberc intest peritônio glângl mesentéricos,1,1,130260,2020-10
Septicemia,104,104,130260,2020-10
Outras doenças bacterianas,190,190,130260,2020-10
Leptospirose não especificada,1,1,130260,2020-10
Restante de outras doenças bacterianas,189,189,130260,2020-10
Sífilis congênita,26,26,130260,2020-10
Sífilis precoce,2,2,130260,2020-10
Outras infecções com transm predominant sexual,2,2,130260,2020-10
Febres recorrentes,2,2,130260,2020-10
Raiva,1,1,130260,2020-10
Encefalite viral,3,3,130260,2020-10
Outras febre p/arbovírus e febr hemorr p/vírus,15,15,130260,2020-10
Dengue [dengue clásssico],14,14,130260,2020-10
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2020-10
Infecções pelo vírus do herpes,1,1,130260,2020-10
Varicela e herpes zoster,5,5,130260,2020-10
Hepatite aguda B,1,1,130260,2020-10
Outras hepatites virais,11,11,130260,2020-10
Doença pelo vírus da imunodefic humana [HIV],143,143,130260,2020-10
Outras doenças virais,1334,1334,130260,2020-10
Meningite viral,2,2,130260,2020-10
Restante de outras doenças virais,1332,1332,130260,2020-10
Micoses,3,3,130260,2020-10
Malária,26,26,130260,2020-10
Malária por Plasmodium falciparum,2,2,130260,2020-10
Malária por Plasmodium vivax,21,21,130260,2020-10
Malária por Plasmodium malariae,1,1,130260,2020-10
Malária não especificada,2,2,130260,2020-10
Leishmaniose,1,1,130260,2020-10
Leishmaniose cutânea,1,1,130260,2020-10
Filariose,1,1,130260,2020-10
Outras helmintíases,2,2,130260,2020-10
Outras doenças infecciosas e parasitárias,4,4,130260,2020-10
02 Neoplasias (tumores),448,448,130260,2020-10
Neoplasia maligna do lábio cavid oral e faringe,8,8,130260,2020-10
Neoplasia maligna do esôfago,7,7,130260,2020-10
Neoplasia maligna do estômago,19,19,130260,2020-10
Neoplasia maligna do cólon,12,12,130260,2020-10
Neopl malig junção retoss reto ânus canal anal,10,10,130260,2020-10
Neopl malig fígado e vias biliares intra-hepát,8,8,130260,2020-10
Neoplasia maligna do pâncreas,1,1,130260,2020-10
