lista morb  cid-10,2022,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1704,1704,130260,2022-02
Cólera,1,1,130260,2022-02
Febres tifóide e paratifóide,5,5,130260,2022-02
Amebíase,3,3,130260,2022-02
Diarréia e gastroenterite origem infecc presum,193,193,130260,2022-02
Outras doenças infecciosas intestinais,72,72,130260,2022-02
Tuberculose respiratória,14,14,130260,2022-02
Tuberculose pulmonar,7,7,130260,2022-02
Outras tuberculoses respiratórias,5,5,130260,2022-02
Restante de tuberculose respiratória,2,2,130260,2022-02
Outras tuberculoses,3,3,130260,2022-02
Tuberculose do sistema nervoso,1,1,130260,2022-02
Tuberculose miliar,2,2,130260,2022-02
Infecção meningocócica,1,1,130260,2022-02
Septicemia,159,159,130260,2022-02
Outras doenças bacterianas,158,158,130260,2022-02
Leptospirose não especificada,2,2,130260,2022-02
Restante de outras doenças bacterianas,156,156,130260,2022-02
Sífilis congênita,6,6,130260,2022-02
Outras sífilis,3,3,130260,2022-02
Outras infecções com transm predominant sexual,1,1,130260,2022-02
Febres recorrentes,1,1,130260,2022-02
Raiva,1,1,130260,2022-02
Encefalite viral,6,6,130260,2022-02
Outras febre p/arbovírus e febr hemorr p/vírus,46,46,130260,2022-02
Dengue [dengue clásssico],42,42,130260,2022-02
Febre hemorrágica devida ao vírus da dengue,2,2,130260,2022-02
Restante outr febr arbovírus febr hemor vírus,2,2,130260,2022-02
Infecções pelo vírus do herpes,2,2,130260,2022-02
Varicela e herpes zoster,3,3,130260,2022-02
Hepatite aguda B,1,1,130260,2022-02
Outras hepatites virais,13,13,130260,2022-02
Doença pelo vírus da imunodefic humana [HIV],172,172,130260,2022-02
Outras doenças virais,792,792,130260,2022-02
Meningite viral,1,1,130260,2022-02
Restante de outras doenças virais,791,791,130260,2022-02
Micoses,5,5,130260,2022-02
Malária,25,25,130260,2022-02
Malária por Plasmodium falciparum,5,5,130260,2022-02
Malária por Plasmodium vivax,10,10,130260,2022-02
Malária não especificada,10,10,130260,2022-02
Leishmaniose,4,4,130260,2022-02
Leishmaniose cutânea,3,3,130260,2022-02
Leishmaniose não especificada,1,1,130260,2022-02
Outras helmintíases,4,4,130260,2022-02
