lista morb  cid-10,2020,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,2042,2042,130260,2020-08
Amebíase,4,4,130260,2020-08
Diarréia e gastroenterite origem infecc presum,168,168,130260,2020-08
Outras doenças infecciosas intestinais,74,74,130260,2020-08
Tuberculose respiratória,12,12,130260,2020-08
Tuberculose pulmonar,8,8,130260,2020-08
Outras tuberculoses respiratórias,4,4,130260,2020-08
Outras tuberculoses,4,4,130260,2020-08
Tuberculose miliar,3,3,130260,2020-08
Restante de outras tuberculoses,1,1,130260,2020-08
Hanseníase [lepra],2,2,130260,2020-08
Septicemia,133,133,130260,2020-08
Outras doenças bacterianas,196,196,130260,2020-08
Restante de outras doenças bacterianas,196,196,130260,2020-08
Sífilis congênita,23,23,130260,2020-08
Outras infecções com transm predominant sexual,1,1,130260,2020-08
Raiva,1,1,130260,2020-08
Encefalite viral,6,6,130260,2020-08
Outras febre p/arbovírus e febr hemorr p/vírus,20,20,130260,2020-08
Dengue [dengue clásssico],20,20,130260,2020-08
Infecções pelo vírus do herpes,2,2,130260,2020-08
Varicela e herpes zoster,5,5,130260,2020-08
Hepatite aguda B,3,3,130260,2020-08
Outras hepatites virais,8,8,130260,2020-08
Doença pelo vírus da imunodefic humana [HIV],129,129,130260,2020-08
Outras doenças virais,1223,1223,130260,2020-08
Meningite viral,1,1,130260,2020-08
Restante de outras doenças virais,1222,1222,130260,2020-08
Micoses,1,1,130260,2020-08
Malária,20,20,130260,2020-08
Malária por Plasmodium falciparum,1,1,130260,2020-08
Malária por Plasmodium vivax,16,16,130260,2020-08
Malária por Plasmodium malariae,1,1,130260,2020-08
Malária não especificada,2,2,130260,2020-08
Leishmaniose,1,1,130260,2020-08
Leishmaniose cutâneo-mucosa,1,1,130260,2020-08
Outras infestações por trematódeos,1,1,130260,2020-08
Outras helmintíases,2,2,130260,2020-08
Outras doenças infecciosas e parasitárias,3,3,130260,2020-08
02 Neoplasias (tumores),459,459,130260,2020-08
Neoplasia maligna do lábio cavid oral e faringe,8,8,130260,2020-08
Neoplasia maligna do esôfago,17,17,130260,2020-08
Neoplasia maligna do estômago,24,24,130260,2020-08
Neoplasia maligna do cólon,8,8,130260,2020-08
Neopl malig junção retoss reto ânus canal anal,13,13,130260,2020-08
Neopl malig fígado e vias biliares intra-hepát,3,3,130260,2020-08
Neoplasia maligna do pâncreas,3,3,130260,2020-08
Outras neoplasias malignas de órgãos digestivos,4,4,130260,2020-08
Neoplasias malignas de laringe,6,6,130260,2020-08
Neoplasia maligna de traquéia brônquios e pulm,9,9,130260,2020-08
Outras neopl malig órg respirat e intratorác,1,1,130260,2020-08
Neoplasia maligna do osso e cartilagem articul,6,6,130260,2020-08
Neoplasia maligna da pele,1,1,130260,2020-08
Outras neoplasias malignas da pele,2,2,130260,2020-08
Neopl malig do tecido mesotelial e tec moles,9,9,130260,2020-08
