lista morb  cid-10,2022,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1367,1367,130260,2022-01
Cólera,1,1,130260,2022-01
Febres tifóide e paratifóide,1,1,130260,2022-01
Shiguelose,1,1,130260,2022-01
Amebíase,4,4,130260,2022-01
Diarréia e gastroenterite origem infecc presum,184,184,130260,2022-01
Outras doenças infecciosas intestinais,55,55,130260,2022-01
Tuberculose respiratória,12,12,130260,2022-01
Tuberculose pulmonar,8,8,130260,2022-01
Outras tuberculoses respiratórias,3,3,130260,2022-01
Restante de tuberculose respiratória,1,1,130260,2022-01
Outras tuberculoses,3,3,130260,2022-01
Tuberculose do sistema nervoso,1,1,130260,2022-01
Tuberculose miliar,1,1,130260,2022-01
Restante de outras tuberculoses,1,1,130260,2022-01
Hanseníase [lepra],1,1,130260,2022-01
Infecção meningocócica,2,2,130260,2022-01
Septicemia,125,125,130260,2022-01
Outras doenças bacterianas,188,188,130260,2022-01
Leptospirose icterohemorrágica,1,1,130260,2022-01
Leptospirose não especificada,2,2,130260,2022-01
Restante de outras doenças bacterianas,185,185,130260,2022-01
Sífilis congênita,39,39,130260,2022-01
Outras sífilis,1,1,130260,2022-01
Infecção gonocócica,2,2,130260,2022-01
Outras infecções com transm predominant sexual,1,1,130260,2022-01
Febres recorrentes,1,1,130260,2022-01
Encefalite viral,3,3,130260,2022-01
Outras febre p/arbovírus e febr hemorr p/vírus,37,37,130260,2022-01
Dengue [dengue clásssico],35,35,130260,2022-01
Febre hemorrágica devida ao vírus da dengue,1,1,130260,2022-01
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2022-01
Varicela e herpes zoster,5,5,130260,2022-01
Hepatite aguda B,1,1,130260,2022-01
Outras hepatites virais,8,8,130260,2022-01
Doença pelo vírus da imunodefic humana [HIV],170,170,130260,2022-01
Caxumba [parotidite epidêmica],2,2,130260,2022-01
Outras doenças virais,480,480,130260,2022-01
Meningite viral,2,2,130260,2022-01
Restante de outras doenças virais,478,478,130260,2022-01
Micoses,6,6,130260,2022-01
Malária,26,26,130260,2022-01
Malária por Plasmodium falciparum,2,2,130260,2022-01
Malária por Plasmodium vivax,17,17,130260,2022-01
Malária não especificada,7,7,130260,2022-01
Leishmaniose,1,1,130260,2022-01
Leishmaniose cutânea,1,1,130260,2022-01
Outras helmintíases,1,1,130260,2022-01
Outras doenças infecciosas e parasitárias,6,6,130260,2022-01
02 Neoplasias (tumores),557,557,130260,2022-01
Neoplasia maligna do lábio cavid oral e faringe,13,13,130260,2022-01
Neoplasia maligna do esôfago,7,7,130260,2022-01
Neoplasia maligna do estômago,27,27,130260,2022-01
Neoplasia maligna do cólon,15,15,130260,2022-01
Neopl malig junção retoss reto ânus canal anal,7,7,130260,2022-01
Neopl malig fígado e vias biliares intra-hepát,6,6,130260,2022-01
Neoplasia maligna do pâncreas,5,5,130260,2022-01
Outras neoplasias malignas de órgãos digestivos,3,3,130260,2022-01
Neoplasias malignas de laringe,10,10,130260,2022-01
Neoplasia maligna de traquéia brônquios e pulm,11,11,130260,2022-01
Outras neopl malig órg respirat e intratorác,5,5,130260,2022-01
Neoplasia maligna do osso e cartilagem articul,9,9,130260,2022-01
Neoplasia maligna da pele,2,2,130260,2022-01
Outras neoplasias malignas da pele,7,7,130260,2022-01
Neopl malig do tecido mesotelial e tec moles,18,18,130260,2022-01
Neoplasia maligna da mama,53,53,130260,2022-01
Neoplasia maligna do colo do útero,33,33,130260,2022-01
Neopl malig outr porções e porç não espec útero,9,9,130260,2022-01
Outras neopl malignas órgãos genitais femininos,14,14,130260,2022-01
Neoplasia maligna da próstata,12,12,130260,2022-01
Outras neopl malignas órgãos genit masculinos,6,6,130260,2022-01
Neoplasia maligna da bexiga,11,11,130260,2022-01
Outras neoplasias malignas do trato urinário,5,5,130260,2022-01
Neoplasia maligna dos olhos e anexos,2,2,130260,2022-01
Neoplasia maligna do encéfalo,5,5,130260,2022-01
Neopl malig outr local mal def secun e não esp,34,34,130260,2022-01
Doença de Hodgkin,4,4,130260,2022-01
Linfoma não-Hodgkin,7,7,130260,2022-01
Leucemia,66,66,130260,2022-01
Carcinoma in situ de colo do útero,3,3,130260,2022-01
Neoplasia benigna da pele,3,3,130260,2022-01
Neoplasia benigna da mama,1,1,130260,2022-01
Leiomioma do útero,76,76,130260,2022-01
Neoplasia benigna do ovário,1,1,130260,2022-01
Neopl benig encéfalo e outr part sist nerv cent,8,8,130260,2022-01
Outr neopl in situ benigs e comport incert desc,59,59,130260,2022-01
03 Doenças sangue órgãos hemat e transt imunitár,114,114,130260,2022-01
Anemia por deficiência de ferro,14,14,130260,2022-01
Outras anemias,73,73,130260,2022-01
Afecç hemorrág e outr doenç sang e órg hematop,27,27,130260,2022-01
04 Doenças endócrinas nutricionais e metabólicas,328,328,130260,2022-01
Outros transtornos tireoidianos,4,4,130260,2022-01
Diabetes mellitus,283,283,130260,2022-01
Desnutrição,21,21,130260,2022-01
Depleção de volume,1,1,130260,2022-01
Outros transt endócrinos nutricionais metabólic,19,19,130260,2022-01
05 Transtornos mentais e comportamentais,74,74,130260,2022-01
Demência,1,1,130260,2022-01
Transt mentais e comportamentais dev uso álcool,2,2,130260,2022-01
Transt ment comport dev uso outr subst psicoat,5,5,130260,2022-01
Esquizofrenia transt esquizotípicos e delirant,46,46,130260,2022-01
Transtornos de humor [afetivos],17,17,130260,2022-01
Outros transtornos mentais e comportamentais,3,3,130260,2022-01
06 Doenças do sistema nervoso,191,191,130260,2022-01
Doenças inflamatórias do sistema nervoso centr,10,10,130260,2022-01
Meningite bacteriana não classif outra parte,8,8,130260,2022-01
Restante doenças inflamat sist nervoso centr,2,2,130260,2022-01
Esclerose múltiplas,1,1,130260,2022-01
Epilepsia,52,52,130260,2022-01
Enxaqueca e outras síndromes de algias cefálic,4,4,130260,2022-01
Acid vascular cerebr isquêm transit e síndr cor,75,75,130260,2022-01
Transtornos dos nervos raízes e plexos nervosos,18,18,130260,2022-01
Paralisia cerebral e outras síndromes paralít,1,1,130260,2022-01
Outras doenças do sistema nervoso,30,30,130260,2022-01
07 Doenças do olho e anexos,76,76,130260,2022-01
Ceratite e outros transtornos esclerót e córnea,1,1,130260,2022-01
Catarata e outros transtornos do cristalino,59,59,130260,2022-01
Descolamentos e defeitos da retina,12,12,130260,2022-01
Outras doenças do olho e anexos,4,4,130260,2022-01
08 Doenças do ouvido e da apófise mastóide,18,18,130260,2022-01
Otite média e outr transt ouvid médio apóf mast,14,14,130260,2022-01
Outras doenças do ouvido e da apófise mastóide,4,4,130260,2022-01
09 Doenças do aparelho circulatório,841,841,130260,2022-01
Doença reumática crônica do coração,4,4,130260,2022-01
Hipertensão essencial (primária),53,53,130260,2022-01
Outras doenças hipertensivas,26,26,130260,2022-01
Infarto agudo do miocárdio,147,147,130260,2022-01
Outras doenças isquêmicas do coração,79,79,130260,2022-01
Embolia pulmonar,2,2,130260,2022-01
Transtornos de condução e arritmias cardíacas,42,42,130260,2022-01
Insuficiência cardíaca,188,188,130260,2022-01
Outras doenças do coração,30,30,130260,2022-01
Hemorragia intracraniana,18,18,130260,2022-01
Infarto cerebral,7,7,130260,2022-01
Acid vascular cerebr não espec hemorrág ou isq,126,126,130260,2022-01
Outras doenças cerebrovasculares,11,11,130260,2022-01
Arteroesclerose,21,21,130260,2022-01
Embolia e trombose arteriais,7,7,130260,2022-01
Outras doenças das artérias arteríolas e capil,31,31,130260,2022-01
Flebite tromboflebite embolia e trombose venosa,24,24,130260,2022-01
Veias varicosas das extremidades inferiores,13,13,130260,2022-01
Hemorróidas,7,7,130260,2022-01
Outras doenças do aparelho circulatório,5,5,130260,2022-01
10 Doenças do aparelho respiratório,1814,1814,130260,2022-01
Faringite aguda e amigdalite aguda,7,7,130260,2022-01
Laringite e traqueíte agudas,6,6,130260,2022-01
Outras infecções agudas das vias aéreas super,61,61,130260,2022-01
