lista morb  cid-10,2020,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,2759,2759,130260,2020-05
Cólera,1,1,130260,2020-05
Amebíase,2,2,130260,2020-05
Diarréia e gastroenterite origem infecc presum,69,69,130260,2020-05
Outras doenças infecciosas intestinais,27,27,130260,2020-05
Tuberculose respiratória,4,4,130260,2020-05
Tuberculose pulmonar,3,3,130260,2020-05
Outras tuberculoses respiratórias,1,1,130260,2020-05
Outras tuberculoses,3,3,130260,2020-05
Tuberculose do sistema nervoso,1,1,130260,2020-05
Tuberculose do aparelho geniturinário,1,1,130260,2020-05
Restante de outras tuberculoses,1,1,130260,2020-05
Peste,1,1,130260,2020-05
Outros tétanos,3,3,130260,2020-05
Infecção meningocócica,1,1,130260,2020-05
Septicemia,121,121,130260,2020-05
Outras doenças bacterianas,148,148,130260,2020-05
Leptospirose não especificada,1,1,130260,2020-05
Restante de outras doenças bacterianas,147,147,130260,2020-05
Sífilis congênita,21,21,130260,2020-05
Sífilis precoce,1,1,130260,2020-05
Outras infecções com transm predominant sexual,2,2,130260,2020-05
Febres recorrentes,4,4,130260,2020-05
Raiva,1,1,130260,2020-05
Encefalite viral,1,1,130260,2020-05
Outras febre p/arbovírus e febr hemorr p/vírus,17,17,130260,2020-05
Dengue [dengue clásssico],12,12,130260,2020-05
Febre hemorrágica devida ao vírus da dengue,3,3,130260,2020-05
Restante outr febr arbovírus febr hemor vírus,2,2,130260,2020-05
Varicela e herpes zoster,3,3,130260,2020-05
Outras hepatites virais,11,11,130260,2020-05
Doença pelo vírus da imunodefic humana [HIV],72,72,130260,2020-05
Outras doenças virais,2229,2229,130260,2020-05
Meningite viral,1,1,130260,2020-05
Restante de outras doenças virais,2228,2228,130260,2020-05
Micoses,2,2,130260,2020-05
Malária,10,10,130260,2020-05
Malária por Plasmodium falciparum,1,1,130260,2020-05
Malária por Plasmodium vivax,7,7,130260,2020-05
Malária não especificada,2,2,130260,2020-05
Leishmaniose,3,3,130260,2020-05
Leishmaniose cutânea,3,3,130260,2020-05
Outras helmintíases,1,1,130260,2020-05
Outras doenças infecciosas e parasitárias,1,1,130260,2020-05
02 Neoplasias (tumores),363,363,130260,2020-05
Neoplasia maligna do lábio cavid oral e faringe,8,8,130260,2020-05
Neoplasia maligna do esôfago,8,8,130260,2020-05
Neoplasia maligna do estômago,21,21,130260,2020-05
Neoplasia maligna do cólon,5,5,130260,2020-05
Neopl malig junção retoss reto ânus canal anal,14,14,130260,2020-05
Neopl malig fígado e vias biliares intra-hepát,4,4,130260,2020-05
Neoplasia maligna do pâncreas,6,6,130260,2020-05
Outras neoplasias malignas de órgãos digestivos,4,4,130260,2020-05
Neoplasias malignas de laringe,5,5,130260,2020-05
Neoplasia maligna de traquéia brônquios e pulm,12,12,130260,2020-05
Outras neopl malig órg respirat e intratorác,2,2,130260,2020-05
Neoplasia maligna do osso e cartilagem articul,2,2,130260,2020-05
Outras neoplasias malignas da pele,3,3,130260,2020-05
Neopl malig do tecido mesotelial e tec moles,7,7,130260,2020-05
