lista morb  cid-10,2020,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,2207,2207,130260,2020-09
Amebíase,3,3,130260,2020-09
Diarréia e gastroenterite origem infecc presum,244,244,130260,2020-09
Outras doenças infecciosas intestinais,65,65,130260,2020-09
Tuberculose respiratória,6,6,130260,2020-09
Tuberculose pulmonar,4,4,130260,2020-09
Outras tuberculoses respiratórias,2,2,130260,2020-09
Outras tuberculoses,6,6,130260,2020-09
Tuberculose miliar,4,4,130260,2020-09
Restante de outras tuberculoses,2,2,130260,2020-09
Hanseníase [lepra],3,3,130260,2020-09
Coqueluche,3,3,130260,2020-09
Infecção meningocócica,1,1,130260,2020-09
Septicemia,147,147,130260,2020-09
Outras doenças bacterianas,156,156,130260,2020-09
Restante de outras doenças bacterianas,156,156,130260,2020-09
Sífilis congênita,19,19,130260,2020-09
Sífilis precoce,1,1,130260,2020-09
Outras sífilis,1,1,130260,2020-09
Infecção gonocócica,1,1,130260,2020-09
Outras infecções com transm predominant sexual,5,5,130260,2020-09
Febres recorrentes,1,1,130260,2020-09
Raiva,1,1,130260,2020-09
Encefalite viral,2,2,130260,2020-09
Outras febre p/arbovírus e febr hemorr p/vírus,12,12,130260,2020-09
Dengue [dengue clásssico],12,12,130260,2020-09
Infecções pelo vírus do herpes,1,1,130260,2020-09
Varicela e herpes zoster,6,6,130260,2020-09
Hepatite aguda B,2,2,130260,2020-09
Outras hepatites virais,10,10,130260,2020-09
Doença pelo vírus da imunodefic humana [HIV],126,126,130260,2020-09
Caxumba [parotidite epidêmica],1,1,130260,2020-09
Outras doenças virais,1350,1350,130260,2020-09
Meningite viral,3,3,130260,2020-09
Restante de outras doenças virais,1347,1347,130260,2020-09
Micoses,4,4,130260,2020-09
Malária,22,22,130260,2020-09
Malária por Plasmodium falciparum,1,1,130260,2020-09
Malária por Plasmodium vivax,20,20,130260,2020-09
Malária não especificada,1,1,130260,2020-09
Leishmaniose,1,1,130260,2020-09
Leishmaniose cutânea,1,1,130260,2020-09
Outras helmintíases,1,1,130260,2020-09
Outras doenças infecciosas e parasitárias,6,6,130260,2020-09
02 Neoplasias (tumores),420,420,130260,2020-09
Neoplasia maligna do lábio cavid oral e faringe,9,9,130260,2020-09
Neoplasia maligna do esôfago,7,7,130260,2020-09
Neoplasia maligna do estômago,20,20,130260,2020-09
Neoplasia maligna do cólon,17,17,130260,2020-09
Neopl malig junção retoss reto ânus canal anal,17,17,130260,2020-09
Neopl malig fígado e vias biliares intra-hepát,5,5,130260,2020-09
Neoplasia maligna do pâncreas,4,4,130260,2020-09
Outras neoplasias malignas de órgãos digestivos,4,4,130260,2020-09
Neoplasias malignas de laringe,8,8,130260,2020-09
Neoplasia maligna de traquéia brônquios e pulm,8,8,130260,2020-09
Outras neopl malig órg respirat e intratorác,1,1,130260,2020-09
Neoplasia maligna do osso e cartilagem articul,7,7,130260,2020-09
Outras neoplasias malignas da pele,3,3,130260,2020-09
Neopl malig do tecido mesotelial e tec moles,4,4,130260,2020-09
Neoplasia maligna da mama,25,25,130260,2020-09
Neoplasia maligna do colo do útero,21,21,130260,2020-09
Neopl malig outr porções e porç não espec útero,4,4,130260,2020-09
Outras neopl malignas órgãos genitais femininos,10,10,130260,2020-09
Neoplasia maligna da próstata,11,11,130260,2020-09
Outras neopl malignas órgãos genit masculinos,3,3,130260,2020-09
Neoplasia maligna da bexiga,2,2,130260,2020-09
Outras neoplasias malignas do trato urinário,4,4,130260,2020-09
Neoplasia maligna dos olhos e anexos,2,2,130260,2020-09
Neoplasia maligna do encéfalo,3,3,130260,2020-09
Neopl malig outras partes sistema nerv central,2,2,130260,2020-09
Neopl malig outr local mal def secun e não esp,32,32,130260,2020-09
Doença de Hodgkin,2,2,130260,2020-09
Linfoma não-Hodgkin,7,7,130260,2020-09
Leucemia,55,55,130260,2020-09
Outras neopl malig tecidos linfóid hemat e rel,1,1,130260,2020-09
Carcinoma in situ de colo do útero,2,2,130260,2020-09
Neoplasia benigna da pele,5,5,130260,2020-09
Neoplasia benigna da mama,1,1,130260,2020-09
Leiomioma do útero,52,52,130260,2020-09
Neoplasia benigna dos órgãos urinários,1,1,130260,2020-09
Neopl benig encéfalo e outr part sist nerv cent,9,9,130260,2020-09
Outr neopl in situ benigs e comport incert desc,52,52,130260,2020-09
03 Doenças sangue órgãos hemat e transt imunitár,81,81,130260,2020-09
Anemia por deficiência de ferro,14,14,130260,2020-09
Outras anemias,52,52,130260,2020-09
Afecç hemorrág e outr doenç sang e órg hematop,15,15,130260,2020-09
04 Doenças endócrinas nutricionais e metabólicas,318,318,130260,2020-09
Transtornos tireoidianos relac deficiência iodo,1,1,130260,2020-09
Outros transtornos tireoidianos,2,2,130260,2020-09
Diabetes mellitus,281,281,130260,2020-09
Desnutrição,15,15,130260,2020-09
Depleção de volume,6,6,130260,2020-09
Outros transt endócrinos nutricionais metabólic,13,13,130260,2020-09
05 Transtornos mentais e comportamentais,14,14,130260,2020-09
Demência,1,1,130260,2020-09
Transt mentais e comportamentais dev uso álcool,2,2,130260,2020-09
Esquizofrenia transt esquizotípicos e delirant,2,2,130260,2020-09
