lista morb  cid-10,2021,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1630,1630,130260,2021-09
Cólera,1,1,130260,2021-09
Amebíase,4,4,130260,2021-09
Diarréia e gastroenterite origem infecc presum,338,338,130260,2021-09
Outras doenças infecciosas intestinais,92,92,130260,2021-09
Tuberculose respiratória,25,25,130260,2021-09
Tuberculose pulmonar,20,20,130260,2021-09
Outras tuberculoses respiratórias,4,4,130260,2021-09
Restante de tuberculose respiratória,1,1,130260,2021-09
Outras tuberculoses,3,3,130260,2021-09
Tuberculose do aparelho geniturinário,1,1,130260,2021-09
Tuberculose miliar,2,2,130260,2021-09
Hanseníase [lepra],5,5,130260,2021-09
Septicemia,153,153,130260,2021-09
Outras doenças bacterianas,235,235,130260,2021-09
Leptospirose não especificada,2,2,130260,2021-09
Restante de outras doenças bacterianas,233,233,130260,2021-09
Sífilis congênita,50,50,130260,2021-09
Outras sífilis,3,3,130260,2021-09
Doenças por clamídias transmitidas via sexual,1,1,130260,2021-09
Outras infecções com transm predominant sexual,1,1,130260,2021-09
Febres recorrentes,1,1,130260,2021-09
Tracoma,1,1,130260,2021-09
Encefalite viral,3,3,130260,2021-09
Outras febre p/arbovírus e febr hemorr p/vírus,31,31,130260,2021-09
Dengue [dengue clásssico],27,27,130260,2021-09
Febre hemorrágica devida ao vírus da dengue,2,2,130260,2021-09
Restante outr febr arbovírus febr hemor vírus,2,2,130260,2021-09
Infecções pelo vírus do herpes,2,2,130260,2021-09
Varicela e herpes zoster,4,4,130260,2021-09
Hepatite aguda B,2,2,130260,2021-09
Outras hepatites virais,9,9,130260,2021-09
Doença pelo vírus da imunodefic humana [HIV],146,146,130260,2021-09
Caxumba [parotidite epidêmica],2,2,130260,2021-09
Outras doenças virais,464,464,130260,2021-09
Meningite viral,1,1,130260,2021-09
Restante de outras doenças virais,463,463,130260,2021-09
Micoses,4,4,130260,2021-09
Malária,38,38,130260,2021-09
Malária por Plasmodium falciparum,2,2,130260,2021-09
Malária por Plasmodium vivax,26,26,130260,2021-09
Malária por Plasmodium malariae,3,3,130260,2021-09
Malária não especificada,7,7,130260,2021-09
Leishmaniose,1,1,130260,2021-09
Leishmaniose cutânea,1,1,130260,2021-09
Outras helmintíases,4,4,130260,2021-09
Seqüelas de hanseníase [lepra],1,1,130260,2021-09
Outras doenças infecciosas e parasitárias,6,6,130260,2021-09
02 Neoplasias (tumores),656,656,130260,2021-09
Neoplasia maligna do lábio cavid oral e faringe,8,8,130260,2021-09
Neoplasia maligna do esôfago,10,10,130260,2021-09
Neoplasia maligna do estômago,25,25,130260,2021-09
Neoplasia maligna do cólon,16,16,130260,2021-09
Neopl malig junção retoss reto ânus canal anal,10,10,130260,2021-09
Neopl malig fígado e vias biliares intra-hepát,7,7,130260,2021-09
Neoplasia maligna do pâncreas,5,5,130260,2021-09
Outras neoplasias malignas de órgãos digestivos,2,2,130260,2021-09
Neoplasias malignas de laringe,12,12,130260,2021-09
Neoplasia maligna de traquéia brônquios e pulm,13,13,130260,2021-09
Outras neopl malig órg respirat e intratorác,5,5,130260,2021-09
Neoplasia maligna do osso e cartilagem articul,8,8,130260,2021-09
Neoplasia maligna da pele,2,2,130260,2021-09
Outras neoplasias malignas da pele,8,8,130260,2021-09
Neopl malig do tecido mesotelial e tec moles,9,9,130260,2021-09
Neoplasia maligna da mama,39,39,130260,2021-09
Neoplasia maligna do colo do útero,41,41,130260,2021-09
Neopl malig outr porções e porç não espec útero,9,9,130260,2021-09
Outras neopl malignas órgãos genitais femininos,11,11,130260,2021-09
Neoplasia maligna da próstata,18,18,130260,2021-09
Outras neopl malignas órgãos genit masculinos,3,3,130260,2021-09
Neoplasia maligna da bexiga,9,9,130260,2021-09
Outras neoplasias malignas do trato urinário,12,12,130260,2021-09
Neoplasia maligna dos olhos e anexos,1,1,130260,2021-09
Neoplasia maligna do encéfalo,7,7,130260,2021-09
Neopl malig outras partes sistema nerv central,5,5,130260,2021-09
Neopl malig outr local mal def secun e não esp,37,37,130260,2021-09
Doença de Hodgkin,6,6,130260,2021-09
Linfoma não-Hodgkin,13,13,130260,2021-09
Leucemia,89,89,130260,2021-09
Outras neopl malig tecidos linfóid hemat e rel,2,2,130260,2021-09
Carcinoma in situ de colo do útero,6,6,130260,2021-09
Neoplasia benigna da pele,11,11,130260,2021-09
Neoplasia benigna da mama,1,1,130260,2021-09
Leiomioma do útero,76,76,130260,2021-09
Neoplasia benigna do ovário,3,3,130260,2021-09
Neoplasia benigna dos órgãos urinários,1,1,130260,2021-09
Neopl benig encéfalo e outr part sist nerv cent,8,8,130260,2021-09
Outr neopl in situ benigs e comport incert desc,108,108,130260,2021-09
03 Doenças sangue órgãos hemat e transt imunitár,131,131,130260,2021-09
Anemia por deficiência de ferro,22,22,130260,2021-09
Outras anemias,74,74,130260,2021-09
Afecç hemorrág e outr doenç sang e órg hematop,35,35,130260,2021-09
04 Doenças endócrinas nutricionais e metabólicas,403,403,130260,2021-09
Outros transtornos tireoidianos,1,1,130260,2021-09
Diabetes mellitus,332,332,130260,2021-09
Desnutrição,31,31,130260,2021-09
Obesidade,2,2,130260,2021-09
Depleção de volume,7,7,130260,2021-09
Outros transt endócrinos nutricionais metabólic,30,30,130260,2021-09
05 Transtornos mentais e comportamentais,64,64,130260,2021-09
Transt mentais e comportamentais dev uso álcool,7,7,130260,2021-09
Transt ment comport dev uso outr subst psicoat,3,3,130260,2021-09
Esquizofrenia transt esquizotípicos e delirant,36,36,130260,2021-09
Transtornos de humor [afetivos],16,16,130260,2021-09
Outros transtornos mentais e comportamentais,2,2,130260,2021-09
06 Doenças do sistema nervoso,237,237,130260,2021-09
Doenças inflamatórias do sistema nervoso centr,7,7,130260,2021-09
Meningite bacteriana não classif outra parte,5,5,130260,2021-09
Restante doenças inflamat sist nervoso centr,2,2,130260,2021-09
Doença de Parkinson,1,1,130260,2021-09
Esclerose múltiplas,1,1,130260,2021-09
Epilepsia,46,46,130260,2021-09
Enxaqueca e outras síndromes de algias cefálic,7,7,130260,2021-09
Acid vascular cerebr isquêm transit e síndr cor,110,110,130260,2021-09
Transtornos dos nervos raízes e plexos nervosos,14,14,130260,2021-09
Paralisia cerebral e outras síndromes paralít,2,2,130260,2021-09
Outras doenças do sistema nervoso,49,49,130260,2021-09
07 Doenças do olho e anexos,50,50,130260,2021-09
Inflamação da pálpebra,2,2,130260,2021-09
Conjuntivite e outros transtornos da conjuntiva,12,12,130260,2021-09
Descolamentos e defeitos da retina,23,23,130260,2021-09
Outras doenças do olho e anexos,13,13,130260,2021-09
08 Doenças do ouvido e da apófise mastóide,25,25,130260,2021-09
Otite média e outr transt ouvid médio apóf mast,20,20,130260,2021-09
Outras doenças do ouvido e da apófise mastóide,5,5,130260,2021-09
09 Doenças do aparelho circulatório,982,982,130260,2021-09
Febre reumática aguda,5,5,130260,2021-09
Doença reumática crônica do coração,5,5,130260,2021-09
