lista morb  cid-10,2020,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,2725,2725,130260,2020-07
Cólera,2,2,130260,2020-07
Amebíase,4,4,130260,2020-07
Diarréia e gastroenterite origem infecc presum,172,172,130260,2020-07
Outras doenças infecciosas intestinais,48,48,130260,2020-07
Tuberculose respiratória,7,7,130260,2020-07
Tuberculose pulmonar,5,5,130260,2020-07
Outras tuberculoses respiratórias,2,2,130260,2020-07
Outras tuberculoses,2,2,130260,2020-07
Tuberc intest peritônio glângl mesentéricos,1,1,130260,2020-07
Restante de outras tuberculoses,1,1,130260,2020-07
Septicemia,123,123,130260,2020-07
Outras doenças bacterianas,173,173,130260,2020-07
Leptospirose não especificada,1,1,130260,2020-07
Restante de outras doenças bacterianas,172,172,130260,2020-07
Sífilis congênita,22,22,130260,2020-07
Outras sífilis,2,2,130260,2020-07
Febres recorrentes,2,2,130260,2020-07
Raiva,1,1,130260,2020-07
Encefalite viral,5,5,130260,2020-07
Outras febre p/arbovírus e febr hemorr p/vírus,16,16,130260,2020-07
Dengue [dengue clásssico],16,16,130260,2020-07
Varicela e herpes zoster,6,6,130260,2020-07
Hepatite aguda B,1,1,130260,2020-07
Outras hepatites virais,6,6,130260,2020-07
Doença pelo vírus da imunodefic humana [HIV],140,140,130260,2020-07
Outras doenças virais,1972,1972,130260,2020-07
Restante de outras doenças virais,1972,1972,130260,2020-07
Micoses,5,5,130260,2020-07
Malária,8,8,130260,2020-07
Malária por Plasmodium vivax,7,7,130260,2020-07
Malária não especificada,1,1,130260,2020-07
Outras helmintíases,3,3,130260,2020-07
Outras doenças infecciosas e parasitárias,5,5,130260,2020-07
02 Neoplasias (tumores),470,470,130260,2020-07
Neoplasia maligna do lábio cavid oral e faringe,6,6,130260,2020-07
Neoplasia maligna do esôfago,7,7,130260,2020-07
Neoplasia maligna do estômago,23,23,130260,2020-07
Neoplasia maligna do cólon,15,15,130260,2020-07
Neopl malig junção retoss reto ânus canal anal,11,11,130260,2020-07
Neopl malig fígado e vias biliares intra-hepát,4,4,130260,2020-07
