lista morb  cid-10,2021,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,2859,2859,130260,2021-07
Cólera,3,3,130260,2021-07
Amebíase,1,1,130260,2021-07
Diarréia e gastroenterite origem infecc presum,299,299,130260,2021-07
Outras doenças infecciosas intestinais,94,94,130260,2021-07
Tuberculose respiratória,12,12,130260,2021-07
Tuberculose pulmonar,11,11,130260,2021-07
Restante de tuberculose respiratória,1,1,130260,2021-07
Outras tuberculoses,2,2,130260,2021-07
Tuberculose miliar,1,1,130260,2021-07
Restante de outras tuberculoses,1,1,130260,2021-07
Hanseníase [lepra],2,2,130260,2021-07
Outros tétanos,2,2,130260,2021-07
Infecção meningocócica,2,2,130260,2021-07
Septicemia,192,192,130260,2021-07
Outras doenças bacterianas,249,249,130260,2021-07
Outras formas de leptospirose,1,1,130260,2021-07
Restante de outras doenças bacterianas,248,248,130260,2021-07
Sífilis congênita,14,14,130260,2021-07
Sífilis precoce,1,1,130260,2021-07
Outras sífilis,2,2,130260,2021-07
Outras infecções com transm predominant sexual,3,3,130260,2021-07
Febres recorrentes,2,2,130260,2021-07
Raiva,1,1,130260,2021-07
Encefalite viral,3,3,130260,2021-07
Outras febre p/arbovírus e febr hemorr p/vírus,66,66,130260,2021-07
Dengue [dengue clásssico],60,60,130260,2021-07
Febre hemorrágica devida ao vírus da dengue,2,2,130260,2021-07
Restante outr febr arbovírus febr hemor vírus,4,4,130260,2021-07
Infecções pelo vírus do herpes,1,1,130260,2021-07
Varicela e herpes zoster,4,4,130260,2021-07
Sarampo,1,1,130260,2021-07
Hepatite aguda B,1,1,130260,2021-07
Outras hepatites virais,15,15,130260,2021-07
Doença pelo vírus da imunodefic humana [HIV],153,153,130260,2021-07
Caxumba [parotidite epidêmica],1,1,130260,2021-07
Outras doenças virais,1686,1686,130260,2021-07
Meningite viral,4,4,130260,2021-07
Restante de outras doenças virais,1682,1682,130260,2021-07
Micoses,3,3,130260,2021-07
Malária,28,28,130260,2021-07
Malária por Plasmodium falciparum,1,1,130260,2021-07
Malária por Plasmodium vivax,19,19,130260,2021-07
Malária por Plasmodium malariae,2,2,130260,2021-07
Malária não especificada,6,6,130260,2021-07
Leishmaniose,1,1,130260,2021-07
Leishmaniose não especificada,1,1,130260,2021-07
Tripanossomíase,1,1,130260,2021-07
Outras helmintíases,5,5,130260,2021-07
Seqüelas de hanseníase [lepra],1,1,130260,2021-07
Outras doenças infecciosas e parasitárias,8,8,130260,2021-07
02 Neoplasias (tumores),469,469,130260,2021-07
Neoplasia maligna do lábio cavid oral e faringe,7,7,130260,2021-07
Neoplasia maligna do esôfago,3,3,130260,2021-07
Neoplasia maligna do estômago,18,18,130260,2021-07
Neoplasia maligna do cólon,10,10,130260,2021-07
Neopl malig junção retoss reto ânus canal anal,3,3,130260,2021-07
Neopl malig fígado e vias biliares intra-hepát,5,5,130260,2021-07
Neoplasia maligna do pâncreas,5,5,130260,2021-07
Outras neoplasias malignas de órgãos digestivos,3,3,130260,2021-07
Neoplasias malignas de laringe,1,1,130260,2021-07
Neoplasia maligna de traquéia brônquios e pulm,10,10,130260,2021-07
Outras neopl malig órg respirat e intratorác,2,2,130260,2021-07
Neoplasia maligna do osso e cartilagem articul,8,8,130260,2021-07
Outras neoplasias malignas da pele,2,2,130260,2021-07
Neopl malig do tecido mesotelial e tec moles,5,5,130260,2021-07
Neoplasia maligna da mama,24,24,130260,2021-07
Neoplasia maligna do colo do útero,27,27,130260,2021-07
Neopl malig outr porções e porç não espec útero,12,12,130260,2021-07
Outras neopl malignas órgãos genitais femininos,15,15,130260,2021-07
Neoplasia maligna da próstata,9,9,130260,2021-07
