lista morb  cid-10,2021,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1366,1366,130260,2021-10
Cólera,3,3,130260,2021-10
Febres tifóide e paratifóide,1,1,130260,2021-10
Amebíase,9,9,130260,2021-10
Diarréia e gastroenterite origem infecc presum,324,324,130260,2021-10
Outras doenças infecciosas intestinais,108,108,130260,2021-10
Tuberculose respiratória,26,26,130260,2021-10
Tuberculose pulmonar,12,12,130260,2021-10
Outras tuberculoses respiratórias,13,13,130260,2021-10
Restante de tuberculose respiratória,1,1,130260,2021-10
Outras tuberculoses,2,2,130260,2021-10
Tuberculose do aparelho geniturinário,1,1,130260,2021-10
Restante de outras tuberculoses,1,1,130260,2021-10
Hanseníase [lepra],4,4,130260,2021-10
Outros tétanos,1,1,130260,2021-10
Septicemia,179,179,130260,2021-10
Outras doenças bacterianas,181,181,130260,2021-10
Leptospirose não especificada,2,2,130260,2021-10
Restante de outras doenças bacterianas,179,179,130260,2021-10
Sífilis congênita,26,26,130260,2021-10
Sífilis precoce,1,1,130260,2021-10
Outras sífilis,1,1,130260,2021-10
Outras infecções com transm predominant sexual,2,2,130260,2021-10
Febres recorrentes,1,1,130260,2021-10
Encefalite viral,5,5,130260,2021-10
Outras febre p/arbovírus e febr hemorr p/vírus,25,25,130260,2021-10
Dengue [dengue clásssico],23,23,130260,2021-10
Febre hemorrágica devida ao vírus da dengue,2,2,130260,2021-10
Infecções pelo vírus do herpes,3,3,130260,2021-10
Varicela e herpes zoster,3,3,130260,2021-10
Hepatite aguda B,5,5,130260,2021-10
Outras hepatites virais,14,14,130260,2021-10
Doença pelo vírus da imunodefic humana [HIV],144,144,130260,2021-10
Caxumba [parotidite epidêmica],3,3,130260,2021-10
Outras doenças virais,233,233,130260,2021-10
Meningite viral,2,2,130260,2021-10
Restante de outras doenças virais,231,231,130260,2021-10
Micoses,2,2,130260,2021-10
Malária,44,44,130260,2021-10
Malária por Plasmodium falciparum,3,3,130260,2021-10
Malária por Plasmodium vivax,30,30,130260,2021-10
Malária não especificada,11,11,130260,2021-10
Leishmaniose,4,4,130260,2021-10
Leishmaniose cutânea,2,2,130260,2021-10
Leishmaniose cutâneo-mucosa,2,2,130260,2021-10
Outras helmintíases,2,2,130260,2021-10
Outras doenças infecciosas e parasitárias,10,10,130260,2021-10
02 Neoplasias (tumores),566,566,130260,2021-10
Neoplasia maligna do lábio cavid oral e faringe,5,5,130260,2021-10
Neoplasia maligna do esôfago,9,9,130260,2021-10
Neoplasia maligna do estômago,26,26,130260,2021-10
Neoplasia maligna do cólon,10,10,130260,2021-10
Neopl malig junção retoss reto ânus canal anal,10,10,130260,2021-10
Neopl malig fígado e vias biliares intra-hepát,4,4,130260,2021-10
Outras neoplasias malignas de órgãos digestivos,5,5,130260,2021-10
Neoplasias malignas de laringe,6,6,130260,2021-10
Neoplasia maligna de traquéia brônquios e pulm,7,7,130260,2021-10
Outras neopl malig órg respirat e intratorác,2,2,130260,2021-10
Neoplasia maligna do osso e cartilagem articul,4,4,130260,2021-10
Neoplasia maligna da pele,1,1,130260,2021-10
Outras neoplasias malignas da pele,2,2,130260,2021-10
Neopl malig do tecido mesotelial e tec moles,22,22,130260,2021-10
Neoplasia maligna da mama,42,42,130260,2021-10
Neoplasia maligna do colo do útero,26,26,130260,2021-10
Neopl malig outr porções e porç não espec útero,8,8,130260,2021-10
Outras neopl malignas órgãos genitais femininos,11,11,130260,2021-10
Neoplasia maligna da próstata,9,9,130260,2021-10
Outras neopl malignas órgãos genit masculinos,2,2,130260,2021-10
Neoplasia maligna da bexiga,3,3,130260,2021-10
Outras neoplasias malignas do trato urinário,9,9,130260,2021-10
Neoplasia maligna do encéfalo,6,6,130260,2021-10
Neopl malig outras partes sistema nerv central,1,1,130260,2021-10
Neopl malig outr local mal def secun e não esp,20,20,130260,2021-10
Doença de Hodgkin,5,5,130260,2021-10
Linfoma não-Hodgkin,12,12,130260,2021-10
Leucemia,80,80,130260,2021-10
Outras neopl malig tecidos linfóid hemat e rel,1,1,130260,2021-10
Carcinoma in situ de colo do útero,6,6,130260,2021-10
Neoplasia benigna da pele,3,3,130260,2021-10
Leiomioma do útero,121,121,130260,2021-10
Neoplasia benigna do ovário,2,2,130260,2021-10
Neopl benig encéfalo e outr part sist nerv cent,8,8,130260,2021-10
Outr neopl in situ benigs e comport incert desc,78,78,130260,2021-10
03 Doenças sangue órgãos hemat e transt imunitár,137,137,130260,2021-10
Anemia por deficiência de ferro,25,25,130260,2021-10
Outras anemias,85,85,130260,2021-10
Afecç hemorrág e outr doenç sang e órg hematop,27,27,130260,2021-10
04 Doenças endócrinas nutricionais e metabólicas,345,345,130260,2021-10
Transtornos tireoidianos relac deficiência iodo,2,2,130260,2021-10
Outros transtornos tireoidianos,5,5,130260,2021-10
Diabetes mellitus,276,276,130260,2021-10
Desnutrição,24,24,130260,2021-10
Obesidade,1,1,130260,2021-10
Depleção de volume,8,8,130260,2021-10
Outros transt endócrinos nutricionais metabólic,29,29,130260,2021-10
05 Transtornos mentais e comportamentais,71,71,130260,2021-10
Demência,1,1,130260,2021-10
Transt mentais e comportamentais dev uso álcool,1,1,130260,2021-10
Transt ment comport dev uso outr subst psicoat,2,2,130260,2021-10
Esquizofrenia transt esquizotípicos e delirant,45,45,130260,2021-10
Transtornos de humor [afetivos],19,19,130260,2021-10
Outros transtornos mentais e comportamentais,3,3,130260,2021-10
06 Doenças do sistema nervoso,162,162,130260,2021-10
Doenças inflamatórias do sistema nervoso centr,8,8,130260,2021-10
Meningite bacteriana não classif outra parte,5,5,130260,2021-10
Mening dev outras causas e causas não especif,1,1,130260,2021-10
Restante doenças inflamat sist nervoso centr,2,2,130260,2021-10
Doença de Parkinson,1,1,130260,2021-10
Esclerose múltiplas,1,1,130260,2021-10
Epilepsia,37,37,130260,2021-10
Enxaqueca e outras síndromes de algias cefálic,13,13,130260,2021-10
Acid vascular cerebr isquêm transit e síndr cor,47,47,130260,2021-10
Transtornos dos nervos raízes e plexos nervosos,2,2,130260,2021-10
Paralisia cerebral e outras síndromes paralít,3,3,130260,2021-10
Outras doenças do sistema nervoso,50,50,130260,2021-10
07 Doenças do olho e anexos,30,30,130260,2021-10
Descolamentos e defeitos da retina,11,11,130260,2021-10
