lista morb  cid-10,2022,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,1289,1289,130260,2022-04
Febres tifóide e paratifóide,1,1,130260,2022-04
Amebíase,1,1,130260,2022-04
Diarréia e gastroenterite origem infecc presum,265,265,130260,2022-04
Outras doenças infecciosas intestinais,95,95,130260,2022-04
Tuberculose respiratória,26,26,130260,2022-04
Tuberculose pulmonar,22,22,130260,2022-04
Outras tuberculoses respiratórias,3,3,130260,2022-04
Restante de tuberculose respiratória,1,1,130260,2022-04
Outras tuberculoses,7,7,130260,2022-04
Tuberculose do sistema nervoso,1,1,130260,2022-04
Tuberculose do aparelho geniturinário,1,1,130260,2022-04
Tuberculose miliar,3,3,130260,2022-04
Restante de outras tuberculoses,2,2,130260,2022-04
Hanseníase [lepra],2,2,130260,2022-04
Coqueluche,1,1,130260,2022-04
Septicemia,161,161,130260,2022-04
Outras doenças bacterianas,191,191,130260,2022-04
Outras formas de leptospirose,1,1,130260,2022-04
Leptospirose não especificada,2,2,130260,2022-04
Restante de outras doenças bacterianas,188,188,130260,2022-04
Sífilis congênita,9,9,130260,2022-04
Outras sífilis,5,5,130260,2022-04
Doenças por clamídias transmitidas via sexual,1,1,130260,2022-04
Outras infecções com transm predominant sexual,1,1,130260,2022-04
Febres recorrentes,4,4,130260,2022-04
Encefalite viral,3,3,130260,2022-04
Outras febre p/arbovírus e febr hemorr p/vírus,57,57,130260,2022-04
Dengue [dengue clásssico],53,53,130260,2022-04
Febre hemorrágica devida ao vírus da dengue,1,1,130260,2022-04
Restante outr febr arbovírus febr hemor vírus,3,3,130260,2022-04
Infecções pelo vírus do herpes,1,1,130260,2022-04
Varicela e herpes zoster,9,9,130260,2022-04
Hepatite aguda B,2,2,130260,2022-04
Outras hepatites virais,13,13,130260,2022-04
Doença pelo vírus da imunodefic humana [HIV],187,187,130260,2022-04
Outras doenças virais,218,218,130260,2022-04
Meningite viral,4,4,130260,2022-04
Restante de outras doenças virais,214,214,130260,2022-04
Micoses,3,3,130260,2022-04
Malária,19,19,130260,2022-04
Malária por Plasmodium falciparum,3,3,130260,2022-04
Malária por Plasmodium vivax,10,10,130260,2022-04
Malária não especificada,6,6,130260,2022-04
Filariose,1,1,130260,2022-04
Outras helmintíases,2,2,130260,2022-04
Seqüelas de hanseníase [lepra],1,1,130260,2022-04
Outras doenças infecciosas e parasitárias,3,3,130260,2022-04
02 Neoplasias (tumores),432,432,130260,2022-04
Neoplasia maligna do lábio cavid oral e faringe,5,5,130260,2022-04
Neoplasia maligna do esôfago,10,10,130260,2022-04
Neoplasia maligna do estômago,26,26,130260,2022-04
Neoplasia maligna do cólon,6,6,130260,2022-04
Neopl malig junção retoss reto ânus canal anal,10,10,130260,2022-04
Neopl malig fígado e vias biliares intra-hepát,6,6,130260,2022-04
Neoplasia maligna do pâncreas,2,2,130260,2022-04
Outras neoplasias malignas de órgãos digestivos,3,3,130260,2022-04
Neoplasias malignas de laringe,3,3,130260,2022-04
Neoplasia maligna de traquéia brônquios e pulm,13,13,130260,2022-04
Outras neopl malig órg respirat e intratorác,1,1,130260,2022-04
Neoplasia maligna do osso e cartilagem articul,8,8,130260,2022-04
Outras neoplasias malignas da pele,1,1,130260,2022-04
Neopl malig do tecido mesotelial e tec moles,8,8,130260,2022-04
Neoplasia maligna da mama,30,30,130260,2022-04
Neoplasia maligna do colo do útero,28,28,130260,2022-04
Neopl malig outr porções e porç não espec útero,9,9,130260,2022-04
Outras neopl malignas órgãos genitais femininos,14,14,130260,2022-04
Neoplasia maligna da próstata,9,9,130260,2022-04
Outras neopl malignas órgãos genit masculinos,3,3,130260,2022-04
Neoplasia maligna da bexiga,4,4,130260,2022-04
Outras neoplasias malignas do trato urinário,6,6,130260,2022-04
Neoplasia maligna dos olhos e anexos,1,1,130260,2022-04
Neoplasia maligna do encéfalo,7,7,130260,2022-04
Neopl malig outr local mal def secun e não esp,20,20,130260,2022-04
Linfoma não-Hodgkin,1,1,130260,2022-04
