lista morb  cid-10,2021,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,5807,5807,130260,2021-03
Cólera,3,3,130260,2021-03
Febres tifóide e paratifóide,2,2,130260,2021-03
Amebíase,3,3,130260,2021-03
Diarréia e gastroenterite origem infecc presum,137,137,130260,2021-03
Outras doenças infecciosas intestinais,58,58,130260,2021-03
Tuberculose respiratória,12,12,130260,2021-03
Tuberculose pulmonar,7,7,130260,2021-03
Outras tuberculoses respiratórias,3,3,130260,2021-03
Restante de tuberculose respiratória,2,2,130260,2021-03
Outras tuberculoses,3,3,130260,2021-03
Tuberculose do sistema nervoso,2,2,130260,2021-03
Restante de outras tuberculoses,1,1,130260,2021-03
Hanseníase [lepra],4,4,130260,2021-03
Outros tétanos,1,1,130260,2021-03
Difteria,1,1,130260,2021-03
Infecção meningocócica,1,1,130260,2021-03
Septicemia,109,109,130260,2021-03
Outras doenças bacterianas,158,158,130260,2021-03
Leptospirose não especificada,4,4,130260,2021-03
Restante de outras doenças bacterianas,154,154,130260,2021-03
Sífilis congênita,47,47,130260,2021-03
Sífilis precoce,1,1,130260,2021-03
Outras sífilis,1,1,130260,2021-03
Outras infecções com transm predominant sexual,2,2,130260,2021-03
Febres recorrentes,3,3,130260,2021-03
Encefalite viral,5,5,130260,2021-03
Outras febre p/arbovírus e febr hemorr p/vírus,97,97,130260,2021-03
Dengue [dengue clásssico],94,94,130260,2021-03
Febre hemorrágica devida ao vírus da dengue,2,2,130260,2021-03
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2021-03
Infecções pelo vírus do herpes,2,2,130260,2021-03
Varicela e herpes zoster,4,4,130260,2021-03
Hepatite aguda B,2,2,130260,2021-03
Outras hepatites virais,11,11,130260,2021-03
Doença pelo vírus da imunodefic humana [HIV],141,141,130260,2021-03
Outras doenças virais,4980,4980,130260,2021-03
Meningite viral,1,1,130260,2021-03
Restante de outras doenças virais,4979,4979,130260,2021-03
Micoses,3,3,130260,2021-03
Malária,4,4,130260,2021-03
Malária por Plasmodium vivax,4,4,130260,2021-03
Leishmaniose,1,1,130260,2021-03
Leishmaniose não especificada,1,1,130260,2021-03
Outras helmintíases,4,4,130260,2021-03
Seqüelas de hanseníase [lepra],1,1,130260,2021-03
Outras doenças infecciosas e parasitárias,6,6,130260,2021-03
02 Neoplasias (tumores),310,310,130260,2021-03
Neoplasia maligna do lábio cavid oral e faringe,6,6,130260,2021-03
Neoplasia maligna do esôfago,10,10,130260,2021-03
Neoplasia maligna do estômago,16,16,130260,2021-03
Neoplasia maligna do cólon,4,4,130260,2021-03
Neopl malig junção retoss reto ânus canal anal,10,10,130260,2021-03
Neopl malig fígado e vias biliares intra-hepát,4,4,130260,2021-03
Neoplasia maligna do pâncreas,1,1,130260,2021-03
Outras neoplasias malignas de órgãos digestivos,3,3,130260,2021-03
Neoplasias malignas de laringe,2,2,130260,2021-03
Neoplasia maligna de traquéia brônquios e pulm,5,5,130260,2021-03
Outras neopl malig órg respirat e intratorác,1,1,130260,2021-03
Neoplasia maligna do osso e cartilagem articul,4,4,130260,2021-03
Outras neoplasias malignas da pele,2,2,130260,2021-03
Neopl malig do tecido mesotelial e tec moles,6,6,130260,2021-03
Neoplasia maligna da mama,34,34,130260,2021-03
Neoplasia maligna do colo do útero,30,30,130260,2021-03
Neopl malig outr porções e porç não espec útero,6,6,130260,2021-03
Outras neopl malignas órgãos genitais femininos,11,11,130260,2021-03
Neoplasia maligna da próstata,4,4,130260,2021-03
Outras neopl malignas órgãos genit masculinos,6,6,130260,2021-03
Neoplasia maligna da bexiga,2,2,130260,2021-03
Outras neoplasias malignas do trato urinário,5,5,130260,2021-03
Neoplasia maligna do encéfalo,10,10,130260,2021-03
Neopl malig outras partes sistema nerv central,1,1,130260,2021-03
Neopl malig outr local mal def secun e não esp,10,10,130260,2021-03
Doença de Hodgkin,2,2,130260,2021-03
Linfoma não-Hodgkin,7,7,130260,2021-03
Leucemia,73,73,130260,2021-03
Outras neopl malig tecidos linfóid hemat e rel,1,1,130260,2021-03
Carcinoma in situ de colo do útero,2,2,130260,2021-03
