lista morb  cid-10,2020,total,municipio_ibge,competencia
01 Algumas doenças infecciosas e parasitárias,932,932,130260,2020-04
Amebíase,1,1,130260,2020-04
Diarréia e gastroenterite origem infecc presum,129,129,130260,2020-04
Outras doenças infecciosas intestinais,44,44,130260,2020-04
Tuberculose respiratória,6,6,130260,2020-04
Tuberculose pulmonar,5,5,130260,2020-04
Outras tuberculoses respiratórias,1,1,130260,2020-04
Outras tuberculoses,4,4,130260,2020-04
Tuberculose miliar,2,2,130260,2020-04
Restante de outras tuberculoses,2,2,130260,2020-04
Hanseníase [lepra],1,1,130260,2020-04
Outros tétanos,1,1,130260,2020-04
Coqueluche,1,1,130260,2020-04
Infecção meningocócica,1,1,130260,2020-04
Septicemia,154,154,130260,2020-04
Outras doenças bacterianas,129,129,130260,2020-04
Leptospirose não especificada,2,2,130260,2020-04
Restante de outras doenças bacterianas,127,127,130260,2020-04
Sífilis congênita,4,4,130260,2020-04
Outras infecções com transm predominant sexual,1,1,130260,2020-04
Febres recorrentes,1,1,130260,2020-04
Raiva,1,1,130260,2020-04
Encefalite viral,8,8,130260,2020-04
Febre amarela,1,1,130260,2020-04
Outras febre p/arbovírus e febr hemorr p/vírus,28,28,130260,2020-04
Dengue [dengue clásssico],22,22,130260,2020-04
Febre hemorrágica devida ao vírus da dengue,5,5,130260,2020-04
Restante outr febr arbovírus febr hemor vírus,1,1,130260,2020-04
Varicela e herpes zoster,4,4,130260,2020-04
Outras hepatites virais,17,17,130260,2020-04
Doença pelo vírus da imunodefic humana [HIV],107,107,130260,2020-04
Outras doenças virais,272,272,130260,2020-04
Restante de outras doenças virais,272,272,130260,2020-04
Micoses,4,4,130260,2020-04
Malária,8,8,130260,2020-04
Malária por Plasmodium vivax,8,8,130260,2020-04
Outras helmintíases,2,2,130260,2020-04
Outras doenças infecciosas e parasitárias,3,3,130260,2020-04
02 Neoplasias (tumores),366,366,130260,2020-04
Neoplasia maligna do lábio cavid oral e faringe,7,7,130260,2020-04
Neoplasia maligna do esôfago,9,9,130260,2020-04
Neoplasia maligna do estômago,21,21,130260,2020-04
Neoplasia maligna do cólon,13,13,130260,2020-04
Neopl malig junção retoss reto ânus canal anal,8,8,130260,2020-04
Neopl malig fígado e vias biliares intra-hepát,4,4,130260,2020-04
Neoplasia maligna do pâncreas,2,2,130260,2020-04
Outras neoplasias malignas de órgãos digestivos,7,7,130260,2020-04
Neoplasias malignas de laringe,4,4,130260,2020-04
Neoplasia maligna de traquéia brônquios e pulm,2,2,130260,2020-04
Outras neopl malig órg respirat e intratorác,5,5,130260,2020-04
Neoplasia maligna do osso e cartilagem articul,2,2,130260,2020-04
Neoplasia maligna da pele,3,3,130260,2020-04
Outras neoplasias malignas da pele,2,2,130260,2020-04
Neopl malig do tecido mesotelial e tec moles,10,10,130260,2020-04
Neoplasia maligna da mama,26,26,130260,2020-04
Neoplasia maligna do colo do útero,22,22,130260,2020-04
Neopl malig outr porções e porç não espec útero,5,5,130260,2020-04
Outras neopl malignas órgãos genitais femininos,13,13,130260,2020-04
Neoplasia maligna da próstata,16,16,130260,2020-04
Outras neopl malignas órgãos genit masculinos,5,5,130260,2020-04
Neoplasia maligna da bexiga,3,3,130260,2020-04
Outras neoplasias malignas do trato urinário,5,5,130260,2020-04
Neoplasia maligna dos olhos e anexos,2,2,130260,2020-04
Neoplasia maligna do encéfalo,6,6,130260,2020-04
Neopl malig outr local mal def secun e não esp,18,18,130260,2020-04
Doença de Hodgkin,2,2,130260,2020-04
Linfoma não-Hodgkin,8,8,130260,2020-04
Leucemia,48,48,130260,2020-04
Outras neopl malig tecidos linfóid hemat e rel,1,1,130260,2020-04
Carcinoma in situ de colo do útero,7,7,130260,2020-04
Neoplasia benigna da pele,5,5,130260,2020-04
Leiomioma do útero,26,26,130260,2020-04
Neopl benig encéfalo e outr part sist nerv cent,10,10,130260,2020-04
Outr neopl in situ benigs e comport incert desc,39,39,130260,2020-04
03 Doenças sangue órgãos hemat e transt imunitár,71,71,130260,2020-04
Anemia por deficiência de ferro,7,7,130260,2020-04
Outras anemias,47,47,130260,2020-04
Afecç hemorrág e outr doenç sang e órg hematop,17,17,130260,2020-04
04 Doenças endócrinas nutricionais e metabólicas,234,234,130260,2020-04
Diabetes mellitus,193,193,130260,2020-04
Desnutrição,22,22,130260,2020-04
Depleção de volume,5,5,130260,2020-04
Outros transt endócrinos nutricionais metabólic,14,14,130260,2020-04
05 Transtornos mentais e comportamentais,6,6,130260,2020-04
Transt mentais e comportamentais dev uso álcool,1,1,130260,2020-04
Transt ment comport dev uso outr subst psicoat,2,2,130260,2020-04
Esquizofrenia transt esquizotípicos e delirant,1,1,130260,2020-04
Transtornos de humor [afetivos],1,1,130260,2020-04
Transt neurót e relacionados com stress somatof,1,1,130260,2020-04
06 Doenças do sistema nervoso,188,188,130260,2020-04
Doenças inflamatórias do sistema nervoso centr,6,6,130260,2020-04
Meningite bacteriana não classif outra parte,3,3,130260,2020-04
Restante doenças inflamat sist nervoso centr,3,3,130260,2020-04
Doença de Parkinson,1,1,130260,2020-04
Doença de Alzheimer,1,1,130260,2020-04
Esclerose múltiplas,1,1,130260,2020-04
Epilepsia,27,27,130260,2020-04
Enxaqueca e outras síndromes de algias cefálic,2,2,130260,2020-04
Acid vascular cerebr isquêm transit e síndr cor,108,108,130260,2020-04
Transtornos dos nervos raízes e plexos nervosos,5,5,130260,2020-04
Outras doenças do sistema nervoso,37,37,130260,2020-04
07 Doenças do olho e anexos,29,29,130260,2020-04
Conjuntivite e outros transtornos da conjuntiva,13,13,130260,2020-04
Descolamentos e defeitos da retina,6,6,130260,2020-04
Outras doenças do olho e anexos,10,10,130260,2020-04
08 Doenças do ouvido e da apófise mastóide,10,10,130260,2020-04
Otite média e outr transt ouvid médio apóf mast,9,9,130260,2020-04
Outras doenças do ouvido e da apófise mastóide,1,1,130260,2020-04
09 Doenças do aparelho circulatório,821,821,130260,2020-04
Febre reumática aguda,1,1,130260,2020-04
Doença reumática crônica do coração,3,3,130260,2020-04
Hipertensão essencial (primária),88,88,130260,2020-04
Outras doenças hipertensivas,25,25,130260,2020-04
Infarto agudo do miocárdio,99,99,130260,2020-04
Outras doenças isquêmicas do coração,95,95,130260,2020-04
Embolia pulmonar,2,2,130260,2020-04
Transtornos de condução e arritmias cardíacas,32,32,130260,2020-04
Insuficiência cardíaca,192,192,130260,2020-04
Outras doenças do coração,16,16,130260,2020-04
Hemorragia intracraniana,65,65,130260,2020-04
Infarto cerebral,4,4,130260,2020-04
Acid vascular cerebr não espec hemorrág ou isq,76,76,130260,2020-04
Outras doenças cerebrovasculares,12,12,130260,2020-04
Arteroesclerose,8,8,130260,2020-04
Outras doenças vasculares periféricas,6,6,130260,2020-04
Embolia e trombose arteriais,10,10,130260,2020-04
Outras doenças das artérias arteríolas e capil,24,24,130260,2020-04
Flebite tromboflebite embolia e trombose venosa,17,17,130260,2020-04
Veias varicosas das extremidades inferiores,22,22,130260,2020-04
Hemorróidas,14,14,130260,2020-04
Outras doenças do aparelho circulatório,10,10,130260,2020-04
10 Doenças do aparelho respiratório,965,965,130260,2020-04
Faringite aguda e amigdalite aguda,7,7,130260,2020-04
Laringite e traqueíte agudas,1,1,130260,2020-04
Outras infecções agudas das vias aéreas super,7,7,130260,2020-04
Influenza [gripe],20,20,130260,2020-04
Pneumonia,671,671,130260,2020-04
Bronquite aguda e bronquiolite aguda,58,58,130260,2020-04
Sinusite crônica,1,1,130260,2020-04
Outras doenças do nariz e dos seios paranasais,1,1,130260,2020-04
Doenças crônicas das amígdalas e das adenóides,4,4,130260,2020-04
Outras doenças do trato respiratório superior,2,2,130260,2020-04
Bronquite enfisema e outr doenç pulm obstr crôn,25,25,130260,2020-04
Asma,28,28,130260,2020-04
Outras doenças do aparelho respiratório,140,140,130260,2020-04
11 Doenças do aparelho digestivo,987,987,130260,2020-04
Outros transtornos dentes e estruturas suporte,2,2,130260,2020-04
Outr doenç cavidade oral glând saliv e maxilar,6,6,130260,2020-04
Úlcera gástrica e duodenal,5,5,130260,2020-04
Gastrite e duodenite,18,18,130260,2020-04
Outras doenças do esôfago estômago e duodeno,17,17,130260,2020-04
Doenças do apêndice,253,253,130260,2020-04
Hérnia inguinal,81,81,130260,2020-04
Outras hérnias,55,55,130260,2020-04
Ileo paralítico e obstrução intestinal s/hérnia,28,28,130260,2020-04
Doença diverticular do intestino,2,2,130260,2020-04
Outras doenças dos intestinos e peritônio,73,73,130260,2020-04
Doença alcoólica do fígado,12,12,130260,2020-04
Outras doenças do fígado,35,35,130260,2020-04
Colelitíase e colecistite,275,275,130260,2020-04
Pancreatite aguda e outras doenças do pâncreas,19,19,130260,2020-04
Outras doenças do aparelho digestivo,106,106,130260,2020-04
12 Doenças da pele e do tecido subcutâneo,365,365,130260,2020-04
Infecções da pele e do tecido subcutâneo,195,195,130260,2020-04
Outras doenças da pele e do tecido subcutâneo,170,170,130260,2020-04
13 Doenças sist osteomuscular e tec conjuntivo,70,70,130260,2020-04
Artrite reumatóide e outr poliartropatias infl,7,7,130260,2020-04
Artrose,5,5,130260,2020-04
Deformidades adquiridas das articulações,2,2,130260,2020-04
Outros transtronos articulares,13,13,130260,2020-04
Doenças sistêmicas do tecido conjuntivo,1,1,130260,2020-04
Transt discais cervic e outr transt disc interv,8,8,130260,2020-04
Outras dorsopatias,13,13,130260,2020-04
Transtornos do tecido mole,12,12,130260,2020-04
