procedimento,2022,total,municipio_ibge,competencia
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),70,70,130260,2022-06
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,13,13,130260,2022-06
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,91,91,130260,2022-06
0101020104 ORIENTACAO DE HIGIENE BUCAL,434,434,130260,2022-06
0101020120 ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,1,1,130260,2022-06
0101040024 AVALIACAO ANTROPOMETRICA,24,24,130260,2022-06
0101050062 SESSAO DE ARTETERAPIA,5,5,130260,2022-06
0101050089 SESSAO DE MUSICOTERAPIA,1,1,130260,2022-06
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,97,97,130260,2022-06
0201010046 BIOPSIA DE ANUS E CANAL ANAL,9,9,130260,2022-06
0201010097 BIOPSIA DE CONJUNTIVA,11,11,130260,2022-06
0201010194 BIOPSIA DE FARINGE/LARINGE,1,1,130260,2022-06
0201010224 BIOPSIA DE GANGLIO LINFATICO,7,7,130260,2022-06
0201010232 BIOPSIA DE GLANDULA SALIVAR,14,14,130260,2022-06
0201010275 BIOPSIA DE MEDULA OSSEA,30,30,130260,2022-06
0201010313 BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO),1,1,130260,2022-06
0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),1,1,130260,2022-06
0201010330 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),2,2,130260,2022-06
0201010356 BIOPSIA DE PALPEBRA,1,1,130260,2022-06
0201010372 BIOPSIA DE PELE E PARTES MOLES,319,319,130260,2022-06
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),3,3,130260,2022-06
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,43,43,130260,2022-06
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,176,176,130260,2022-06
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,11,11,130260,2022-06
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,3,3,130260,2022-06
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,11,11,130260,2022-06
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,8,8,130260,2022-06
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,109,109,130260,2022-06
0201010666 BIOPSIA DO COLO UTERINO,98,98,130260,2022-06
0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR,11,11,130260,2022-06
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,114,114,130260,2022-06
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,24,24,130260,2022-06
0202010015 CLEARANCE OSMOLAR,1,1,130260,2022-06
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,223,223,130260,2022-06
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,12,12,130260,2022-06
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),288,288,130260,2022-06
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2022-06
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),10,10,130260,2022-06
0202010104 DOSAGEM DE ACETONA,2,2,130260,2022-06
0202010112 DOSAGEM DE ACIDO ASCORBICO,118,118,130260,2022-06
0202010120 DOSAGEM DE ACIDO URICO,4609,4609,130260,2022-06
0202010147 DOSAGEM DE ALDOLASE,362,362,130260,2022-06
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,1,1,130260,2022-06
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,11,11,130260,2022-06
0202010180 DOSAGEM DE AMILASE,1929,1929,130260,2022-06
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,3299,3299,130260,2022-06
0202010210 DOSAGEM DE CALCIO,4823,4823,130260,2022-06
0202010228 DOSAGEM DE CALCIO IONIZAVEL,1143,1143,130260,2022-06
0202010252 DOSAGEM DE CERULOPLASMINA,8,8,130260,2022-06
0202010260 DOSAGEM DE CLORETO,944,944,130260,2022-06
0202010279 DOSAGEM DE COLESTEROL HDL,13439,13439,130260,2022-06
0202010287 DOSAGEM DE COLESTEROL LDL,10528,10528,130260,2022-06
0202010295 DOSAGEM DE COLESTEROL TOTAL,17835,17835,130260,2022-06
0202010317 DOSAGEM DE CREATININA,14859,14859,130260,2022-06
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),1308,1308,130260,2022-06
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,2012,2012,130260,2022-06
0202010350 DOSAGEM DE DESIDROGENASE GLUTAMICA,51,51,130260,2022-06
0202010368 DOSAGEM DE DESIDROGENASE LATICA,1467,1467,130260,2022-06
0202010384 DOSAGEM DE FERRITINA,2973,2973,130260,2022-06
