procedimento,2022,total,municipio_ibge,competencia
0101020066 APLICACAO DE SELANTE (POR DENTE),1,1,130260,2022-03-01
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),17,17,130260,2022-03-01
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,46,46,130260,2022-03-01
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,95,95,130260,2022-03-01
0101020104 ORIENTACAO DE HIGIENE BUCAL,481,481,130260,2022-03-01
0101020120 ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,9,9,130260,2022-03-01
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,23,23,130260,2022-03-01
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,20,20,130260,2022-03-01
0101040032 COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),15,15,130260,2022-03-01
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,88,88,130260,2022-03-01
0201010046 BIOPSIA DE ANUS E CANAL ANAL,1,1,130260,2022-03-01
0201010151 BIOPSIA DE ENDOMETRIO,1,1,130260,2022-03-01
0201010224 BIOPSIA DE GANGLIO LINFATICO,2,2,130260,2022-03-01
0201010232 BIOPSIA DE GLANDULA SALIVAR,16,16,130260,2022-03-01
0201010275 BIOPSIA DE MEDULA OSSEA,22,22,130260,2022-03-01
0201010372 BIOPSIA DE PELE E PARTES MOLES,355,355,130260,2022-03-01
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),3,3,130260,2022-03-01
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,34,34,130260,2022-03-01
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,67,67,130260,2022-03-01
0201010500 BIOPSIA/PUNCAO DE VAGINA,1,1,130260,2022-03-01
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,5,5,130260,2022-03-01
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,5,5,130260,2022-03-01
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,12,12,130260,2022-03-01
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,1,1,130260,2022-03-01
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,47,47,130260,2022-03-01
0201010666 BIOPSIA DO COLO UTERINO,86,86,130260,2022-03-01
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,289,289,130260,2022-03-01
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,1746,1746,130260,2022-03-01
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,34,34,130260,2022-03-01
0202010015 CLEARANCE OSMOLAR,3,3,130260,2022-03-01
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,223,223,130260,2022-03-01
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,9,9,130260,2022-03-01
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),316,316,130260,2022-03-01
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),30,30,130260,2022-03-01
0202010082 DETERMINACAO DE OSMOLARIDADE,2,2,130260,2022-03-01
0202010090 DOSAGEM DE 5-NUCLEOTIDASE,1,1,130260,2022-03-01
0202010104 DOSAGEM DE ACETONA,4,4,130260,2022-03-01
0202010112 DOSAGEM DE ACIDO ASCORBICO,172,172,130260,2022-03-01
0202010120 DOSAGEM DE ACIDO URICO,4776,4776,130260,2022-03-01
0202010147 DOSAGEM DE ALDOLASE,46,46,130260,2022-03-01
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,1,1,130260,2022-03-01
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,25,25,130260,2022-03-01
0202010180 DOSAGEM DE AMILASE,1031,1031,130260,2022-03-01
0202010198 DOSAGEM DE AMONIA,2,2,130260,2022-03-01
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,2787,2787,130260,2022-03-01
0202010210 DOSAGEM DE CALCIO,3269,3269,130260,2022-03-01
0202010228 DOSAGEM DE CALCIO IONIZAVEL,1201,1201,130260,2022-03-01
0202010252 DOSAGEM DE CERULOPLASMINA,8,8,130260,2022-03-01
0202010260 DOSAGEM DE CLORETO,1084,1084,130260,2022-03-01
0202010279 DOSAGEM DE COLESTEROL HDL,14016,14016,130260,2022-03-01
0202010287 DOSAGEM DE COLESTEROL LDL,11000,11000,130260,2022-03-01
0202010295 DOSAGEM DE COLESTEROL TOTAL,18824,18824,130260,2022-03-01
0202010317 DOSAGEM DE CREATININA,15247,15247,130260,2022-03-01
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),1330,1330,130260,2022-03-01
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,570,570,130260,2022-03-01
0202010350 DOSAGEM DE DESIDROGENASE GLUTAMICA,2,2,130260,2022-03-01
0202010368 DOSAGEM DE DESIDROGENASE LATICA,939,939,130260,2022-03-01
0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS),1,1,130260,2022-03-01
0202010384 DOSAGEM DE FERRITINA,3326,3326,130260,2022-03-01
0202010392 DOSAGEM DE FERRO SERICO,2600,2600,130260,2022-03-01
0202010406 DOSAGEM DE FOLATO,493,493,130260,2022-03-01
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,9,9,130260,2022-03-01
0202010422 DOSAGEM DE FOSFATASE ALCALINA,4086,4086,130260,2022-03-01
0202010430 DOSAGEM DE FOSFORO,2558,2558,130260,2022-03-01
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),3655,3655,130260,2022-03-01
0202010473 DOSAGEM DE GLICOSE,18029,18029,130260,2022-03-01
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,5,5,130260,2022-03-01
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,7331,7331,130260,2022-03-01
0202010511 DOSAGEM DE HIDROXIPROLINA,1,1,130260,2022-03-01
0202010538 DOSAGEM DE LACTATO,108,108,130260,2022-03-01
0202010554 DOSAGEM DE LIPASE,665,665,130260,2022-03-01
0202010562 DOSAGEM DE MAGNESIO,2053,2053,130260,2022-03-01
0202010570 DOSAGEM DE MUCO-PROTEINAS,78,78,130260,2022-03-01
0202010600 DOSAGEM DE POTASSIO,6987,6987,130260,2022-03-01
0202010619 DOSAGEM DE PROTEINAS TOTAIS,52,52,130260,2022-03-01
0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES,1484,1484,130260,2022-03-01
0202010635 DOSAGEM DE SODIO,5709,5709,130260,2022-03-01
0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),10864,10864,130260,2022-03-01
0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),11933,11933,130260,2022-03-01
0202010660 DOSAGEM DE TRANSFERRINA,1351,1351,130260,2022-03-01
0202010678 DOSAGEM DE TRIGLICERIDEOS,12589,12589,130260,2022-03-01
0202010686 DOSAGEM DE TRIPTOFANO,11,11,130260,2022-03-01
0202010694 DOSAGEM DE UREIA,15331,15331,130260,2022-03-01
