procedimento,2022,total,municipio_ibge,competencia
0101020066 APLICACAO DE SELANTE (POR DENTE),6,6,130260,2022-04-01
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),63,63,130260,2022-04-01
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,10,10,130260,2022-04-01
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,87,87,130260,2022-04-01
0101020104 ORIENTACAO DE HIGIENE BUCAL,378,378,130260,2022-04-01
0101020120 ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,1,1,130260,2022-04-01
0101040032 COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),10,10,130260,2022-04-01
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,190,190,130260,2022-04-01
0201010046 BIOPSIA DE ANUS E CANAL ANAL,6,6,130260,2022-04-01
0201010224 BIOPSIA DE GANGLIO LINFATICO,18,18,130260,2022-04-01
0201010232 BIOPSIA DE GLANDULA SALIVAR,13,13,130260,2022-04-01
0201010275 BIOPSIA DE MEDULA OSSEA,37,37,130260,2022-04-01
0201010372 BIOPSIA DE PELE E PARTES MOLES,308,308,130260,2022-04-01
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2022-04-01
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,26,26,130260,2022-04-01
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,29,29,130260,2022-04-01
0201010518 BIOPSIA/PUNCAO DE VULVA,1,1,130260,2022-04-01
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,2,2,130260,2022-04-01
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,6,6,130260,2022-04-01
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,3,3,130260,2022-04-01
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,7,7,130260,2022-04-01
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,28,28,130260,2022-04-01
