procedimento,2022,total,municipio_ibge,competencia
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),16,16,130260,2022-01-01
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,34,34,130260,2022-01-01
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,84,84,130260,2022-01-01
0101020104 ORIENTACAO DE HIGIENE BUCAL,312,312,130260,2022-01-01
0101020120 ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,2,2,130260,2022-01-01
0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,1,1,130260,2022-01-01
0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR,3,3,130260,2022-01-01
0101040024 AVALIACAO ANTROPOMETRICA,6,6,130260,2022-01-01
0101040032 COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),15,15,130260,2022-01-01
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,32,32,130260,2022-01-01
0201010151 BIOPSIA DE ENDOMETRIO,1,1,130260,2022-01-01
0201010224 BIOPSIA DE GANGLIO LINFATICO,3,3,130260,2022-01-01
0201010232 BIOPSIA DE GLANDULA SALIVAR,12,12,130260,2022-01-01
0201010275 BIOPSIA DE MEDULA OSSEA,30,30,130260,2022-01-01
0201010372 BIOPSIA DE PELE E PARTES MOLES,137,137,130260,2022-01-01
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1,1,130260,2022-01-01
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,24,24,130260,2022-01-01
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,38,38,130260,2022-01-01
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,4,4,130260,2022-01-01
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,2,2,130260,2022-01-01
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,4,4,130260,2022-01-01
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,2,2,130260,2022-01-01
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,52,52,130260,2022-01-01
0201010631 PUNCAO LOMBAR,1,1,130260,2022-01-01
0201010666 BIOPSIA DO COLO UTERINO,78,78,130260,2022-01-01
0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR,4,4,130260,2022-01-01
0201020025 COLETA DE LINFA PARA PESQUISA DE M LEPRAE,1,1,130260,2022-01-01
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,120,120,130260,2022-01-01
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,4267,4267,130260,2022-01-01
0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL,14,14,130260,2022-01-01
0202010015 CLEARANCE OSMOLAR,1,1,130260,2022-01-01
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,159,159,130260,2022-01-01
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,2,2,130260,2022-01-01
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),228,228,130260,2022-01-01
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),2,2,130260,2022-01-01
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),14,14,130260,2022-01-01
0202010082 DETERMINACAO DE OSMOLARIDADE,2,2,130260,2022-01-01
0202010090 DOSAGEM DE 5-NUCLEOTIDASE,1,1,130260,2022-01-01
0202010104 DOSAGEM DE ACETONA,2,2,130260,2022-01-01
0202010112 DOSAGEM DE ACIDO ASCORBICO,85,85,130260,2022-01-01
0202010120 DOSAGEM DE ACIDO URICO,3666,3666,130260,2022-01-01
0202010147 DOSAGEM DE ALDOLASE,25,25,130260,2022-01-01
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,20,20,130260,2022-01-01
0202010171 DOSAGEM DE ALFA-2-MACROGLOBULINA,1,1,130260,2022-01-01
0202010180 DOSAGEM DE AMILASE,625,625,130260,2022-01-01
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,1832,1832,130260,2022-01-01
0202010210 DOSAGEM DE CALCIO,2470,2470,130260,2022-01-01
0202010228 DOSAGEM DE CALCIO IONIZAVEL,634,634,130260,2022-01-01
0202010252 DOSAGEM DE CERULOPLASMINA,2,2,130260,2022-01-01
0202010260 DOSAGEM DE CLORETO,609,609,130260,2022-01-01
0202010279 DOSAGEM DE COLESTEROL HDL,9395,9395,130260,2022-01-01
0202010287 DOSAGEM DE COLESTEROL LDL,7730,7730,130260,2022-01-01
0202010295 DOSAGEM DE COLESTEROL TOTAL,12701,12701,130260,2022-01-01
0202010317 DOSAGEM DE CREATININA,10727,10727,130260,2022-01-01
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),841,841,130260,2022-01-01
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,346,346,130260,2022-01-01
0202010350 DOSAGEM DE DESIDROGENASE GLUTAMICA,2,2,130260,2022-01-01
0202010368 DOSAGEM DE DESIDROGENASE LATICA,639,639,130260,2022-01-01
0202010384 DOSAGEM DE FERRITINA,2195,2195,130260,2022-01-01
0202010392 DOSAGEM DE FERRO SERICO,1604,1604,130260,2022-01-01
0202010406 DOSAGEM DE FOLATO,377,377,130260,2022-01-01
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,2,2,130260,2022-01-01
0202010422 DOSAGEM DE FOSFATASE ALCALINA,2520,2520,130260,2022-01-01
0202010430 DOSAGEM DE FOSFORO,1755,1755,130260,2022-01-01
0202010457 DOSAGEM DE GALACTOSE,2,2,130260,2022-01-01
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),2497,2497,130260,2022-01-01
0202010473 DOSAGEM DE GLICOSE,14085,14085,130260,2022-01-01
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,8,8,130260,2022-01-01
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,5325,5325,130260,2022-01-01
0202010511 DOSAGEM DE HIDROXIPROLINA,1,1,130260,2022-01-01
0202010538 DOSAGEM DE LACTATO,29,29,130260,2022-01-01
0202010554 DOSAGEM DE LIPASE,413,413,130260,2022-01-01
0202010562 DOSAGEM DE MAGNESIO,1330,1330,130260,2022-01-01
0202010570 DOSAGEM DE MUCO-PROTEINAS,69,69,130260,2022-01-01
0202010589 DOSAGEM DE PIRUVATO,3,3,130260,2022-01-01
0202010600 DOSAGEM DE POTASSIO,4999,4999,130260,2022-01-01
0202010619 DOSAGEM DE PROTEINAS TOTAIS,47,47,130260,2022-01-01
0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES,870,870,130260,2022-01-01
0202010635 DOSAGEM DE SODIO,3958,3958,130260,2022-01-01
0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),7573,7573,130260,2022-01-01
0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),8620,8620,130260,2022-01-01
0202010660 DOSAGEM DE TRANSFERRINA,764,764,130260,2022-01-01
0202010678 DOSAGEM DE TRIGLICERIDEOS,9069,9069,130260,2022-01-01
0202010686 DOSAGEM DE TRIPTOFANO,4,4,130260,2022-01-01
0202010694 DOSAGEM DE UREIA,11030,11030,130260,2022-01-01
0202010708 DOSAGEM DE VITAMINA B12,1959,1959,130260,2022-01-01
0202010716 ELETROFORESE DE LIPOPROTEINAS,6,6,130260,2022-01-01
0202010724 ELETROFORESE DE PROTEINAS,53,53,130260,2022-01-01
0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE ),288,288,130260,2022-01-01
0202010759 TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS,20,20,130260,2022-01-01
0202010767 DOSAGEM DE 25 HIDROXIVITAMINA D,4418,4418,130260,2022-01-01
0202010791 DOSAGEM DE PEPTIDEOS NATRIURETICOS TIPO B (BNP E NT-PROBNP),1,1,130260,2022-01-01
0202020029 CONTAGEM DE PLAQUETAS,1307,1307,130260,2022-01-01
0202020037 CONTAGEM DE RETICULOCITOS,56,56,130260,2022-01-01
0202020061 DETERMINACAO DE SULFO-HEMOGLOBINA,2,2,130260,2022-01-01
0202020070 DETERMINACAO DE TEMPO DE COAGULACAO,1761,1761,130260,2022-01-01
0202020096 DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE,1620,1620,130260,2022-01-01
0202020100 DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY,71,71,130260,2022-01-01
0202020126 DETERMINACAO DE TEMPO DE TROMBINA,58,58,130260,2022-01-01
0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA),1030,1030,130260,2022-01-01
0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP),1709,1709,130260,2022-01-01
0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS),1432,1432,130260,2022-01-01
0202020169 DOSAGEM DE ANTICOAGULANTE CIRCULANTE,10,10,130260,2022-01-01
0202020177 DOSAGEM DE ANTITROMBINA III,2,2,130260,2022-01-01
