procedimento,2022,total,municipio_ibge,competencia
0101020066 APLICACAO DE SELANTE (POR DENTE),29,29,130260,2022-07-01
0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),12,12,130260,2022-07-01
0101020082 EVIDENCIACAO DE PLACA BACTERIANA,4,4,130260,2022-07-01
0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,64,64,130260,2022-07-01
0101020104 ORIENTACAO DE HIGIENE BUCAL,1581,1581,130260,2022-07-01
0101020120 ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,24,24,130260,2022-07-01
0101040024 AVALIACAO ANTROPOMETRICA,113,113,130260,2022-07-01
0101040032 COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),10,10,130260,2022-07-01
0201010020 BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,110,110,130260,2022-07-01
0201010046 BIOPSIA DE ANUS E CANAL ANAL,3,3,130260,2022-07-01
0201010232 BIOPSIA DE GLANDULA SALIVAR,2,2,130260,2022-07-01
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),3,3,130260,2022-07-01
0201010275 BIOPSIA DE MEDULA OSSEA,31,31,130260,2022-07-01
0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),3,3,130260,2022-07-01
0201010330 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),1,1,130260,2022-07-01
0201010372 BIOPSIA DE PELE E PARTES MOLES,212,212,130260,2022-07-01
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),2,2,130260,2022-07-01
0201010410 BIOPSIA DE PROSTATA VIA TRANSRETAL,60,60,130260,2022-07-01
0201010437 BIOPSIA DE RIM POR PUNCAO,1,1,130260,2022-07-01
0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,103,103,130260,2022-07-01
0201010500 BIOPSIA/PUNCAO DE VAGINA,3,3,130260,2022-07-01
0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA,3,3,130260,2022-07-01
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,1,1,130260,2022-07-01
0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA,4,4,130260,2022-07-01
0201010585 PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,4,4,130260,2022-07-01
0201010607 PUNCAO DE MAMA POR AGULHA GROSSA,110,110,130260,2022-07-01
0201010631 PUNCAO LOMBAR,1,1,130260,2022-07-01
0201010640 PUNCAO P/ ESVAZIAMENTO,1,1,130260,2022-07-01
0201010666 BIOPSIA DO COLO UTERINO,106,106,130260,2022-07-01
0201020025 COLETA DE LINFA PARA PESQUISA DE M LEPRAE,3,3,130260,2022-07-01
0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO,154,154,130260,2022-07-01
0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL,4,4,130260,2022-07-01
0202010015 CLEARANCE OSMOLAR,2,2,130260,2022-07-01
0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,160,160,130260,2022-07-01
0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,14,14,130260,2022-07-01
0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),234,234,130260,2022-07-01
0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),1,1,130260,2022-07-01
0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),18,18,130260,2022-07-01
0202010082 DETERMINACAO DE OSMOLARIDADE,3,3,130260,2022-07-01
0202010104 DOSAGEM DE ACETONA,1,1,130260,2022-07-01
0202010112 DOSAGEM DE ACIDO ASCORBICO,115,115,130260,2022-07-01
0202010120 DOSAGEM DE ACIDO URICO,4459,4459,130260,2022-07-01
0202010147 DOSAGEM DE ALDOLASE,47,47,130260,2022-07-01
0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA,5,5,130260,2022-07-01
0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,17,17,130260,2022-07-01
0202010180 DOSAGEM DE AMILASE,949,949,130260,2022-07-01
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,2415,2415,130260,2022-07-01
0202010210 DOSAGEM DE CALCIO,3234,3234,130260,2022-07-01
0202010228 DOSAGEM DE CALCIO IONIZAVEL,1124,1124,130260,2022-07-01
0202010252 DOSAGEM DE CERULOPLASMINA,8,8,130260,2022-07-01
0202010260 DOSAGEM DE CLORETO,982,982,130260,2022-07-01
0202010279 DOSAGEM DE COLESTEROL HDL,14206,14206,130260,2022-07-01
0202010287 DOSAGEM DE COLESTEROL LDL,11138,11138,130260,2022-07-01
0202010295 DOSAGEM DE COLESTEROL TOTAL,17684,17684,130260,2022-07-01
0202010309 DOSAGEM DE COLINESTERASE,1,1,130260,2022-07-01
0202010317 DOSAGEM DE CREATININA,13903,13903,130260,2022-07-01
0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK),936,936,130260,2022-07-01
0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,429,429,130260,2022-07-01
0202010368 DOSAGEM DE DESIDROGENASE LATICA,615,615,130260,2022-07-01
0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS),1,1,130260,2022-07-01
0202010384 DOSAGEM DE FERRITINA,2672,2672,130260,2022-07-01
0202010392 DOSAGEM DE FERRO SERICO,2272,2272,130260,2022-07-01
0202010406 DOSAGEM DE FOLATO,512,512,130260,2022-07-01
0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL,6,6,130260,2022-07-01
0202010422 DOSAGEM DE FOSFATASE ALCALINA,3112,3112,130260,2022-07-01
0202010430 DOSAGEM DE FOSFORO,2293,2293,130260,2022-07-01
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),3512,3512,130260,2022-07-01
0202010473 DOSAGEM DE GLICOSE,16069,16069,130260,2022-07-01
0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,3,3,130260,2022-07-01
0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA,7645,7645,130260,2022-07-01
0202010538 DOSAGEM DE LACTATO,48,48,130260,2022-07-01
0202010554 DOSAGEM DE LIPASE,587,587,130260,2022-07-01
0202010562 DOSAGEM DE MAGNESIO,1824,1824,130260,2022-07-01
0202010570 DOSAGEM DE MUCO-PROTEINAS,59,59,130260,2022-07-01
0202010600 DOSAGEM DE POTASSIO,6846,6846,130260,2022-07-01
0202010619 DOSAGEM DE PROTEINAS TOTAIS,61,61,130260,2022-07-01
0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES,966,966,130260,2022-07-01
0202010635 DOSAGEM DE SODIO,5370,5370,130260,2022-07-01
0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),9615,9615,130260,2022-07-01
0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),10745,10745,130260,2022-07-01
0202010660 DOSAGEM DE TRANSFERRINA,823,823,130260,2022-07-01
0202010678 DOSAGEM DE TRIGLICERIDEOS,11204,11204,130260,2022-07-01
0202010686 DOSAGEM DE TRIPTOFANO,20,20,130260,2022-07-01
0202010694 DOSAGEM DE UREIA,13693,13693,130260,2022-07-01
0202010708 DOSAGEM DE VITAMINA B12,2914,2914,130260,2022-07-01
0202010716 ELETROFORESE DE LIPOPROTEINAS,2,2,130260,2022-07-01
0202010724 ELETROFORESE DE PROTEINAS,78,78,130260,2022-07-01
0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE ),425,425,130260,2022-07-01
0202010740 PROVA DA D-XILOSE,1,1,130260,2022-07-01
0202010759 TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS,18,18,130260,2022-07-01
0202010767 DOSAGEM DE 25 HIDROXIVITAMINA D,6914,6914,130260,2022-07-01
0202020029 CONTAGEM DE PLAQUETAS,856,856,130260,2022-07-01
0202020037 CONTAGEM DE RETICULOCITOS,75,75,130260,2022-07-01
0202020061 DETERMINACAO DE SULFO-HEMOGLOBINA,1,1,130260,2022-07-01
0202020070 DETERMINACAO DE TEMPO DE COAGULACAO,2188,2188,130260,2022-07-01
0202020088 DETERMINACAO DE TEMPO DE LISE DA EUGLOBULINA,2,2,130260,2022-07-01
0202020096 DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE,1962,1962,130260,2022-07-01
0202020100 DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY,137,137,130260,2022-07-01
0202020118 DETERMINACAO DE TEMPO DE SOBREVIDA DE HEMACIAS,4,4,130260,2022-07-01
